create_time,destination_id,exit_code,handler,history_id,id,imported,info,inputs,inputs1,inputs1_filetype,inputs2,inputs2_filetype,inputs3,inputs3_filetype,inputs4,inputs4_filetype,inputs5,inputs5_filetype,inputs6,inputs6_filetype,inputs7,inputs7_filetype,inputs8,inputs8_filetype,inputs_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.additional_inputs,parameters.annotation.__current_case__,parameters.annotation.reference_annotation,parameters.annotation.reference_annotation.values,parameters.annotation.use_ref_annotation,parameters.chromInfo,parameters.dbkey,parameters.inputs,parameters.inputs.values,parameters.min_isoform_fraction,parameters.seq_data.__current_case__,parameters.seq_data.seq_source.__current_case__,parameters.seq_data.seq_source.index,parameters.seq_data.seq_source.index_source,parameters.seq_data.seq_source.ref_file,parameters.seq_data.use_seq_data,ref_file,ref_file_filetype,reference_annotation,reference_annotation_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-11-09 21:47:21.724643,slurm_multi_dynamic_walltime,,main_w4_handler2,2886463,14300343,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",46490191,46490191,gtf,41179907.0,gtf,,,,,,,,,,,,,gtf,8508165,slurm,,corral-repl,,0,no,[],0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b500d337cae0b6babb'}]",Yes,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ed6a644263ff5791'}, {'src': 'hda', 'id': 'bbd44e69cb8906b54824c69685e4ddda'}]","""0.05""",0,,,,,No,,,1239557323,gtf,,34147867,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffmerge/cuffmerge/2.2.1.0,2.2.1.0,,2016-11-09 22:02:57.767054,88412,936.042411
2016-11-09 21:47:34.493176,slurm_multi_dynamic_walltime,,main_w3_handler2,2886463,14300345,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",46490191,46490191,gtf,41179907.0,gtf,,,,,,,,,,,,,gtf,8508166,slurm,,corral-repl,,0,no,[],0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b500d337cae0b6babb'}]",Yes,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ed6a644263ff5791'}, {'src': 'hda', 'id': 'bbd44e69cb8906b54824c69685e4ddda'}]","""0.05""",1,0.0,hg38,cached,,Yes,,,1239557323,gtf,,34147867,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffmerge/cuffmerge/2.2.1.0,2.2.1.0,,2016-11-09 22:04:55.245147,88412,1040.7519710000001
2015-11-23 18:49:18.197682,slurm_multi_dynamic_walltime,,main_w2_handler2,2513842,10986136,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",47917793,47917793,gtf,49151614.0,gtf,,,,,,,,,,,,,gtf,5246177,slurm,,corral-repl,,0,no,[],0,22095179.0,,Yes,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""22128047,22128067""",,"""0.05""",0,,,,,No,,,1160220911,gtf,,26369417,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffmerge/cuffmerge/2.2.1.0,2.2.1.0,,2015-11-23 19:01:44.736736,73890,746.5390540000001
2017-07-28 12:24:07.908930,slurm_multi_dynamic_walltime,,main_w4_handler2,3204528,16442624,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1943373863,1943373863,gtf,1943401003.0,gtf,,,,,,,,,,,,,gtf,10510564,slurm,,corral-repl,,0,no,[],0,,"[{'src': 'hda', 'id': 30640796}]",Yes,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 30641224}, {'src': 'hda', 'id': 30641229}]","""0.05""",0,,,,,No,,,2593558968,gtf,,39564767,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffmerge/cuffmerge/2.2.1.0,2.2.1.0,,2017-07-28 15:37:20.273115,107870,11592.364185
2015-05-20 14:47:13.864667,slurm_multi_dynamic_walltime,,main_w2_handler2,2299825,9505041,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",52062329,52062329,gtf,55691372.0,gtf,,,,,,,,,,,,,gtf,3826338,slurm,,corral-repl,,0,no,[],0,19745451.0,,Yes,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""__collection_reduce__|2311""",,"""0.05""",0,,,,,No,,,726688187,gtf,,23177553,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffmerge/cuffmerge/2.2.1.0,2.2.1.0,,2015-05-20 14:56:48.787667,63307,574.923
2015-10-31 15:27:39.968070,slurm_multi_dynamic_walltime,,main_w2_handler2,2461352,10779873,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",236360835,236360835,gtf,189574841.0,gtf,235748397.0,gtf,219071852.0,gtf,239726612.0,gtf,260697931.0,gtf,257235065.0,gtf,283627333.0,gtf,gtf,5037865,slurm,,corral-repl,,0,no,[],0,21823589.0,,Yes,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""21751099,21758521,21758546,21758588,21758695,21758700,21759597,21759603""",,"""0.05""",1,1.0,,history,21823594.0,Yes,209173538.0,fasta,1111970946,gtf,,24721201,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffmerge/cuffmerge/2.2.1.0,2.2.1.0,,2015-11-01 01:36:06.297723,58466,36506.329653
2015-11-25 19:33:24.080122,slurm_multi_dynamic_walltime,,main_w2_handler2,2513842,11009511,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",47917793,47917793,gtf,,,,,,,,,,,,,,,gtf,5268283,slurm,,corral-repl,,0,no,[],0,22095179.0,,Yes,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""22128047""",,"""0.05""",0,,,,,No,,,1160220911,gtf,,26369417,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffmerge/cuffmerge/2.2.1.0,2.2.1.0,,2015-11-25 20:19:43.054874,73890,2778.974752
2015-05-20 14:43:56.193625,slurm_multi_dynamic_walltime,,main_w2_handler2,2238543,9505010,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",54040490,54040490,gtf,53140003.0,gtf,,,,,,,,,,,,,gtf,3826308,slurm,,corral-repl,,0,no,[],0,19754414.0,,Yes,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""__collection_reduce__|2307""",,"""0.05""",0,,,,,No,,,726688187,gtf,,23155032,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffmerge/cuffmerge/2.2.1.0,2.2.1.0,,2015-05-20 14:55:35.738545,60845,699.54492
2017-07-28 15:53:18.673666,slurm_multi_dynamic_walltime,,main_w4_handler2,3204528,16446744,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1943373863,1943373863,gtf,1943401003.0,gtf,,,,,,,,,,,,,gtf,10514842,slurm,,corral-repl,,0,no,[],0,,"[{'src': 'hda', 'id': 30640796}]",Yes,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 30641224}, {'src': 'hda', 'id': 30641229}]","""0.05""",0,,,,,No,,,2593558968,gtf,,39570728,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffmerge/cuffmerge/2.2.1.0,2.2.1.0,,2017-07-28 18:51:00.900291,107870,10662.226625000001
2016-04-08 04:01:43.995990,slurm_multi_dynamic_walltime,,main_w2_handler2,2661069,12378343,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",34175895,34175895,gtf,0.0,gtf,31562774.0,gtf,0.0,gtf,,,,,,,,,gtf,6577106,slurm,,corral-repl,,0,no,[],0,24182979.0,,Yes,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""24198505,24198507,24198510,24198512""",,"""0.05""",0,,,,,No,,,1164355302,gtf,,29491166,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffmerge/cuffmerge/2.2.1.0,2.2.1.0,,2016-04-08 04:35:29.083390,78197,2025.0874000000001
