bigwigfiles,bigwigfiles1,bigwigfiles1_filetype,bigwigfiles2,bigwigfiles2_filetype,bigwigfiles3,bigwigfiles3_filetype,bigwigfiles4,bigwigfiles4_filetype,bigwigfiles5,bigwigfiles5_filetype,bigwigfiles6,bigwigfiles6_filetype,bigwigfiles7,bigwigfiles7_filetype,bigwigfiles8,bigwigfiles8_filetype,bigwigfiles9,bigwigfiles9_filetype,bigwigfiles_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__workflow_invocation_uuid__,parameters.bigwigfiles.values,parameters.chromInfo,parameters.dbkey,parameters.mode.__current_case__,parameters.mode.binSize,parameters.mode.distanceBetweenBins,parameters.mode.modeOpt,parameters.mode.region_file.values,parameters.outRawCounts,parameters.region,region_file,region_file_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
247018452,247018452,bigwig,262358246,bigwig,219603705,bigwig,113668655.0,bigwig,,,,,,,,,,,bigwig,2016-07-07 08:58:59.825334,slurm_multi,,main_w2_handler2,2759842,13351137,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7565130,slurm,,corral-repl,,0,no,"""06b74f28442111e6ae76005056a51846""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5aaa04942f12c90f2'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5d9843cfd9080b0b6'}, {'src': 'hda', 'id': 'bbd44e69cb8906b578597fd79dfc6d9c'}, {'src': 'hda', 'id': 'bbd44e69cb8906b52af524eec7f5b714'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,,,BED-file,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e30de097f512a8a9'}]","""true""","""""",3555478705.0,bed,,31311709,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bigwig_summary/deeptools_multi_bigwig_summary/2.2.3.0,2.2.3.0,,2016-07-07 17:40:10.826955,29338,31271.001621000003
20916,20916,bigwig,869810,bigwig,6940768,bigwig,158170.0,bigwig,24320.0,bigwig,51026.0,bigwig,34846682.0,bigwig,428638.0,bigwig,31239.0,bigwig,bigwig,2016-07-02 03:21:28.383119,slurm_multi,,main_w2_handler2,2755634,13311446,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7513775,slurm,,corral-repl,,0,no,"""0f27fe6c400411e68003005056a51846""","[{'src': 'hda', 'id': 'bbd44e69cb8906b533d8d22d85da74a3'}, {'src': 'hda', 'id': 'bbd44e69cb8906b59ca0d8667d9f2061'}, {'src': 'hda', 'id': 'bbd44e69cb8906b51703958f5f45fe18'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5df2765211f80faa2'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5c48251f9ec5877dd'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5c393735f20673e9a'}, {'src': 'hda', 'id': 'bbd44e69cb8906b54b02ac27e4477bc2'}, {'src': 'hda', 'id': 'bbd44e69cb8906b575561fc1b8d6be56'}, {'src': 'hda', 'id': 'bbd44e69cb8906b55494fd415c627c82'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,,,BED-file,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ceebc1adb7cc1210'}]","""true""","""""",3288035802.0,bed,,31200238,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bigwig_summary/deeptools_multi_bigwig_summary/2.2.3.0,2.2.3.0,,2016-07-02 04:16:23.329642,29338,3294.946523
248622475,248622475,bigwig,198460262,bigwig,216664132,bigwig,282494028.0,bigwig,254730560.0,bigwig,174045313.0,bigwig,112445704.0,bigwig,283640963.0,bigwig,259973580.0,bigwig,bigwig,2016-09-26 16:46:48.539385,slurm_multi,,main_w4_handler2,2833458,13946130,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8167974,slurm,,corral-repl,,0,no,"""cfa73ebc840811e6a028005056a52a46""","[{'src': 'hda', 'id': 'bbd44e69cb8906b582f3302b2159ac90'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5a9c0dc9e9ef6fb35'}, {'src': 'hda', 'id': 'bbd44e69cb8906b56df218d5d3c70abd'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5083f14207a387aeb'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5ee7baf3457f09ab7'}, {'src': 'hda', 'id': 'bbd44e69cb8906b55e01794d97ee160d'}, {'src': 'hda', 'id': 'bbd44e69cb8906b56b84128740c97da0'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5dba5c241b2c4f587'}, {'src': 'hda', 'id': 'bbd44e69cb8906b572ad4c5f775acc08'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,,,BED-file,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5fd98e8427d2d39b9'}]","""true""","""""",2045357073.0,bed,,33212185,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bigwig_summary/deeptools_multi_bigwig_summary/2.2.3.0,2.2.3.0,,2016-09-26 18:17:56.883213,29338,5468.343828
432038552,432038552,bigwig,418204024,bigwig,341796514,bigwig,,,,,,,,,,,,,bigwig,2016-07-29 19:11:39.411402,slurm_multi,,main_w1_handler2,2724261,13526508,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7741744,slurm,,corral-repl,,0,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a46e66a8f7736aee'}, {'src': 'hda', 'id': 'bbd44e69cb8906b512846703a4ede3bc'}, {'src': 'hda', 'id': 'bbd44e69cb8906b52643d35df94119cc'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",0,1,0,bins,,"""false""","""""",,,,29998563,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bigwig_summary/deeptools_multi_bigwig_summary/2.2.3.0,2.2.3.0,,2016-07-29 19:12:25.557915,53803,46.146513000000006
20916,20916,bigwig,869810,bigwig,6940768,bigwig,158170.0,bigwig,24320.0,bigwig,51026.0,bigwig,34846682.0,bigwig,428638.0,bigwig,31239.0,bigwig,bigwig,2016-07-02 03:18:46.276682,slurm_multi,,main_w1_handler2,2755628,13311414,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7513703,slurm,,corral-repl,,0,no,"""aee1984c400311e6b54f005056a51846""","[{'src': 'hda', 'id': 'bbd44e69cb8906b533d8d22d85da74a3'}, {'src': 'hda', 'id': 'bbd44e69cb8906b59ca0d8667d9f2061'}, {'src': 'hda', 'id': 'bbd44e69cb8906b51703958f5f45fe18'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5df2765211f80faa2'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5c48251f9ec5877dd'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5c393735f20673e9a'}, {'src': 'hda', 'id': 'bbd44e69cb8906b54b02ac27e4477bc2'}, {'src': 'hda', 'id': 'bbd44e69cb8906b575561fc1b8d6be56'}, {'src': 'hda', 'id': 'bbd44e69cb8906b55494fd415c627c82'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,,,BED-file,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59e41af18e5e89c49'}]","""true""","""""",1854043288.0,bed,,31200238,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bigwig_summary/deeptools_multi_bigwig_summary/2.2.3.0,2.2.3.0,,2016-07-02 03:53:22.782886,29338,2076.5062040000003
308003783,308003783,bigwig,450866742,bigwig,202764193,bigwig,251577323.0,bigwig,,,,,,,,,,,bigwig,2016-07-07 09:13:35.015559,slurm_multi,,main_w2_handler2,2759852,13351280,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7566297,slurm,,corral-repl,,0,no,"""115d2a18442311e6b26b005056a51846""","[{'src': 'hda', 'id': 'bbd44e69cb8906b512a04ea638255085'}, {'src': 'hda', 'id': 'bbd44e69cb8906b56d2d2c5927e3051a'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5fe6e7e914696b59e'}, {'src': 'hda', 'id': 'bbd44e69cb8906b53fcfb80b06b6faca'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,,,BED-file,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55c974a022117eb89'}]","""true""","""""",2777527755.0,bed,,31311709,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bigwig_summary/deeptools_multi_bigwig_summary/2.2.3.0,2.2.3.0,,2016-07-07 20:03:17.943305,29338,38982.927746
20916,20916,bigwig,869810,bigwig,6940768,bigwig,158170.0,bigwig,24320.0,bigwig,51026.0,bigwig,34846682.0,bigwig,428638.0,bigwig,31239.0,bigwig,bigwig,2016-07-02 03:20:19.939623,slurm_multi,,main_w2_handler2,2755632,13311428,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7513615,slurm,,corral-repl,,0,no,"""e53fe4f2400311e6be28005056a52a46""","[{'src': 'hda', 'id': 'bbd44e69cb8906b533d8d22d85da74a3'}, {'src': 'hda', 'id': 'bbd44e69cb8906b59ca0d8667d9f2061'}, {'src': 'hda', 'id': 'bbd44e69cb8906b51703958f5f45fe18'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5df2765211f80faa2'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5c48251f9ec5877dd'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5c393735f20673e9a'}, {'src': 'hda', 'id': 'bbd44e69cb8906b54b02ac27e4477bc2'}, {'src': 'hda', 'id': 'bbd44e69cb8906b575561fc1b8d6be56'}, {'src': 'hda', 'id': 'bbd44e69cb8906b55494fd415c627c82'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,,,BED-file,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55c974a022117eb89'}]","""true""","""""",2777527755.0,bed,,31200238,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bigwig_summary/deeptools_multi_bigwig_summary/2.2.3.0,2.2.3.0,,2016-07-02 03:37:01.153214,29338,1001.2135910000001
246647222,246647222,bigwig,303891627,bigwig,218432761,bigwig,330915454.0,bigwig,,,,,,,,,,,bigwig,2016-07-07 09:03:04.500952,slurm_multi,,main_w2_handler2,2759845,13351228,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7566226,slurm,,corral-repl,,0,no,"""98d6d43c442111e6af87005056a51846""","[{'src': 'hda', 'id': 'bbd44e69cb8906b59f433032bf63f914'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5e05a881c5d0d340c'}, {'src': 'hda', 'id': 'bbd44e69cb8906b509fc43d501dd961f'}, {'src': 'hda', 'id': 'bbd44e69cb8906b56afe7ee5af622d31'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,,,BED-file,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59e41af18e5e89c49'}]","""true""","""""",1854043288.0,bed,,31311709,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bigwig_summary/deeptools_multi_bigwig_summary/2.2.3.0,2.2.3.0,,2016-07-07 19:53:23.968820,29338,39019.467868
20916,20916,bigwig,869810,bigwig,6940768,bigwig,158170.0,bigwig,24320.0,bigwig,51026.0,bigwig,34846682.0,bigwig,428638.0,bigwig,31239.0,bigwig,bigwig,2016-07-02 03:20:53.727588,slurm_multi,,main_w1_handler2,2755633,13311439,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7513973,slurm,,corral-repl,,0,no,"""fa299aa2400311e6be28005056a52a46""","[{'src': 'hda', 'id': 'bbd44e69cb8906b533d8d22d85da74a3'}, {'src': 'hda', 'id': 'bbd44e69cb8906b59ca0d8667d9f2061'}, {'src': 'hda', 'id': 'bbd44e69cb8906b51703958f5f45fe18'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5df2765211f80faa2'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5c48251f9ec5877dd'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5c393735f20673e9a'}, {'src': 'hda', 'id': 'bbd44e69cb8906b54b02ac27e4477bc2'}, {'src': 'hda', 'id': 'bbd44e69cb8906b575561fc1b8d6be56'}, {'src': 'hda', 'id': 'bbd44e69cb8906b55494fd415c627c82'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,,,BED-file,"[{'src': 'hda', 'id': 'bbd44e69cb8906b577c1e6840ce88609'}]","""true""","""""",2734820423.0,bed,,31200238,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bigwig_summary/deeptools_multi_bigwig_summary/2.2.3.0,2.2.3.0,,2016-07-02 04:25:20.090970,29338,3866.3633820000005
20916,20916,bigwig,869810,bigwig,6940768,bigwig,158170.0,bigwig,24320.0,bigwig,51026.0,bigwig,34846682.0,bigwig,428638.0,bigwig,31239.0,bigwig,bigwig,2016-07-02 03:19:18.356898,slurm_multi,,main_w1_handler2,2755630,13311421,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7513733,slurm,,corral-repl,,0,no,"""c12bd8a0400311e6be28005056a52a46""","[{'src': 'hda', 'id': 'bbd44e69cb8906b533d8d22d85da74a3'}, {'src': 'hda', 'id': 'bbd44e69cb8906b59ca0d8667d9f2061'}, {'src': 'hda', 'id': 'bbd44e69cb8906b51703958f5f45fe18'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5df2765211f80faa2'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5c48251f9ec5877dd'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5c393735f20673e9a'}, {'src': 'hda', 'id': 'bbd44e69cb8906b54b02ac27e4477bc2'}, {'src': 'hda', 'id': 'bbd44e69cb8906b575561fc1b8d6be56'}, {'src': 'hda', 'id': 'bbd44e69cb8906b55494fd415c627c82'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,,,BED-file,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a668f39d808ec119'}]","""true""","""""",3164745725.0,bed,,31200238,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bigwig_summary/deeptools_multi_bigwig_summary/2.2.3.0,2.2.3.0,,2016-07-02 04:04:32.137502,29338,2713.780604
