create_time,destination_id,exit_code,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.annotations,parameters.chr,parameters.chromInfo,parameters.dbkey,parameters.filter.__current_case__,parameters.filter.specificEffects,parameters.generate_stats,parameters.input.values,parameters.inputFormat,parameters.noLog,parameters.offset,parameters.outputConditional.__current_case__,parameters.outputConditional.outputFormat,parameters.snpDb.__current_case__,parameters.snpDb.extra_annotations,parameters.snpDb.genomeSrc,parameters.snpDb.regulation,parameters.snpDb.snpeff_db.values,parameters.spliceRegion.__current_case__,parameters.spliceRegion.setSpliceRegions,parameters.spliceSiteSize,parameters.udLength,runner_name,session_id,snpeff_db,snpeff_db_filetype,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-08-04 20:09:22.857269,slurm_normal,,main_w3_handler0,3213260,16507329,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",22163877,vcf,10577290.roundup,slurm,,corral-repl,,"[""-canon"", ""-classic""]","""""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,no,"""true""","[{'src': 'hda', 'id': 30762646}]","""vcf""","""true""","""default""",0,vcf,1,"['nextprot', 'motif']",history,"['H1ESC', 'NH-A', 'GM06990', 'HMEC', 'HeLa-S3', 'K562', 'IMR90', 'CD4', 'HUVEC', 'HepG2', 'GM12878', 'NHEK', 'HSMM']","[{'src': 'hda', 'id': 30763149}]",0,no,"""2""","""5000""",,39718357,138,snpeffdb,error,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.1.0,4.1.0,,2017-08-04 20:18:22.373271,15791,539.5160020000001
2017-07-25 17:19:11.769309,slurm_normal,,main_w4_handler1,3187857,16415586,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",57394864,vcf,10480642.roundup,slurm,,corral-repl,,,"""chr""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,no,"""true""","[{'src': 'hda', 'id': 30597319}]","""vcf""","""true""","""default""",0,vcf,1,"['nextprot', 'motif']",history,"['H1ESC', 'NH-A', 'GM06990', 'HMEC', 'HeLa-S3', 'K562', 'IMR90', 'CD4', 'HUVEC', 'HepG2', 'GM12878', 'NHEK', 'HSMM']","[{'src': 'hda', 'id': 30606747}]",0,no,"""2""","""5000""",,38728806,138,snpeffdb,error,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.1.0,4.1.0,,2017-07-25 17:25:09.704165,103278,357.934856
