create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_bams_0|input_bam,input_bams_0|input_bam_filetype,input_bams_1|input_bam,input_bams_1|input_bam_filetype,input_bams_2|input_bam,input_bams_2|input_bam_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.advanced_options.__current_case__,parameters.advanced_options.advanced_options_selector,parameters.advanced_options.coverage_dtype,parameters.advanced_options.safe,parameters.chromInfo,parameters.dbkey,parameters.min_base_quality,parameters.min_mapping_quality,parameters.min_support_depth,parameters.ploidy,parameters.reference_source.__current_case__,parameters.reference_source.input_bams,parameters.reference_source.ref_file,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,parameters.reference_source|input_bams_0|input_bam|__identifier__,parameters.regions,parameters.use_strand,parameters.variants_only,ref_file,ref_file_filetype,reference_source|input_bams_0|input_bam,reference_source|input_bams_0|input_bam_filetype,reference_source|input_bams_1|input_bam,reference_source|input_bams_1|input_bam_filetype,reference_source|input_bams_2|input_bam,reference_source|input_bams_2|input_bam_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-12-17 10:00:07.212112,slurm_normal_dynamic_mem,,main_w4_handler0,3368202,17828705,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,,,11902212,slurm,,corral-repl,,,0,basic,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""""","""""","""0""","""2""",0.0,"[{'__index__': 0, 'input_bam': {'values': [{'src': 'hda', 'id': 32969862}]}}]",hg19,,cached,,[],"""false""","""false""",,,13463835.0,bam,,,,,,42691595.0,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.2,0.0.2,,2017-12-17 13:02:25.791179,118730.0,10938.579067
2017-05-07 00:22:18.964685,slurm_normal_dynamic_mem,,main_w4_handler0,3101006,15769179,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,,,9876538.roundup,slurm,,corral-repl,,,1,advanced,guess,false,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""""","""""","""0""","""2""",0.0,"[{'__index__': 0, 'input_bam': {'values': [{'src': 'hda', 'id': 29501186}]}}]",hg19,,cached,,[],"""false""","""true""",,,29483807.0,bam,,,,,,37515509.0,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.2,0.0.2,,2017-05-07 00:22:56.857854,89216.0,37.893169
2017-11-02 15:46:58.854061,slurm_normal_dynamic_mem,,main_w3_handler0,3307763,17303606,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,,,11363784,slurm,,corral-repl,,,1,advanced,guess,false,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""","""""","""""","""0""","""2""",0.0,"[{'__index__': 0, 'input_bam': {'values': [{'src': 'hda', 'id': 32028577}]}}]",hg38,,cached,"""CADLCC378-V1T-1_S228_L001__001.fastq""",[],"""true""","""true""",,,1221879.0,bam,,,,,,41664480.0,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.2,0.0.2,,2017-11-02 15:55:59.270093,29607.0,540.4160320000001
2017-12-16 21:27:31.430052,slurm_normal_dynamic_mem,,main_w4_handler1,1366712,17826859,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,,,11900348,slurm,,corral-repl,,,0,basic,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""15""","""""","""3""","""2""",0.0,"[{'__index__': 0, 'input_bam': {'values': [{'src': 'hda', 'id': 32849481}]}}]",hg19,,cached,,[],"""true""","""true""",,,6552927430.0,bam,,,,,,42701715.0,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.2,0.0.2,,2017-12-17 15:08:52.250528,32709.0,63680.820476
2017-10-03 18:13:22.818589,slurm_normal_dynamic_mem,,main_w4_handler1,3273853,17013233,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,,,11068405.roundup,slurm,,corral-repl,,,1,advanced,uint16,true,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""","""""","""""","""10""","""2""",0.0,"[{'__index__': 0, 'input_bam': {'values': [{'src': 'hda', 'id': 31541099}]}}]",hg38,,cached,,[],"""false""","""false""",,,67747242.0,bam,,,,,,41023669.0,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.2,0.0.2,,2017-10-03 18:25:39.857078,46373.0,737.038489
2017-11-22 06:01:44.644150,slurm_normal_dynamic_mem,,main_w3_handler1,3334603,17545621,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,,,11605612,slurm,,corral-repl,,"""9bd964d2cf4a11e7a882005056ba55fb""",0,basic,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""""","""""","""0""","""2""",0.0,"[{'__index__': 0, 'input_bam': {'values': [{'src': 'hda', 'id': 32466337}]}}]",12931,,cached,,[],"""false""","""false""",,,75542291.0,bam,,,,,,,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.2,0.0.2,,2017-11-22 08:08:46.741077,43494.0,7622.0969270000005
2017-04-08 22:13:54.799858,slurm_normal_dynamic_mem,,main_w4_handler1,2217603,15531717,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,,,9658136.roundup,slurm,,corral-repl,,,0,basic,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""""","""""","""0""","""2""",0.0,"[{'__index__': 0, 'input_bam': {'values': [{'src': 'hda', 'id': 29133104}]}}]",hg38,,cached,,[],"""false""","""false""",,,19712368.0,bam,,,,,,37057947.0,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.2,0.0.2,,2017-04-09 07:54:19.180679,60130.0,34824.380821
2017-11-29 05:22:09.775991,slurm_normal_dynamic_mem,,main_w3_handler1,3331066,17629831,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,,,11690338,slurm,,corral-repl,,,0,basic,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""""","""""","""0""","""2""",0.0,"[{'__index__': 0, 'input_bam': {'values': [{'src': 'hda', 'id': 32520183}]}}]",hg19,,cached,,[],"""false""","""false""",,,8299432.0,bam,,,,,,42094663.0,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.2,0.0.2,,2017-11-29 07:24:21.600274,116574.0,7331.824283000001
2017-04-13 22:24:25.662226,slurm_normal_dynamic_mem,,main_w3_handler0,3035161,15582781,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,,,9705023.roundup,slurm,,corral-repl,,,0,basic,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""","""""","""""","""0""","""2""",0.0,"[{'__index__': 0, 'input_bam': {'values': [{'src': 'hda', 'id': 29212542}]}}]",hg_g1k_v37,,cached,,[],"""false""","""false""",,,24549104.0,bam,,,,,,37062226.0,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.2,0.0.2,,2017-04-13 23:04:47.091792,97958.0,2421.4295660000002
2017-08-22 00:51:53.170300,slurm_normal_dynamic_mem,,main_w4_handler0,3228878,16628025,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,,,10700390.roundup,slurm,,corral-repl,,,0,basic,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""""","""""","""0""","""2""",0.0,"[{'__index__': 0, 'input_bam': {'values': [{'src': 'hda', 'id': 30944755}]}}]",hg19,,cached,,[],"""false""","""false""",,,5184370.0,bam,,,,,,39985395.0,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.2,0.0.2,,2017-08-22 03:22:18.504544,109718.0,9025.334244
