create_time,destination_id,exit_code,genome,genome_filetype,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.genome,parameters.input,parameters.mapq,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-04-01 19:22:32.700752,slurm_normal,,334291069,interval,main_w1_handler2,2467765,12314466,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",479063746,bed,6522005.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",24095000,24106949,"""255""",,28883570,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bedpetobam/2.22.0,2.22.0,,2016-04-01 19:34:01.389227,70966,688.688475
2016-03-04 09:35:45.847508,slurm_normal,,2060564824,bed,main_w1_handler2,2307361,12017913,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2060564824,bed,6247407.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23651093,23651093,"""255""",,28606470,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bedpetobam/2.22.0,2.22.0,,2016-03-04 09:39:54.663832,63554,248.816324
