create_time,destination_id,exit_code,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.inputFile,parameters.sort_order,parameters.validation_stringency,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-03-14 02:13:15.275116,rodeo_normal,,main_w1_handler0,2175008,8947188,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6246274745,bam,3164672.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19Patch10.len""","""hg19Patch10""",18853561,"""coordinate""","""LENIENT""",,21271085,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_SortSam/1.126.0,1.126.0,,2015-03-14 02:18:15.373950,58312,300.098834
2015-03-19 19:06:40.038726,rodeo_normal,,main_w2_handler0,2239096,8991590,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5693102086,bam,3247238.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",18876534,"""queryname""","""LENIENT""",,20500655,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_SortSam/1.126.0,1.126.0,,2015-03-19 19:11:28.738610,40922,288.699884
2015-02-27 18:59:56.800008,rodeo_normal,,main_w1_handler0,2222244,8830374,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2838358307,bam,2948466.roundup,slurm,,corral-repl,,"""cd37e446beb211e485c1005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18658344,"""coordinate""","""LENIENT""",,20604233,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_SortSam/1.126.0,1.126.0,,2015-02-27 19:04:28.220835,58475,271.42082700000003
2015-03-10 11:23:14.413901,rodeo_normal,,main_w2_handler0,1376907,8906386,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",698064836,bam,3088862.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",10581410,"""coordinate""","""LENIENT""",,21276057,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_SortSam/1.126.0,1.126.0,,2015-03-10 11:25:59.278613,28538,164.864712
2015-03-19 19:16:44.610751,rodeo_normal,,main_w1_handler0,2239096,8991677,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5693102086,bam,3247567.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",18876534,"""queryname""","""SILENT""",,20500655,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_SortSam/1.126.0,1.126.0,,2015-03-19 19:30:16.280909,40922,811.670158
2015-02-28 21:00:44.917275,rodeo_normal,,main_w1_handler0,1312032,8834504,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",24594025656,sam,2956272.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",18678613,"""coordinate""","""LENIENT""",,21250017,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_SortSam/1.126.0,1.126.0,,2015-02-28 21:02:14.151972,8187,89.23469700000001
2015-03-05 17:37:45.021073,rodeo_normal,,main_w2_handler0,2226638,8872887,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",19310867370,bam,3028515.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",18730611,"""coordinate""","""LENIENT""",,21589997,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_SortSam/1.126.0,1.126.0,,2015-03-05 17:41:14.431833,43734,209.41076
2015-03-03 00:57:45.482907,rodeo_normal,,main_w2_handler0,427993,8845974,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2319102724,bam,2978215.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18701400,"""coordinate""","""LENIENT""",,21540956,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_SortSam/1.126.0,1.126.0,,2015-03-03 01:01:27.027311,6725,221.54440400000001
2015-03-17 18:52:06.773748,rodeo_normal,,main_w1_handler0,2175008,8970522,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6098246780,bam,3207729.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18887211,"""coordinate""","""LENIENT""",,21489977,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_SortSam/1.126.0,1.126.0,,2015-03-17 18:59:22.678867,58312,435.905119
2015-03-19 16:09:21.063658,rodeo_normal,,main_w1_handler0,2235893,8989499,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3087434684,bam,3243527.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",18840218,"""coordinate""","""LENIENT""",,21622266,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_SortSam/1.126.0,1.126.0,,2015-03-19 16:12:49.870481,5254,208.806823
