create_time,destination_id,exit_code,handler,history_id,id,imported,in_sam,in_sam_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.in_sam,parameters.in_sam.values,parameters.m,parameters.n,parameters.saveDiscarded,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-04-23 18:05:36.689177,slurm_normal,,main_w1_handler0,2677202,12583166,False,1645993984,sam,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6785502.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e5c5c9f9dfce0155'}]","""0""","""0""","""false""",,29767257.0,error,toolshed.g2.bx.psu.edu/repos/boris/filter_on_md/MDtag_filter/1.0.2,1.0.2,,2016-04-23 18:06:27.000395,83013,50.311218000000004
2016-05-17 01:03:03.967526,slurm_normal,,main_w1_handler1,2381414,12912663,False,14370947093,sam,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7107238.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/16374.len""","""16374""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b2db9503ef70e913'}]","""0""","""0""","""false""",,29824346.0,error,toolshed.g2.bx.psu.edu/repos/boris/filter_on_md/MDtag_filter/1.0.2,1.0.2,,2016-05-17 01:04:06.675219,66501,62.707693000000006
2016-05-02 20:07:34.282648,slurm_normal,,main_w1_handler1,2677202,12738171,False,11217522881,sam,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6937478.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54230c49c5c0ed6c1'}]","""0""","""0""","""false""",,29979069.0,error,toolshed.g2.bx.psu.edu/repos/boris/filter_on_md/MDtag_filter/1.0.2,1.0.2,,2016-05-02 20:14:57.573406,83013,443.29075800000004
2016-01-06 15:20:09.518089,slurm_normal,,main_w1_handler1,2556580,11393226,False,7261361148,sam,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5662406.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",22760398,,"""0""","""0""","""False""",,27233195.0,error,toolshed.g2.bx.psu.edu/repos/boris/filter_on_md/MDtag_filter/1.0.2,1.0.2,,2016-01-06 15:21:55.707339,36150,106.18925
2016-05-02 22:10:03.718483,slurm_normal,,main_w1_handler1,2677202,12740485,False,9749520873,sam,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6939923.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a9c59dc8a2150696'}]","""0""","""0""","""false""",,29979069.0,error,toolshed.g2.bx.psu.edu/repos/boris/filter_on_md/MDtag_filter/1.0.2,1.0.2,,2016-05-02 22:11:58.755381,83013,115.03689800000001
2017-07-12 22:46:18.851452,slurm_normal,,main_w3_handler0,3190831,16325980,False,6108000825,sam,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10392584.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 30464344}]","""20""","""20""","""false""",,39253735.0,error,toolshed.g2.bx.psu.edu/repos/boris/filter_on_md/MDtag_filter/1.0.2,1.0.2,,2017-07-12 22:46:51.349691,107884,32.498239000000005
2016-04-23 19:13:10.058309,slurm_normal,,main_w1_handler2,2677202,12583494,False,8287038664,sam,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6786230.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b708c72052d291e8'}]","""0""","""0""","""false""",,29767257.0,error,toolshed.g2.bx.psu.edu/repos/boris/filter_on_md/MDtag_filter/1.0.2,1.0.2,,2016-04-23 19:14:20.595436,83013,70.537127
2016-05-03 08:55:27.360582,slurm_normal,,main_w2_handler1,2677202,12744368,False,9749520873,sam,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6948668.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a9c59dc8a2150696'}]","""0""","""0""","""false""",,29765878.0,error,toolshed.g2.bx.psu.edu/repos/boris/filter_on_md/MDtag_filter/1.0.2,1.0.2,,2016-05-03 08:57:31.597482,83013,124.2369
2018-01-18 07:25:41.965536,slurm_normal,,main_w4_handler1,2902766,18069018,False,17885054536,sam,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12147572,slurm,,corral-repl,,"""c7a444c6fc2011e78b68005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33365286}]","""100""","""100""","""false""",,,error,toolshed.g2.bx.psu.edu/repos/boris/filter_on_md/MDtag_filter/1.0.2,1.0.2,,2018-01-18 07:29:25.002261,85984,223.03672500000002
2016-05-02 19:13:57.220043,slurm_normal,,main_w2_handler0,2677202,12737547,False,9749520873,sam,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6936640.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a9c59dc8a2150696'}]","""0""","""0""","""false""",,29979069.0,error,toolshed.g2.bx.psu.edu/repos/boris/filter_on_md/MDtag_filter/1.0.2,1.0.2,,2016-05-02 19:18:31.336205,83013,274.11616200000003
