create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_database,input_database_filetype,input_motifs,input_motifs_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.fasta_type.__current_case__,parameters.fasta_type.fasta_type_selector,parameters.fasta_type.input_database,parameters.fasta_type.input_database.values,parameters.input_motifs.values,parameters.non_commercial_use,parameters.options_type.__current_case__,parameters.options_type.options_type_selector,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-12-18 12:52:44.233532,slurm_normal,,main_w3_handler1,3169615,17837142,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",21151376.0,fasta,217283,memexml,11911087,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,history,,"[{'src': 'hda', 'id': 32931333}]","[{'src': 'hda', 'id': 32904875}]","""true""",0,basic,,42636940,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.1.0,4.11.1.0,,2017-12-18 13:15:30.689303,107574.0,1366.4557710000001
2017-12-14 12:48:47.548589,slurm_normal,,main_w3_handler0,3169615,17806478,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2782724.0,fasta,712031,memexml,11876113,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,history,,"[{'src': 'hda', 'id': 32904895}]","[{'src': 'hda', 'id': 32930377}]","""true""",0,basic,,42636940,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.1.0,4.11.1.0,,2017-12-14 12:51:33.494202,107574.0,165.945613
2017-12-18 13:33:39.600042,slurm_normal,,main_w3_handler0,3169615,17837409,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1288873.0,fasta,309589,memexml,11911392,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,history,,"[{'src': 'hda', 'id': 32977915}]","[{'src': 'hda', 'id': 32904872}]","""true""",0,basic,,42636940,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.1.0,4.11.1.0,,2017-12-18 13:35:23.387935,107574.0,103.78789300000001
2017-12-18 01:42:54.391861,slurm_normal,,main_w3_handler0,3169615,17833326,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1288873.0,fasta,311545,memexml,11906762,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,history,,"[{'src': 'hda', 'id': 32977915}]","[{'src': 'hda', 'id': 32930375}]","""true""",0,basic,,42636940,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.1.0,4.11.1.0,,2017-12-18 01:44:37.082487,107574.0,102.69062600000001
2017-10-28 21:21:17.251779,slurm_normal,,main_w4_handler1,3283946,17251461,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",254235640.0,fasta,348066,memexml,11311568,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",1,history,,"[{'src': 'hda', 'id': 31941326}]","[{'src': 'hda', 'id': 31941282}]","""true""",0,basic,,41231993,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.1.0,4.11.1.0,,2017-10-29 06:17:47.125119,,32189.873340000002
2017-12-14 14:54:33.513767,slurm_normal,,main_w4_handler0,3169615,17807261,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",21151376.0,fasta,311545,memexml,11876965,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,history,,"[{'src': 'hda', 'id': 32931333}]","[{'src': 'hda', 'id': 32930375}]","""true""",0,basic,,42636940,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.1.0,4.11.1.0,,2017-12-14 15:32:52.472668,107574.0,2298.958901
2017-12-18 01:53:46.186178,slurm_normal,,main_w3_handler1,3169615,17833397,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",22350676.0,fasta,130150,memexml,11906841,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,history,,"[{'src': 'hda', 'id': 32931305}]","[{'src': 'hda', 'id': 32931348}]","""true""",0,basic,,42636940,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.1.0,4.11.1.0,,2017-12-18 02:09:29.285534,107574.0,943.0993560000001
2017-12-14 07:21:39.786647,slurm_normal,,main_w3_handler0,3169615,17804099,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1398460.0,fasta,217283,memexml,11873790,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,history,,"[{'src': 'hda', 'id': 32902784}]","[{'src': 'hda', 'id': 32904875}]","""true""",0,basic,,42636940,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.1.0,4.11.1.0,,2017-12-14 07:23:22.982890,107574.0,103.19624300000001
2017-12-14 02:32:51.223702,slurm_normal,,main_w3_handler0,3169615,17802588,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1398460.0,fasta,217283,memexml,11872158,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,history,,"[{'src': 'hda', 'id': 32902784}]","[{'src': 'hda', 'id': 32904875}]","""true""",0,basic,,42636940,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.1.0,4.11.1.0,,2017-12-14 02:34:49.815133,107574.0,118.59143100000001
2017-12-14 07:16:23.875675,slurm_normal,,main_w3_handler0,3169615,17804071,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2782724.0,fasta,217283,memexml,11873774,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,history,,"[{'src': 'hda', 'id': 32904895}]","[{'src': 'hda', 'id': 32904875}]","""true""",0,basic,,42636940,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.1.0,4.11.1.0,,2017-12-14 07:18:10.820565,107574.0,106.94489
