create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,matrixFile,matrixFile_filetype,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.advancedOpt.__current_case__,parameters.advancedOpt.averageType,parameters.advancedOpt.colors,parameters.advancedOpt.outFileNameData,parameters.advancedOpt.perGroup,parameters.advancedOpt.plotHeight,parameters.advancedOpt.plotTitle,parameters.advancedOpt.plotType,parameters.advancedOpt.plotWidth,parameters.advancedOpt.regionsLabel,parameters.advancedOpt.samplesLabel,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.used_multiple_regions.__current_case__,parameters.advancedOpt.used_multiple_regions.clustering.__current_case__,parameters.advancedOpt.used_multiple_regions.clustering.clustering_options,parameters.advancedOpt.used_multiple_regions.clustering.k_kmeans,parameters.advancedOpt.used_multiple_regions.clustering.n_hclust,parameters.advancedOpt.used_multiple_regions.used_multiple_regions_options,parameters.advancedOpt.yMax,parameters.advancedOpt.yMin,parameters.chromInfo,parameters.dbkey,parameters.matrixFile.values,parameters.output.__current_case__,parameters.output.outFileFormat,parameters.output.saveSortedRegions,parameters.output.showOutputSettings,parameters.scaleRegions.__current_case__,parameters.scaleRegions.endLabel,parameters.scaleRegions.showScaleRegionsOpt,parameters.scaleRegions.startLabel,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-07-12 15:26:30.058136,slurm_normal,,main_w2_handler1,2764195,13386532,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7611162.roundup,slurm,,224568205,deeptools_compute_matrix_archive,corral-repl,,"""ff7c6810484411e69cda005056a51846""",0,,,,,,,,,,,no,,,,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5d702d1fd59618ba1'}]",0,,,no,1,TES,yes,TSS,,31311709,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.2.3.0,2.2.3.0,,2016-07-13 19:18:39.428504,29338,100329.370368
2016-07-13 01:54:11.276316,slurm_normal,,main_w2_handler1,2763737,13392261,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7603866.roundup,slurm,,631387877,deeptools_compute_matrix_archive,corral-repl,,,1,mean,,false,true,5,,lines,11,,,yes,1.0,,,,,yes,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","[{'src': 'hda', 'id': 'bbd44e69cb8906b57fd6a80e615779bd'}]",1,eps,false,yes,0,,no,,,30822841,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.2.3.0,2.2.3.0,,2016-07-13 01:57:52.931235,42951,221.654919
2016-07-12 16:04:33.261315,slurm_normal,,main_w2_handler1,2764251,13387182,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7620690.roundup,slurm,,226012370,deeptools_compute_matrix_archive,corral-repl,,"""4fcf166e484a11e6b0be005056a52a46""",0,,,,,,,,,,,no,,,,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5f6293e4a7e35885d'}]",0,,,no,1,TES,yes,TSS,,31311709,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.2.3.0,2.2.3.0,,2016-07-14 10:31:27.659740,29338,152814.39842500002
2016-07-13 01:47:30.391462,slurm_normal,,main_w1_handler0,2763737,13392243,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7603843.roundup,slurm,,631387877,deeptools_compute_matrix_archive,corral-repl,,,1,mean,,false,true,5,,lines,11,,,yes,0.0,2.0,none,,,no,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","[{'src': 'hda', 'id': 'bbd44e69cb8906b57fd6a80e615779bd'}]",1,eps,false,yes,0,,no,,,30822841,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.2.3.0,2.2.3.0,,2016-07-13 01:51:24.751740,42951,234.36027800000002
2016-07-12 15:15:16.508598,slurm_normal,,main_w1_handler1,2764157,13386321,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7604921.roundup,slurm,,356652207,deeptools_compute_matrix_archive,corral-repl,,"""6c8a8dd0484311e6bce8005056a51846""",0,,,,,,,,,,,no,,,,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b57f8cab0bf2c6ffc6'}]",0,,,no,1,TES,yes,TSS,,31311709,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.2.3.0,2.2.3.0,,2016-07-13 08:03:48.304821,29338,60511.796223000005
2016-07-09 01:24:28.954809,slurm_normal,,main_w1_handler0,2761073,13365586,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7575622.roundup,slurm,,144658653,deeptools_compute_matrix_archive,corral-repl,,,1,mean,,true,true,5,,fill,11,,,yes,1.0,,,,,yes,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5fae45e5be17435dd'}]",1,png,true,yes,1,TES,yes,TSS,,31311709,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.2.3.0,2.2.3.0,,2016-07-09 01:27:00.767916,29338,151.813107
2016-07-09 01:51:43.209467,slurm_normal,,main_w1_handler1,2761073,13365620,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7575667.roundup,slurm,,144658653,deeptools_compute_matrix_archive,corral-repl,,,1,sum,,false,false,5,,heatmap,11,,,yes,0.0,1.0,hclust,,0,no,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5fae45e5be17435dd'}]",1,png,false,yes,1,TES,yes,TSS,,31311709,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.2.3.0,2.2.3.0,,2016-07-09 01:53:57.717675,29338,134.508208
2016-07-09 15:45:22.458576,slurm_normal,,main_w2_handler1,2761837,13367036,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7577687.roundup,slurm,,302254778,deeptools_compute_matrix_archive,corral-repl,,"""22cdbf0e45ec11e6b03d005056a51846""",0,,,,,,,,,,,no,,,,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b51355e42a31e4a255'}]",0,,,no,1,TES,yes,TSS,,31311709,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.2.3.0,2.2.3.0,,2016-07-09 18:13:09.150167,29338,8866.691591
2016-07-10 02:39:23.933136,slurm_normal,,main_w2_handler1,2762019,13368913,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7580373.roundup,slurm,,276688091,deeptools_compute_matrix_archive,corral-repl,,"""80e78b82464711e682ca005056a52a46""",0,,,,,,,,,,,no,,,,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b53a9b519b011a21a4'}]",0,,,no,1,TES,yes,TSS,,31311709,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.2.3.0,2.2.3.0,,2016-07-10 14:08:48.461240,29338,41364.528104000005
2016-07-09 01:20:45.119103,slurm_normal,,main_w1_handler1,2761073,13365571,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7575609.roundup,slurm,,144658653,deeptools_compute_matrix_archive,corral-repl,,,0,,,,,,,,,,,no,,,,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5fae45e5be17435dd'}]",1,png,false,yes,1,TES,yes,TSS,,31311709,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.2.3.0,2.2.3.0,,2016-07-09 01:23:36.627011,29338,171.50790800000001
