chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.returntype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-09-23 17:32:39.760922,slurm_normal,,main_w1_handler2,2442139,10398226,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",48877803,interval,4677367.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/012/438/dataset_12438053.dat""","""TRAC""",21230952,,"""False""",,25174793,error,toolshed.g2.bx.psu.edu/repos/devteam/merge/gops_merge_1/1.0.0,1.0.0,,2015-09-23 17:33:54.176479,61115.0,74.415557
,,2015-09-23 18:34:17.255761,slurm_normal,,main_w1_handler0,2442139,10399150,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",48877803,interval,4678400.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/012/438/dataset_12438053.dat""","""TRAC""",21230952,,"""True""",,25174793,error,toolshed.g2.bx.psu.edu/repos/devteam/merge/gops_merge_1/1.0.0,1.0.0,,2015-09-23 18:35:50.055914,61115.0,92.80015300000001
,,2017-09-14 05:25:32.605015,slurm_normal,,main_w3_handler0,3252513,16814627,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",46820774,interval,10884070.roundup,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 31227283}]","""false""",,40492900,error,toolshed.g2.bx.psu.edu/repos/devteam/merge/gops_merge_1/1.0.0,1.0.0,,2017-09-14 05:26:51.864786,,79.259771
,,2017-09-14 05:23:19.716066,slurm_normal,,main_w4_handler1,3252513,16814623,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",46820774,interval,10884056.roundup,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 31227283}]","""true""",,40492900,error,toolshed.g2.bx.psu.edu/repos/devteam/merge/gops_merge_1/1.0.0,1.0.0,,2017-09-14 05:24:34.399576,,74.68351
,,2015-09-23 18:02:25.960475,slurm_normal,,main_w2_handler0,2442139,10398706,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",48877803,interval,4677870.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/012/438/dataset_12438053.dat""","""TRAC""",21230952,,"""True""",,25174793,error,toolshed.g2.bx.psu.edu/repos/devteam/merge/gops_merge_1/1.0.0,1.0.0,,2015-09-23 18:03:27.834863,61115.0,61.874388
,,2015-09-23 20:17:59.595471,slurm_normal,,main_w1_handler2,2449045,10399793,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",48877803,interval,4679102.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/TRAC.len""","""TRAC""",21234346,,"""True""",,25344212,error,toolshed.g2.bx.psu.edu/repos/devteam/merge/gops_merge_1/1.0.0,1.0.0,,2015-09-23 20:19:31.543857,68732.0,91.948386
4617710.0,len,2016-10-25 02:02:35.349422,slurm_normal,,main_w4_handler0,2847289,14163910,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4113142,bed,8376326.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/017/611/dataset_17611388.dat""","""neem_amwy""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57c83e35eec20dd7b'}]","""false""",,33369915,error,toolshed.g2.bx.psu.edu/repos/devteam/merge/gops_merge_1/1.0.0,1.0.0,,2016-10-25 02:03:07.186383,91348.0,31.836961000000002
,,2015-09-23 17:46:33.736958,slurm_normal,,main_w1_handler2,2442139,10398419,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",48877803,interval,4677574.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/012/438/dataset_12438053.dat""","""TRAC""",21230952,,"""True""",,25174793,error,toolshed.g2.bx.psu.edu/repos/devteam/merge/gops_merge_1/1.0.0,1.0.0,,2015-09-23 17:47:53.674901,61115.0,79.937943
,,2015-09-23 20:38:24.447469,slurm_normal,,main_w2_handler0,2449045,10400130,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",48877803,interval,4679242.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/TRAC.len""","""TRAC""",21234346,,"""False""",,25344212,error,toolshed.g2.bx.psu.edu/repos/devteam/merge/gops_merge_1/1.0.0,1.0.0,,2015-09-23 20:39:59.062649,68732.0,94.61518000000001
,,2015-09-23 17:30:14.756080,slurm_normal,,main_w1_handler2,2442139,10398192,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",48877803,interval,4677345.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/012/438/dataset_12438053.dat""","""TRAC""",21230952,,"""False""",,25174793,error,toolshed.g2.bx.psu.edu/repos/devteam/merge/gops_merge_1/1.0.0,1.0.0,,2015-09-23 17:31:36.823726,61115.0,82.06764600000001
