create_time,destination_id,exit_code,handler,history_id,id,imported,info,inputSequences,inputSequences_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.adjustdirection,parameters.chromInfo,parameters.cond_flavour.__current_case__,parameters.cond_flavour.flavourType,parameters.datatype,parameters.dbkey,parameters.ep,parameters.getTree,parameters.inputSequences.values,parameters.matrix_condition.BLOSUM,parameters.matrix_condition.__current_case__,parameters.matrix_condition.matrix,parameters.op,parameters.outputFormat,parameters.reorder,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-03-07 14:37:39.452335,slurm_normal,,main_w4_handler0,3021932,15230835,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7860094,fasta,9378665.roundup,slurm,,corral-repl,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",1,mafft --auto,"""--nuc""","""?""","""0.123""","""false""","[{'src': 'hda', 'id': 28654957}]",,0,,"""1.53""","""""","""false""",,36482023,error,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3,7.221.3,,2017-03-07 14:56:12.369105,101553,1112.91677
2017-03-23 11:41:18.705391,slurm_normal,,main_w4_handler0,2222052,15374744,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9825289,fasta,9512856.roundup,slurm,,corral-repl,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",2,mafft-fftnsi,"""--nuc""","""?""","""0.123""","""false""","[{'src': 'hda', 'id': 28892330}]",,0,,"""1.53""","""""","""false""",,35324192,error,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3,7.221.3,,2017-03-23 19:26:27.592093,8998,27908.886702000003
2017-08-14 19:55:44.907991,slurm_normal,,main_w4_handler0,3040340,16579722,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3838436,fasta,10650998.roundup,slurm,,corral-repl,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",7,mafft-linsi,"""""","""?""","""0.123""","""false""","[{'src': 'hda', 'id': 30872177}]",,0,,"""1.53""","""--clustalout""","""false""",,39864452,error,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3,7.221.3,,2017-08-14 19:56:11.331844,102508,26.423853
2016-12-02 11:32:29.800257,slurm_normal,,main_w4_handler0,2704142,14471762,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",132070195,fasta,8665034.roundup,slurm,,corral-repl,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",0,mafft-fftns,"""""","""?""","""0.123""","""false""","[{'src': 'hda', 'id': 27471167}]",,0,,"""1.53""","""""","""false""",,34597519,error,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3,7.221.3,,2016-12-02 11:33:04.043358,46771,34.243101
2016-11-04 18:11:22.736071,slurm_normal,,main_w3_handler0,2850354,14255028,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",654438462,fasta,8463722.roundup,slurm,,corral-repl,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",3,mafft-nwns,"""--nuc""","""?""","""0.123""","""true""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5aee112036a07a1f7'}]",,0,,"""1.53""","""--clustalout""","""true""",,33592673,error,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3,7.221.3,,2016-11-04 18:21:47.727697,48811,624.991626
2018-02-19 20:37:20.132376,slurm_normal,,main_w3_handler1,3434797,18440229,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",22380293,fasta,12534959,slurm,,corral-repl,,""" ""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,mafft-fftns,"""""","""?""","""0.123""","""true""","[{'src': 'hda', 'id': 33942036}]",,0,,"""1.53""","""""","""false""",,44005329,error,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3,7.221.3,,2018-02-19 20:45:20.302887,52654,480.17051100000003
2017-03-07 14:37:39.022959,slurm_normal,,main_w4_handler1,3021932,15230834,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6647184,fasta,9378660.roundup,slurm,,corral-repl,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",1,mafft --auto,"""--nuc""","""?""","""0.123""","""false""","[{'src': 'hda', 'id': 28654913}]",,0,,"""1.53""","""""","""false""",,36482023,error,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3,7.221.3,,2017-03-07 14:50:05.287260,101553,746.264301
2018-01-10 18:22:09.808454,slurm_normal,,main_w3_handler0,3383185,17995294,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7805173,fasta,12072031,slurm,,corral-repl,,""" ""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",3,mafft-nwns,"""--nuc""","""?""","""0.123""","""true""","[{'src': 'hda', 'id': 33236701}]",,0,,"""1.53""","""--clustalout""","""true""",,42590566,error,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3,7.221.3,,2018-01-10 18:22:30.055538,91624,20.247084
2016-09-19 14:33:54.853280,slurm_normal,,main_w3_handler1,2823740,13884130,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2355623,fasta,8107583.roundup,slurm,,corral-repl,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",6,mafft-ginsi,"""--amino""","""?""","""0.123""","""true""","[{'src': 'hda', 'id': 'bbd44e69cb8906b59faaa4ad84a1509d'}]",45,1,BLOSUM,"""1.53""","""--phylipout""","""false""",,33017954,error,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3,7.221.3,,2016-09-19 14:34:48.505301,84359,53.652021000000005
2017-12-05 18:29:50.800323,slurm_normal,,main_w4_handler0,3353423,17707667,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",24093644,fasta,11772307,slurm,,corral-repl,,""" ""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,mafft-fftns,"""--nuc""","""?""","""0.123""","""false""","[{'src': 'hda', 'id': 32751476}]",,0,,"""1.53""","""""","""false""",,42479437,error,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3,7.221.3,,2017-12-05 18:30:26.019962,54826,35.219639
2017-11-07 16:04:31.880557,slurm_normal,,main_w3_handler0,3314982,17368926,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",15093740,fasta,11426701,slurm,,corral-repl,,""" ""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,mafft-fftns,"""--nuc""","""?""","""0.123""","""false""","[{'src': 'hda', 'id': 32127556}]",,0,,"""1.53""","""""","""false""",,41813223,error,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3,7.221.3,,2017-11-07 16:07:36.166277,115540,184.28572
2016-11-23 01:42:28.949382,slurm_normal,,main_w3_handler1,2775463,14410073,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2170685769,fasta,8614880.roundup,slurm,,corral-repl,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",1,mafft --auto,"""--nuc""","""?""","""0.123""","""false""","[{'src': 'hda', 'id': 27358757}]",,0,,"""1.53""","""--clustalout""","""false""",,34364250,error,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3,7.221.3,,2016-11-23 01:50:10.568866,87777,461.61948400000006
