create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1_file,input1_file_filetype,input2_file,input2_file_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1_file,parameters.input2_file,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-08-06 07:31:09.474314,slurm_normal_16gb,,main_w2_handler1,2218623,10070970,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8805712772,fastqsanger,8915402506,fastqsanger,4349895.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20695386,20695393,,24516411,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/1.0.0,1.0.0,,2015-08-06 11:58:03.433063,50447,16013.958749000001
2016-02-09 19:10:46.456443,slurm_normal_16gb,,main_w2_handler0,2240186,11766136,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",24707536477,fastqsanger,21283833085,fastqsanger,6025096.roundup,slurm,,corral-repl,,"""c9ce5ffacf6011e587e3005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",23260425,23260427,,27743914,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/1.0.0,1.0.0,,2016-02-10 08:27:02.323134,53888,47775.866691
2016-03-05 22:34:06.121119,slurm_normal_16gb,,main_w2_handler1,2240186,12034954,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",21011051148,fastqsanger,21008494545,fastqsanger,6266678.roundup,slurm,,corral-repl,,"""5a47bb88e32211e5919f005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",23688742,23688743,,27596098,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/1.0.0,1.0.0,,2016-03-06 11:07:50.074544,53888,45223.953425
2014-12-24 15:16:37.218041,rodeo_normal,,main_w1_handler1,2076829,8464219,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10630955364,fastqsanger,10174319690,fastqsanger,2372115.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18061893,18061894,,20211875,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/1.0.0,1.0.0,,2014-12-24 15:23:00.015169,53888,382.79712800000004
2014-11-23 02:27:13.188336,rodeo_normal,,main_w2_handler1,2123433,8230597,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4601625663,fastqsanger,4605342224,fastqsanger,299849.rodeo,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/danRer7.len""","""danRer7""",17650589,17651079,,19605292,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/1.0.0,1.0.0,,2014-11-23 02:34:27.441906,56125,434.25357
2014-11-29 01:08:44.880343,rodeo_normal,,main_w2_handler1,2115451,8266827,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",14349657814,fastqsanger,12717793089,fastqsanger,349926.rodeo,slurm,,corral-repl,,"""42484b7c776411e495c6005056a51846""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",17706328,17706330,,19612497,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/1.0.0,1.0.0,,2014-11-29 05:12:12.954344,39842,14608.074001
2014-11-30 03:49:52.457545,rodeo_normal,,main_w1_handler1,2115451,8270321,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",14349657814,fastqsanger,12717793089,fastqsanger,2139057.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",17706328,17706330,,19612497,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/1.0.0,1.0.0,,2014-11-30 03:55:08.168494,39842,315.710949
2015-09-26 12:25:37.154672,slurm_normal_16gb,,main_w1_handler1,2443833,10433224,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",21925705467,fastqsanger,22069639544,fastqsanger,4711268.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21250844,21250845,,25250506,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/1.0.0,1.0.0,,2015-09-26 12:39:43.607292,39242,846.45262
2015-04-30 17:29:55.781937,slurm_normal_16gb,,main_w2_handler1,2272667,9370016,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",20731593936,fastqsanger,18980174866,fastqsanger,3708146.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19526706,19526697,,22536020,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/1.0.0,1.0.0,,2015-05-01 00:47:54.627351,55342,26278.845414000003
2014-12-31 15:53:48.889077,rodeo_normal,,main_w2_handler1,2156106,8483236,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",16992799146,fastqsanger,15963192773,fastqsanger,664691.rodeo,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18102217,18102218,,20265761,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/1.0.0,1.0.0,,2014-12-31 16:01:28.077344,48748,459.18826700000005
