create_time,destination_id,exit_code,fasta,fasta_filetype,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,names,names_filetype,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.fasta.values,parameters.fasta|__identifier__,parameters.names.values,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-01-03 22:04:07.928897,slurm_normal,,5618792420,fasta,main_w3_handler0,3381098,17939986,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12016063,slurm,,,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33163029}]","""SRR3143473""",,,42448838,error,toolshed.g2.bx.psu.edu/repos/iuc/mothur_unique_seqs/mothur_unique_seqs/1.36.1.0,1.36.1.0,,2018-01-03 22:09:59.684947,113740,351.75605
2018-01-03 22:04:08.829076,slurm_normal,,5360769371,fasta,main_w3_handler0,3381098,17939987,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12016085,slurm,,,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33163030}]","""SRR3143474""",,,42448838,error,toolshed.g2.bx.psu.edu/repos/iuc/mothur_unique_seqs/mothur_unique_seqs/1.36.1.0,1.36.1.0,,2018-01-03 22:15:49.437726,113740,700.60865
2017-10-24 20:42:57.786756,slurm_normal,,8292967043,fasta,main_w3_handler1,3281549,17202720,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11262326,slurm,,,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31860909}]",,,,41488215,error,toolshed.g2.bx.psu.edu/repos/iuc/mothur_unique_seqs/mothur_unique_seqs/1.36.1.0,1.36.1.0,,2017-10-24 20:48:45.183910,113231,347.397154
2017-10-11 10:12:36.595808,slurm_normal,,4381437936,fasta,main_w4_handler1,3281167,17076829,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11132561.roundup,slurm,,,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31643332}]",,,,41210998,error,toolshed.g2.bx.psu.edu/repos/iuc/mothur_unique_seqs/mothur_unique_seqs/1.36.1.0,1.36.1.0,,2017-10-11 10:15:56.441608,72172,199.84580000000003
2018-01-03 22:04:07.512590,slurm_normal,,6199966821,fasta,main_w3_handler1,3381098,17939985,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12016064,slurm,,,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33163028}]","""SRR3143472""",,,42448838,error,toolshed.g2.bx.psu.edu/repos/iuc/mothur_unique_seqs/mothur_unique_seqs/1.36.1.0,1.36.1.0,,2018-01-03 22:11:44.711969,113740,457.199379
2017-10-24 20:50:57.240826,slurm_normal,,8292967043,fasta,main_w4_handler0,3281549,17202835,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11262413,slurm,,,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31860909}]",,,,41488215,error,toolshed.g2.bx.psu.edu/repos/iuc/mothur_unique_seqs/mothur_unique_seqs/1.36.1.0,1.36.1.0,,2017-10-24 20:56:29.346080,113231,332.105254
2017-10-19 18:07:15.744006,slurm_normal,,7807847879,fasta,main_w3_handler1,3290049,17148113,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11205876,slurm,,,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31763303}]",,,,39703838,error,toolshed.g2.bx.psu.edu/repos/iuc/mothur_unique_seqs/mothur_unique_seqs/1.36.1.0,1.36.1.0,,2017-10-19 18:13:23.099991,10336,367.35598500000003
2017-10-19 18:25:07.271994,slurm_normal,,9958716248,fasta,main_w4_handler0,3290049,17148296,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11206090,slurm,,,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31763267}]",,,,39703838,error,toolshed.g2.bx.psu.edu/repos/iuc/mothur_unique_seqs/mothur_unique_seqs/1.36.1.0,1.36.1.0,,2017-10-19 18:31:33.567738,10336,386.295744
2017-10-19 18:06:53.533040,slurm_normal,,9958716248,fasta,main_w4_handler1,3290049,17148107,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11205909,slurm,,,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31763267}]",,,,39703838,error,toolshed.g2.bx.psu.edu/repos/iuc/mothur_unique_seqs/mothur_unique_seqs/1.36.1.0,1.36.1.0,,2017-10-19 18:15:46.357505,10336,532.824465
2018-01-05 20:56:00.716325,slurm_normal,,4537925870,fasta,main_w3_handler1,3371952,17959548,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12036195,slurm,,389010363.0,mothur.count_table,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33193930}]",,"[{'src': 'hda', 'id': 33193288}]",,42877884,error,toolshed.g2.bx.psu.edu/repos/iuc/mothur_unique_seqs/mothur_unique_seqs/1.36.1.0,1.36.1.0,,2018-01-05 21:00:24.618808,118969,263.902483
