chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.cmd,parameters.dbkey,parameters.input,parameters.min_avg_qual,parameters.min_coverage,parameters.min_freq_for_hom,parameters.min_supporting_reads,parameters.min_var_freq,parameters.p_value,parameters.sample_names,parameters.strand_filter,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
128420.0,len,2015-03-20 16:31:10.356826,rodeo_normal,,main_w2_handler0,2175431,8997276,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4844840936,pileup,3258034.roundup,slurm,,corral-repl,,,"""/galaxy-repl/main/files/010/735/dataset_10735158.dat""","""mpileup2snp""","""?""",18875381,"""20""","""30""","""0.75""","""10""","""0.8""","""0.05""","""""","""no""",,20248018,error,toolshed.g2.bx.psu.edu/repos/devteam/varscan_version_2/varscan/0.1,0.1,,2015-03-20 16:33:14.224674,30030.0,123.86784800000001
,,2015-04-20 13:13:37.324615,slurm_normal,,main_w2_handler0,2248643,9276497,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1562621644,pileup,3575633.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""mpileup2snp""","""hg19""",19218573,"""20""","""200""","""0.75""","""10""","""0.005""","""0.05""","""""","""yes""",,22593943,error,toolshed.g2.bx.psu.edu/repos/devteam/varscan_version_2/varscan/0.1,0.1,,2015-04-20 13:16:39.003461,26979.0,181.67884600000002
,,2015-04-08 16:54:45.009478,slurm_normal,,main_w2_handler1,2258218,9173072,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8396567493,pileup,3452677.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""mpileup2snp""","""hg19""",19163636,"""15""","""10""","""0.0""","""2""","""0.01""","""0.99""","""""","""no""",,22324664,error,toolshed.g2.bx.psu.edu/repos/devteam/varscan_version_2/varscan/0.1,0.1,,2015-04-08 16:56:48.736695,24355.0,123.72721700000001
,,2015-02-19 05:28:48.264977,rodeo_normal,,main_w2_handler0,2211166,8763030,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",229649933,pileup,2825346.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""mpileup2snp""","""Homo_sapiens_nuHg19_mtrCRS""",18559702,"""15""","""8""","""0.75""","""2""","""0.01""","""0.99""","""""","""no""",,21311543,error,toolshed.g2.bx.psu.edu/repos/devteam/varscan_version_2/varscan/0.1,0.1,,2015-02-19 05:31:11.250801,15172.0,142.985824
,,2015-02-24 16:58:46.176423,rodeo_normal,,main_w2_handler1,2212215,8804523,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",676209679,pileup,2899696.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""mpileup2snp""","""hg19""",18629613,"""15""","""2""","""0.75""","""2""","""0.01""","""0.75""","""172""","""no""",,20424153,error,toolshed.g2.bx.psu.edu/repos/devteam/varscan_version_2/varscan/0.1,0.1,,2015-02-24 17:00:40.593051,17286.0,114.416628
,,2015-01-24 00:38:41.312065,rodeo_normal,,main_w1_handler1,2168059,8597132,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6796054782,pileup,2550111.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""mpileup2snp""","""hg19""",18282810,"""15""","""8""","""0.75""","""2""","""0.01""","""0.99""","""AP""","""no""",,20399212,error,toolshed.g2.bx.psu.edu/repos/devteam/varscan_version_2/varscan/0.1,0.1,,2015-01-24 00:40:46.168776,58024.0,124.856711
,,2015-03-10 15:37:03.857055,rodeo_normal,,main_w2_handler1,2146214,8909018,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1218839568,pileup,3093099.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/synePCC6.len""","""mpileup2snp""","""synePCC6""",18740946,"""10""","""60""","""0.75""","""40""","""0.01""","""0.99""","""""","""no""",,20017281,error,toolshed.g2.bx.psu.edu/repos/devteam/varscan_version_2/varscan/0.1,0.1,,2015-03-10 15:40:18.630498,57365.0,194.77344300000001
,,2015-04-20 15:35:20.542469,slurm_normal,,main_w2_handler1,2248643,9279582,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1569710003,pileup,3581230.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""mpileup2snp""","""hg19""",19200317,"""25""","""200""","""0.75""","""6""","""0.005""","""0.005""","""""","""yes""",,22593943,error,toolshed.g2.bx.psu.edu/repos/devteam/varscan_version_2/varscan/0.1,0.1,,2015-04-20 15:37:49.672992,26979.0,149.130523
,,2015-04-07 18:41:45.372230,slurm_normal,,main_w1_handler1,2258218,9162074,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8396567493,pileup,3443970.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""mpileup2snp""","""hg19""",19163636,"""15""","""8""","""0.0""","""2""","""0.01""","""0.5""","""""","""no""",,22295884,error,toolshed.g2.bx.psu.edu/repos/devteam/varscan_version_2/varscan/0.1,0.1,,2015-04-07 18:43:45.464229,24355.0,120.091999
,,2015-02-15 12:34:12.473752,rodeo_normal,,main_w2_handler1,2122923,8729241,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",48050157510,pileup,2765936.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""mpileup2snp""","""hg19""",18517409,"""15""","""5""","""0.85""","""3""","""0.2""","""0.99""","""""","""no""",,21266242,error,toolshed.g2.bx.psu.edu/repos/devteam/varscan_version_2/varscan/0.1,0.1,,2015-02-15 14:29:31.376180,41856.0,6918.902428
