create_time,destination_id,exit_code,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.advanced.chunkmbs,parameters.chromInfo,parameters.dbkey,parameters.dist,parameters.input.values,parameters.mapq,parameters.phone,parameters.pos,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-02-21 03:58:25.545073,slurm_normal,,main_w3_handler0,3436738,18455841,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",45680915368,tabular,12551438,slurm,,corral-repl,,"""755045f216bb11e88512005056ba2773""",512,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""10""","[{'src': 'hda', 'id': 33972645}]","""20""","""false""","""2""",,,error,toolshed.g2.bx.psu.edu/repos/nick/dunovo/correct_barcodes/2.0.12,2.0.12,,2018-02-21 06:44:22.827164,73233,9957.282091000001
2018-01-25 17:34:25.197963,slurm_normal,,main_w3_handler1,3404136,18156394,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1995719992,tabular,12237665,slurm,,corral-repl,,,512,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg_g1k_v37.len""","""hg_g1k_v37""","""3""","[{'src': 'hda', 'id': 33498844}]","""20""","""false""","""2""",,43418575.0,error,toolshed.g2.bx.psu.edu/repos/nick/dunovo/correct_barcodes/2.0.12,2.0.12,,2018-01-25 18:00:39.404813,30012,1574.20685
