chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.input.values,parameters.pop_input,parameters.pop_input.values,pop_input,pop_input_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-09-11 05:59:42.834076,slurm_normal,,main_w3_handler1,3244183,16784549,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1132768638,gd_snp,10852991.roundup,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 31179543}]",,"[{'src': 'hda', 'id': 31179565}]",83,gd_indivs,,40186414,error,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_discover_familial_relationships/1.0.0,1.0.0,,2017-09-11 06:02:00.550342,110816,137.71626600000002
331.0,len,2016-01-21 23:32:11.810121,slurm_normal,,main_w2_handler1,2570984,11575610,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",18250083649,gd_genotype,5841381.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/014/025/dataset_14025872.dat""","""macaque""",22982092,,22998914,,180,gd_indivs,,27553680,error,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_discover_familial_relationships/1.0.0,1.0.0,,2016-01-21 23:43:38.073891,23751,686.26377
331.0,len,2016-01-21 21:19:42.600378,slurm_normal,,main_w1_handler0,2570984,11574988,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",18250083649,gd_genotype,5840754.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/014/025/dataset_14025872.dat""","""macaque""",22982092,,22997635,,1937,gd_indivs,,27553680,error,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_discover_familial_relationships/1.0.0,1.0.0,,2016-01-21 21:39:34.616368,23751,1192.01599
