create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.adv_options.__current_case__,parameters.adv_options.adv_options_input,parameters.adv_options.adv_options_selector,parameters.chromInfo,parameters.dbkey,parameters.invert,parameters.isect_union,parameters.loci,parameters.reference_source.__current_case__,parameters.reference_source.ref_file,parameters.reference_source.reference_source_selector,parameters.vcf_input1,parameters.vcf_input2,parameters.window_size,ref_file,ref_file_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,vcf_input1,vcf_input1_filetype,vcf_input2,vcf_input2_filetype,runtime
2015-09-18 13:26:36.044250,slurm_normal,,main_w2_handler0,2442748,10353203,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4635878.roundup,slurm,,corral-repl,,1,,False,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""","""True""","""-i""","""False""",0,hg_g1k_v37,cached,21153840,21162568,"""0""",,,,25234237,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfvcfintersect/vcfvcfintersect/0.0.3,0.0.3,,2015-09-18 13:28:03.170789,17631.0,1753046662,vcf,1753046662,vcf,87.12653900000001
2015-11-20 19:33:13.879379,slurm_normal,,main_w1_handler2,2486531,10966668,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5228381.roundup,slurm,,corral-repl,,1,,False,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""False""","""-i""","""False""",0,hg19,cached,21766857,21765638,"""30""",,,,26368426,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfvcfintersect/vcfvcfintersect/0.0.3,0.0.3,,2015-11-20 19:34:38.503338,68101.0,7572857398,vcf,1109512,vcf,84.623959
2015-10-21 14:50:45.488369,slurm_normal,,main_w2_handler0,2478902,10674803,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4936779.roundup,slurm,,corral-repl,,1,,False,"""/galaxy-repl/localdata/chrom/eschColi_K12.len""","""eschColi_K12""","""False""","""-i""","""False""",1,21646697,history,21648465,21648480,"""30""",4708053.0,fasta,,25801394,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfvcfintersect/vcfvcfintersect/0.0.3,0.0.3,,2015-10-21 14:51:53.704193,,411392837,vcf,410562604,vcf,68.215824
2016-04-10 00:26:21.696828,slurm_normal,,main_w1_handler0,2663738,12404690,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6604947.roundup,slurm,,corral-repl,,1,,False,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""","""False""","""-i""","""False""",0,hg_g1k_v37,cached,24236245,24236067,"""30""",,,,29523666,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfvcfintersect/vcfvcfintersect/0.0.3,0.0.3,,2016-04-10 00:30:20.806814,82208.0,1436348156,vcf,1364711,vcf,239.10998600000002
2016-04-10 23:13:23.516396,slurm_normal,,main_w2_handler0,2661264,12412154,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6611947.roundup,slurm,,corral-repl,,1,,False,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""","""False""","""-i""","""False""",0,hg_g1k_v37,cached,24246605,24246622,"""30""",,,,29474336,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfvcfintersect/vcfvcfintersect/0.0.3,0.0.3,,2016-04-10 23:14:38.823697,81765.0,1436348156,vcf,1364711,vcf,75.30730100000001
2015-12-16 02:28:10.514175,slurm_normal,,main_w1_handler1,2527273,11193419,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5462866.roundup,slurm,,corral-repl,,1,,False,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""False""","""-i""","""False""",0,hg19,cached,22308485,22463882,"""30""",,,,26796033,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfvcfintersect/vcfvcfintersect/0.0.3,0.0.3,,2015-12-16 02:29:35.536305,68101.0,7842941125,vcf,451100,vcf,85.02213
2015-09-18 13:11:24.061537,slurm_normal,,main_w2_handler0,2442748,10353011,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4635698.roundup,slurm,,corral-repl,,1,,False,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""","""False""","""-i""","""False""",0,hg_g1k_v37,cached,21153840,21153992,"""30""",,,,25234237,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfvcfintersect/vcfvcfintersect/0.0.3,0.0.3,,2015-09-18 13:13:00.613798,17631.0,1753046662,vcf,765808,vcf,96.552261
2016-04-10 23:50:28.847514,slurm_normal,,main_w1_handler0,2663151,12412292,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6612151.roundup,slurm,,corral-repl,,1,,False,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""","""False""","""-i""","""False""",0,hg_g1k_v37,cached,24242762,24243329,"""30""",,,,29521281,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfvcfintersect/vcfvcfintersect/0.0.3,0.0.3,,2016-04-10 23:51:48.308751,60130.0,1432933735,vcf,1352408,vcf,79.46123700000001
2016-01-31 06:55:44.002382,slurm_normal,,main_w2_handler1,2559949,11643074,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5906396.roundup,slurm,,corral-repl,,1,,False,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""False""","""-i""","""False""",0,hg19,cached,23089592,23089596,"""30""",,,,27091288,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfvcfintersect/vcfvcfintersect/0.0.3,0.0.3,,2016-01-31 06:56:58.235307,46373.0,710444077,vcf,774392880,vcf,74.23292500000001
2016-04-10 00:34:22.485339,slurm_normal,,main_w2_handler0,2663738,12404785,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6604979.roundup,slurm,,corral-repl,,1,,False,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""","""False""","""-i""","""False""",0,hg_g1k_v37,cached,24236245,24236067,"""30""",,,,29523666,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfvcfintersect/vcfvcfintersect/0.0.3,0.0.3,,2016-04-10 00:35:36.084484,82208.0,1436348156,vcf,1364711,vcf,73.59914500000001
