chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,geneMap,geneMap_filetype,handler,history_id,id,imported,info,input_mate1,input_mate1_filetype,input_mate2,input_mate2_filetype,input_singles,input_singles_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,ownFile,ownFile_filetype,param_filename,parameters.allowOrphans,parameters.biasCorrect,parameters.chromInfo,parameters.dbkey,parameters.fldMean,parameters.fldSD,parameters.geneMap,parameters.geneMap.values,parameters.input_singles|__identifier__,parameters.maxFragLen,parameters.maxReadOcc,parameters.noEffectiveLengthCorrection,parameters.refTranscriptSource.TranscriptSource,parameters.refTranscriptSource.__current_case__,parameters.refTranscriptSource.kmerSize,parameters.refTranscriptSource.ownFile,parameters.refTranscriptSource.ownFile.values,parameters.single_or_paired.__current_case__,parameters.single_or_paired.input_mate1,parameters.single_or_paired.input_mate1.values,parameters.single_or_paired.input_mate2,parameters.single_or_paired.input_mate2.values,parameters.single_or_paired.input_singles,parameters.single_or_paired.input_singles.values,parameters.single_or_paired.orientation,parameters.single_or_paired.single_or_paired_opts,parameters.single_or_paired.strandedness,parameters.txpAggregationKey,parameters.unsmoothedFLD,parameters.useVBOpt,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-01-27 18:17:53.270241,slurm_normal,,73338198.0,gtf,main_w2_handler0,2572202,11616482,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,2118473323.0,fastqsanger,5881040.roundup,slurm,,corral-repl,1723054750,fasta,,"""False""","""False""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""200""","""80""",22978276,,,"""1000""","""200""","""False""",history,1,21,22978802.0,,0,,,,,23016151.0,,,single,U,"""gene_id""","""False""","""False""",,27269504,error,toolshed.g2.bx.psu.edu/repos/bgruening/sailfish/sailfish/0.7.6.0,0.7.6.0,,2016-01-27 18:23:26.228170,27576.0,332.95792900000004
,,2016-02-09 23:58:07.462245,slurm_normal,,1111970946.0,gtf,main_w1_handler1,2520642,11767920,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,14082833806.0,fastqsanger,6023717.roundup,slurm,,corral-repl,1189428176,fasta,,"""False""","""True""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""200""","""80""",22947538,,,"""1000""","""200""","""False""",history,1,21,23111199.0,,0,,,,,22872630.0,,,single,U,"""gene_id""","""False""","""False""",,26623667,error,toolshed.g2.bx.psu.edu/repos/bgruening/sailfish/sailfish/0.7.6.0,0.7.6.0,,2016-02-10 00:02:47.550361,74877.0,280.088116
,,2017-06-29 23:25:25.433027,slurm_normal,,,,main_w3_handler1,3166879,16226981,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",418811408.0,fastqsanger,448701692.0,fastqsanger,,,10303052.roundup,slurm,,corral-repl,175517761,fasta,,"""false""","""false""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""200""","""80""",,,,"""1000""","""200""","""false""",history,1,21,,"[{'src': 'hda', 'id': 30161694}]",1,,"[{'src': 'hda', 'id': 30240704}]",,"[{'src': 'hda', 'id': 30240707}]",,,I,paired,U,"""gene_id""","""false""","""false""",,38923080,error,toolshed.g2.bx.psu.edu/repos/bgruening/sailfish/sailfish/0.7.6.0,0.7.6.0,,2017-06-29 23:31:13.520188,108185.0,348.08716100000004
10251.0,len,2016-06-07 23:06:28.812278,slurm_normal,,,,main_w1_handler1,2727265,13102151,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,6581918258.0,fastqsanger,7287995.roundup,slurm,,corral-repl,3286430024,fasta,,"""false""","""false""","""/galaxy-repl/main/files/016/114/dataset_16114866.dat""","""?""","""200""","""80""",,,,"""1000""","""200""","""false""",history,1,21,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5681b904cafad101f'}]",0,,,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ccaee003fdd55b7d'}]",,single,U,"""gene_id""","""false""","""false""",,29978900,error,toolshed.g2.bx.psu.edu/repos/bgruening/sailfish/sailfish/0.7.6.0,0.7.6.0,,2016-06-07 23:10:29.902896,83381.0,241.090618
4914.0,len,2017-02-23 14:42:34.395290,slurm_normal,,446279804.0,gff3,main_w4_handler1,2229800,15118677,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6259144268.0,fastq,6259144268.0,fastq,,,9272921.roundup,slurm,,corral-repl,378822238,fasta,,"""false""","""false""","""/galaxy-repl/main/files/018/945/dataset_18945079.dat""","""?""","""200""","""80""",,"[{'src': 'hda', 'id': 28472867}]",,"""1000""","""200""","""false""",history,1,21,,"[{'src': 'hda', 'id': 28473884}]",1,,"[{'src': 'hda', 'id': 28479293}]",,"[{'src': 'hda', 'id': 28479293}]",,,I,paired,SR,"""gene_id""","""false""","""false""",,36234406,error,toolshed.g2.bx.psu.edu/repos/bgruening/sailfish/sailfish/0.7.6.0,0.7.6.0,,2017-02-23 14:48:56.534626,5088.0,382.139336
,,2017-09-20 05:34:42.718212,slurm_normal,,,,main_w3_handler1,3184013,16871608,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,728211679.0,fastq,10936863.roundup,slurm,,corral-repl,379467657,fasta,,"""false""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""200""","""80""",,,,"""1000""","""200""","""false""",history,1,21,,"[{'src': 'hda', 'id': 31247897}]",0,,,,,,"[{'src': 'hda', 'id': 31287448}]",,single,U,"""gene_id""","""false""","""false""",,39153320,error,toolshed.g2.bx.psu.edu/repos/bgruening/sailfish/sailfish/0.7.6.0,0.7.6.0,,2017-09-20 05:44:02.717900,89525.0,559.999688
,,2017-08-24 03:20:19.939553,slurm_normal,,315358162.0,tabular,main_w3_handler0,2550074,16645749,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,16399700008.0,fastqsanger,10718325.roundup,slurm,,corral-repl,320232615,fasta,,"""false""","""false""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""200""","""80""",,"[{'src': 'hda', 'id': 30971982}]",,"""1000""","""200""","""false""",history,1,21,,"[{'src': 'hda', 'id': 30971971}]",0,,,,,,"[{'src': 'hda', 'id': 30739870}]",,single,U,"""gene_id""","""false""","""false""",,39677296,error,toolshed.g2.bx.psu.edu/repos/bgruening/sailfish/sailfish/0.7.6.0,0.7.6.0,,2017-08-24 03:25:40.711422,75575.0,320.77186900000004
,,2017-08-22 17:48:47.885513,slurm_normal,,315356895.0,tabular,main_w4_handler1,2550074,16633790,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,16399700008.0,fastqsanger,10706235.roundup,slurm,,corral-repl,320231342,fasta,,"""false""","""false""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""200""","""80""",,"[{'src': 'hda', 'id': 30952977}]",,"""1000""","""200""","""false""",history,1,21,,"[{'src': 'hda', 'id': 30952960}]",0,,,,,,"[{'src': 'hda', 'id': 30739870}]",,single,U,"""gene_id""","""false""","""false""",,39677296,error,toolshed.g2.bx.psu.edu/repos/bgruening/sailfish/sailfish/0.7.6.0,0.7.6.0,,2017-08-22 17:54:02.941509,75575.0,315.055996
,,2017-08-10 13:50:15.528290,slurm_normal,,315364408.0,tabular,main_w3_handler0,2550074,16550356,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,16399700008.0,fastqsanger,10621353.roundup,slurm,,corral-repl,320238980,fasta,,"""false""","""false""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""200""","""80""",,"[{'src': 'hda', 'id': 30827158}]",,"""1000""","""200""","""false""",history,1,21,,"[{'src': 'hda', 'id': 30827091}]",0,,,,,,"[{'src': 'hda', 'id': 30739870}]",,single,U,"""gene_id""","""false""","""false""",,39677296,error,toolshed.g2.bx.psu.edu/repos/bgruening/sailfish/sailfish/0.7.6.0,0.7.6.0,,2017-08-10 13:55:18.969780,75575.0,303.44149000000004
,,2017-05-15 16:50:35.725537,slurm_normal,,,,main_w4_handler1,3107361,15840478,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",13006238101.0,fastqsanger,13006238101.0,fastqsanger,,,9941322.roundup,slurm,,corral-repl,93172727,fasta,,"""false""","""true""","""/galaxy-repl/localdata/chrom/dm6.len""","""dm6""","""30""","""80""",,,,"""1000""","""200""","""false""",history,1,21,,"[{'src': 'hda', 'id': 29569412}]",1,,"[{'src': 'hda', 'id': 29569684}]",,"[{'src': 'hda', 'id': 29569685}]",,,I,paired,U,"""gene_id""","""false""","""false""",,37628398,error,toolshed.g2.bx.psu.edu/repos/bgruening/sailfish/sailfish/0.7.6.0,0.7.6.0,,2017-05-15 17:12:13.229427,104781.0,1297.5038900000002
