bamfiles,bamfiles1,bamfiles1_filetype,bamfiles2,bamfiles2_filetype,bamfiles3,bamfiles3_filetype,bamfiles4,bamfiles4_filetype,bamfiles5,bamfiles5_filetype,bamfiles6,bamfiles6_filetype,bamfiles7,bamfiles7_filetype,bamfiles8,bamfiles8_filetype,bamfiles9,bamfiles9_filetype,bamfiles_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.advancedOpt.__current_case__,parameters.advancedOpt.showAdvancedOpt,parameters.bamfiles.values,parameters.chromInfo,parameters.dbkey,parameters.mode.__current_case__,parameters.mode.binSize,parameters.mode.distanceBetweenBins,parameters.mode.modeOpt,parameters.outRawCounts,parameters.region,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
3725109688,3725109688,bam,3511479613,bam,3454612247,bam,3863593298,bam,,,,,,,,,,,bam,2016-05-02 21:49:03.562365,slurm_normal,,main_w1_handler1,2595678,12740277,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6939514.roundup,slurm,,corral-repl,,0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52e22972e1909e123'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5b9b4b5aebaad67b4'}, {'src': 'hda', 'id': 'bbd44e69cb8906b515cdf207efc2e680'}, {'src': 'hda', 'id': 'bbd44e69cb8906b51b95623facc7242f'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",0,10000,0,bins,"""false""","""""",,29538637,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bam_summary/deeptools_multi_bam_summary/2.2.2.0,2.2.2.0,,2016-05-02 23:49:36.657084,48080,7233.094719000001
3725109688,3725109688,bam,3511479613,bam,3454612247,bam,3919908018,bam,3613778407.0,bam,4185980060.0,bam,4134717298.0,bam,3863593298.0,bam,3696944313.0,bam,bam,2016-05-10 00:52:28.659126,slurm_normal,,main_w1_handler0,2595678,12838940,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7040003.roundup,slurm,,corral-repl,,0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52e22972e1909e123'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5b9b4b5aebaad67b4'}, {'src': 'hda', 'id': 'bbd44e69cb8906b515cdf207efc2e680'}, {'src': 'hda', 'id': 'bbd44e69cb8906b55c5b5e66ba6dc743'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5d03ab90b450d460c'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5b8df2b0f8fd4c388'}, {'src': 'hda', 'id': 'bbd44e69cb8906b57c17efcf9520e996'}, {'src': 'hda', 'id': 'bbd44e69cb8906b51b95623facc7242f'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5665f3a4c7d4258cc'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",0,10000,0,bins,"""false""","""""",,29538637,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bam_summary/deeptools_multi_bam_summary/2.2.2.0,2.2.2.0,,2016-05-10 05:05:33.602891,48080,15184.943765000002
3725109688,3725109688,bam,3511479613,bam,3454612247,bam,3919908018,bam,3613778407.0,bam,4185980060.0,bam,4134717298.0,bam,3863593298.0,bam,3696944313.0,bam,bam,2016-05-02 16:38:43.058027,slurm_normal,,main_w1_handler1,2595678,12735305,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6934125.roundup,slurm,,corral-repl,,0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52e22972e1909e123'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5b9b4b5aebaad67b4'}, {'src': 'hda', 'id': 'bbd44e69cb8906b515cdf207efc2e680'}, {'src': 'hda', 'id': 'bbd44e69cb8906b55c5b5e66ba6dc743'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5d03ab90b450d460c'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5b8df2b0f8fd4c388'}, {'src': 'hda', 'id': 'bbd44e69cb8906b57c17efcf9520e996'}, {'src': 'hda', 'id': 'bbd44e69cb8906b51b95623facc7242f'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5665f3a4c7d4258cc'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",0,10000,0,bins,"""false""","""""",,29538637,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bam_summary/deeptools_multi_bam_summary/2.2.2.0,2.2.2.0,,2016-05-02 21:42:29.180157,48080,18226.12213
