create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.maf_source_type.__current_case__,parameters.maf_source_type.mafType,parameters.maf_source_type.maf_source,parameters.maf_source_type.species,parameters.split_blocks_by_species_selector.__current_case__,parameters.split_blocks_by_species_selector.remove_all_gap_columns,parameters.split_blocks_by_species_selector.split_blocks_by_species,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-05-19 04:12:14.526531,slurm_normal,,main_w2_handler0,2709600,12936063,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",16875012,bed,7130563.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55d4abb38e454fd10'}]",1.0,100_WAY_MULTIZ_v2_hg19,cached,['canFam3'],0,,dont_split_blocks_by_species,,30298691,error,Interval2Maf1,1.0.1,,2016-05-19 04:21:12.328650,,537.8021190000001
2015-11-30 08:44:40.085037,slurm_normal,,main_w2_handler1,2521211,11040451,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",393730,bed,5295974.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",22189629,,1.0,100_WAY_MULTIZ_v2_hg19,cached,"['hg19', 'panTro4', 'gorGor3', 'ponAbe2']",0,,dont_split_blocks_by_species,,26198813,error,Interval2Maf1,1.0.1,,2015-11-30 08:52:59.860441,69813.0,499.77540400000004
2016-05-19 04:12:46.107933,slurm_normal,,main_w2_handler0,2709600,12936065,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",16875012,bed,7130679.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55d4abb38e454fd10'}]",1.0,100_WAY_MULTIZ_v2_hg19,cached,['rn5'],0,,dont_split_blocks_by_species,,30298691,error,Interval2Maf1,1.0.1,,2016-05-19 04:56:35.073632,,2628.9656990000003
2015-06-24 15:11:26.963738,slurm_normal,,main_w1_handler0,2353345,9725121,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",36380,interval,4031578,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20108973,,1.0,100_WAY_MULTIZ_v2_hg19,cached,"['hg19', 'panTro4']",0,,dont_split_blocks_by_species,,23587129,error,Interval2Maf1,1.0.1,,2015-06-25 03:23:12.185197,64699.0,43905.221459
2015-06-24 15:12:21.371164,slurm_normal,,main_w1_handler2,2353345,9725122,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",365766,interval,4031579,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20108975,,1.0,100_WAY_MULTIZ_v2_hg19,cached,"['hg19', 'panTro4']",0,,dont_split_blocks_by_species,,23587129,error,Interval2Maf1,1.0.1,,2015-06-25 03:20:15.920950,64699.0,43674.549786
2015-05-26 14:33:38.092707,slurm_normal,,main_w2_handler0,2316541,9535814,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4891288,bed,3849859.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19812894,,1.0,100_WAY_MULTIZ_v2_hg19,cached,"['hg19', 'mm10', 'equCab2', 'monDom5', 'galGal4']",0,,dont_split_blocks_by_species,,23223639,error,Interval2Maf1,1.0.1,,2015-05-26 15:50:03.728024,,4585.635317
2015-05-21 12:38:34.826275,slurm_normal,,main_w2_handler0,2314886,9512236,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6370087,bed,3833698.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19779927,,1.0,100_WAY_MULTIZ_v2_hg19,cached,"['hg19', 'panTro4', 'gorGor3', 'ponAbe2', 'nomLeu3', 'rheMac3', 'macFas5', 'papHam1', 'chlSab1', 'calJac3', 'saiBol1', 'otoGar3', 'tupChi1', 'speTri2', 'jacJac1', 'micOch1', 'criGri1', 'mesAur1', 'mm10', 'rn5', 'hetGla2', 'cavPor3', 'chiLan1', 'octDeg1', 'oryCun2', 'ochPri3', 'susScr3', 'vicPac2', 'camFer1', 'turTru2', 'orcOrc1', 'panHod1', 'bosTau7', 'oviAri3', 'capHir1', 'equCab2', 'cerSim1', 'felCat5', 'canFam3', 'musFur1', 'ailMel1', 'odoRosDiv1', 'lepWed1', 'pteAle1', 'pteVam1', 'myoDav1', 'myoLuc2', 'eptFus1', 'eriEur2', 'sorAra2', 'conCri1', 'loxAfr3', 'eleEdw1', 'triMan1', 'chrAsi1', 'echTel2', 'oryAfe1', 'dasNov3', 'monDom5', 'sarHar1', 'macEug2', 'ornAna1', 'falChe1', 'falPer1', 'ficAlb2', 'zonAlb1', 'geoFor1', 'taeGut2', 'pseHum1', 'melUnd1', 'amaVit1', 'araMac1', 'colLiv1', 'anaPla1', 'galGal4', 'melGal1', 'allMis1', 'cheMyd1', 'chrPic1', 'pelSin1', 'apaSpi1', 'anoCar2', 'xenTro7', 'latCha1', 'tetNig2', 'fr3', 'takFla1', 'oreNil2', 'neoBri1', 'hapBur1', 'mayZeb1', 'punNye1', 'oryLat2', 'xipMac1', 'gasAcu1', 'gadMor1', 'danRer7', 'astMex1', 'lepOcu1', 'petMar2']",0,,dont_split_blocks_by_species,,23223639,error,Interval2Maf1,1.0.1,,2015-05-22 03:01:04.591499,,51749.765224
2015-10-10 15:59:37.214788,slurm_normal,,main_w1_handler2,2466527,10541070,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",776256,bed,4815090.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",21464307,,1.0,100_WAY_MULTIZ_v2_hg19,cached,"['hg19', 'panTro4', 'gorGor3', 'ponAbe2', 'rheMac3']",0,,dont_split_blocks_by_species,,25315932,error,Interval2Maf1,1.0.1,,2015-10-10 20:47:21.070483,62349.0,17263.855695000002
2017-05-04 19:16:53.298170,slurm_normal,,main_w3_handler1,2083280,15752040,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",16620019,bed,9860681.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29478023}]",1.0,100_WAY_MULTIZ_v2_hg19,cached,"['hg19', 'ponAbe2', 'rheMac3']",0,,dont_split_blocks_by_species,,37712844,error,Interval2Maf1,1.0.1,,2017-05-04 19:42:15.417498,40052.0,1522.119328
2015-11-10 17:12:11.288692,slurm_normal,,main_w2_handler1,2501519,10867925,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",465232,bed,5121478.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",21944701,,1.0,100_WAY_MULTIZ_v2_hg19,cached,"['hg19', 'panTro4', 'gorGor3', 'ponAbe2', 'nomLeu3', 'rheMac3', 'mm10']",0,,dont_split_blocks_by_species,,26198813,error,Interval2Maf1,1.0.1,,2015-11-10 17:48:02.911465,69813.0,2151.622773
2017-05-11 13:04:01.467889,slurm_normal_16gb,,main_w4_handler1,2083280,15817245,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",16619208,bed,9920602.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29478022}]",1.0,100_WAY_MULTIZ_v2_hg19,cached,"['hg19', 'ponAbe2', 'rheMac3']",0,,dont_split_blocks_by_species,,37712844,error,Interval2Maf1,1.0.1,,2017-05-11 14:11:16.937598,40052.0,4035.4697090000004
