create_time,destination_id,exit_code,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.inputFile,parameters.outputFormat,parameters.readGroupOpts.__current_case__,parameters.readGroupOpts.rgOpts,parameters.rgid,parameters.rglb,parameters.rgpl,parameters.rgpu,parameters.rgsm,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2014-11-19 18:00:48.048649,rodeo_normal,,main_w1_handler0,2123324,8204303,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",980567108,bam,2057777.roundup,slurm,,corral-repl,,"""fc12cf88701511e484f7005056a51846""","""/galaxy-repl/localdata/chrom/ce10.len""","""ce10""",17608155,"""False""",0,preSet,"""1""","""rgLB""","""illumina""","""rgPU""","""rgSM""",,19605781,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ARRG/1.56.0,1.56.0,,2014-11-19 18:32:01.299874,53758,1873.2512250000002
2014-12-30 19:43:01.286609,rodeo_normal,,main_w2_handler1,2160524,8480537,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3196997052,bam,659975.rodeo,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18092688,"""True""",0,preSet,"""1""","""rgLB""","""illumina""","""rgPU""","""rgSM""",,20101159,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ARRG/1.56.0,1.56.0,,2014-12-30 20:31:48.592467,57500,2927.305858
2015-06-01 10:30:29.774000,slurm_normal,,main_w1_handler0,2253700,9572758,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1832358144,bam,3885795.roundup,slurm,,corral-repl,,"""38fd5988084911e59dc8005056a52a46""","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",19058921,"""True""",0,preSet,"""1""","""rgLB""","""illumina""","""rgPU""","""rgSM""",,23371036,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ARRG/1.56.0,1.56.0,,2015-06-01 11:01:43.976246,60924,1874.202246
2015-01-14 18:57:54.571096,rodeo_normal,,main_w1_handler0,2172644,8546997,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3197022572,bam,768743.rodeo,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18199293,"""True""",0,preSet,"""1""","""rgLB""","""illumina""","""rgPU""","""rgSM""",,20101159,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ARRG/1.56.0,1.56.0,,2015-01-14 19:52:43.788504,57500,3289.217408
2016-02-23 01:08:20.582368,slurm_normal,,main_w1_handler2,2608950,11904665,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6648545699,sam,6144057.roundup,slurm,,corral-repl,,"""e786e4f4d9c911e59027005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",23465453,"""False""",0,preSet,"""L23Amy2""","""L23-2""","""illumina""","""run""","""L23""",,27700850,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ARRG/1.56.0,1.56.0,,2016-02-23 03:49:09.147497,20517,9648.565129
2014-12-30 01:03:54.529563,rodeo_normal,,main_w2_handler1,2160524,8477743,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3196997052,bam,655783.rodeo,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18092688,"""True""",0,preSet,"""1""","""rgLB""","""illumina""","""rgPU""","""rgSM""",,20267500,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ARRG/1.56.0,1.56.0,,2014-12-30 01:52:48.906656,57500,2934.377093
2016-01-27 05:13:46.689106,slurm_normal,,main_w1_handler0,2579079,11612403,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6648581329,sam,5877099.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23051893,"""False""",0,preSet,"""B23Amy2""","""B23-2""","""illumina""","""run""","""B23""",,27700850,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ARRG/1.56.0,1.56.0,,2016-01-27 05:28:46.713323,20517,900.024217
2014-11-14 08:43:09.264651,rodeo_normal,,main_w2_handler1,2096443,8166337,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1509623048,bam,2011257.roundup,slurm,,corral-repl,,"""40cfd69c6bda11e4a14a005056a51846""","""/galaxy-repl/localdata/chrom/ce10.len""","""ce10""",17540666,"""True""",0,preSet,"""1""","""rgLB""","""illumina""","""rgPU""","""rgSM""",,17931410,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ARRG/1.56.0,1.56.0,,2014-11-14 09:21:38.583216,53758,2309.318565
2015-03-30 10:20:57.884060,rodeo_normal,,main_w2_handler0,2253700,9082623,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1832358144,bam,3369484.roundup,slurm,,corral-repl,,"""71c47062d6c611e48de8005056a52a46""","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",19058921,"""True""",0,preSet,"""1""","""rgLB""","""illumina""","""rgPU""","""rgSM""",,21881849,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ARRG/1.56.0,1.56.0,,2015-03-30 11:51:06.006411,60924,5408.122351
2014-12-30 14:32:22.348670,rodeo_normal,,main_w1_handler0,2160524,8479564,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3196997052,bam,658378.rodeo,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18092688,"""True""",0,preSet,"""1""","""rgLB""","""illumina""","""rgPU""","""rgSM""",,20267500,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ARRG/1.56.0,1.56.0,,2014-12-30 15:19:41.907434,57500,2839.5587640000003
