create_time,destination_id,exit_code,gatk_param_type|input_interval_repeat_0|input_intervals,gatk_param_type|input_interval_repeat_0|input_intervals_filetype,handler,history_id,id,imported,info,input_bam,input_bam_filetype,input_interval_repeat_0|input_intervals,input_interval_repeat_0|input_intervals_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.analysis_param_type.__current_case__,parameters.analysis_param_type.analysis_param_type_selector,parameters.chromInfo,parameters.dbkey,parameters.gatk_param_type.__current_case__,parameters.gatk_param_type.baq,parameters.gatk_param_type.baq_gap_open_penalty,parameters.gatk_param_type.default_base_qualities,parameters.gatk_param_type.disable_experimental_low_memory_sharding,parameters.gatk_param_type.downsampling_type.__current_case__,parameters.gatk_param_type.downsampling_type.downsampling_type_selector,parameters.gatk_param_type.gatk_param_type_selector,parameters.gatk_param_type.input_exclude_interval_repeat,parameters.gatk_param_type.input_interval_repeat,parameters.gatk_param_type.interval_merging,parameters.gatk_param_type.interval_set_rule,parameters.gatk_param_type.non_deterministic_random_seed,parameters.gatk_param_type.pedigree,parameters.gatk_param_type.pedigree_string_repeat,parameters.gatk_param_type.pedigree_validation_type,parameters.gatk_param_type.read_filter,parameters.gatk_param_type.read_group_black_list_repeat,parameters.gatk_param_type.use_original_qualities,parameters.gatk_param_type.validation_strictness,parameters.reference_source.__current_case__,parameters.reference_source.input_bam,parameters.reference_source.input_bam.values,parameters.reference_source.ref_file,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,parameters.rod_bind,ref_file,ref_file_filetype,rod_bind_0|input_rod,rod_bind_0|input_rod_filetype,rod_bind_1|input_rod,rod_bind_1|input_rod_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-10-05 08:44:10.932350,slurm_normal_16gb,,7572857398.0,vcf,main_w4_handler0,2842089,14010884,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",21173963,bam,,,8229342.roundup,slurm,,corral-repl,,,0,basic,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,OFF,40.0,-1,false,0,NONE,advanced,[],"[{'input_intervals': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b54a66756d9bd27fab'}]}, '__index__': 0}]",ALL,UNION,false,[],[],STRICT,[],[],false,STRICT,1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5aec217ed7ab4291a'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5fd1a2e4e72bb0692'}]",history,[],3199905909.0,fasta,,,,,,33472507,error,toolshed.g2.bx.psu.edu/repos/devteam/realigner_target_creator/gatk_realigner_target_creator/0.0.4,0.0.4,,2016-10-05 09:10:01.066168,87422,1550.133818
2016-07-20 09:45:48.935679,slurm_normal_16gb,,7572857398.0,vcf,main_w2_handler0,2770959,13451103,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",19292498,bam,,,7664781.roundup,slurm,,corral-repl,,,0,basic,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,OFF,40.0,-1,false,0,NONE,advanced,[],"[{'input_intervals': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b53fe6e546902494f5'}]}, '__index__': 0}]",ALL,UNION,false,[],[],STRICT,[],[],false,STRICT,1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d1a4608e49aadc7f'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5955a55ca8ce00c2b'}]",history,[],3199905909.0,fasta,,,,,,31582030,error,toolshed.g2.bx.psu.edu/repos/devteam/realigner_target_creator/gatk_realigner_target_creator/0.0.4,0.0.4,,2016-07-21 04:27:22.251947,87422,67293.31626800001
2016-10-05 08:47:03.928608,slurm_normal_16gb,,7572857398.0,vcf,main_w4_handler0,2842324,14010906,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",36974319,bam,,,8229520.roundup,slurm,,corral-repl,,,0,basic,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,OFF,40.0,-1,false,0,NONE,advanced,[],"[{'input_intervals': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b52f8163f7886e2f74'}]}, '__index__': 0}]",ALL,UNION,false,[],[],STRICT,[],[],false,STRICT,1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5430044acae89b7a6'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b1b71211b4268819'}]",history,[],3199905909.0,fasta,,,,,,33472507,error,toolshed.g2.bx.psu.edu/repos/devteam/realigner_target_creator/gatk_realigner_target_creator/0.0.4,0.0.4,,2016-10-05 09:46:25.017888,87422,3561.08928
2016-07-20 09:30:36.422575,slurm_normal_16gb,,7572857398.0,vcf,main_w1_handler1,2770959,13450964,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",19292498,bam,,,7664692.roundup,slurm,,corral-repl,,"""993635fe4e5c11e6aa74005056a52a46""",0,basic,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,OFF,40.0,-1,false,0,NONE,advanced,[],"[{'input_intervals': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b53fe6e546902494f5'}]}, '__index__': 0}]",ALL,UNION,false,[],[],STRICT,[],[],false,STRICT,1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d1a4608e49aadc7f'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5955a55ca8ce00c2b'}]",history,[],3199905909.0,fasta,,,,,,31582030,error,toolshed.g2.bx.psu.edu/repos/devteam/realigner_target_creator/gatk_realigner_target_creator/0.0.4,0.0.4,,2016-07-20 09:51:23.376646,87422,1246.954071
2016-10-04 11:04:14.624966,slurm_normal_16gb,,7572857398.0,vcf,main_w3_handler1,2842324,14003608,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",36974319,bam,,,8222619.roundup,slurm,,corral-repl,,"""3ff0ba768a2211e6a048005056a51846""",0,basic,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,OFF,40.0,-1,false,0,NONE,advanced,[],"[{'input_intervals': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b52f8163f7886e2f74'}]}, '__index__': 0}]",ALL,UNION,false,[],[],STRICT,[],[],false,STRICT,1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5430044acae89b7a6'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b1b71211b4268819'}]",history,[],3199905909.0,fasta,,,,,,33445158,error,toolshed.g2.bx.psu.edu/repos/devteam/realigner_target_creator/gatk_realigner_target_creator/0.0.4,0.0.4,,2016-10-04 12:09:37.258214,87422,3922.633248
2016-07-26 16:49:12.977585,slurm_normal_16gb,,7572857398.0,vcf,main_w1_handler1,2776386,13499797,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",105336708,bam,,,7716047.roundup,slurm,,corral-repl,,"""dcaa8fda535011e6b050005056a51846""",0,basic,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,OFF,40.0,-1,false,0,NONE,advanced,[],"[{'input_intervals': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b59267e8387f3c3827'}]}, '__index__': 0}]",ALL,UNION,false,[],[],STRICT,[],[],false,STRICT,1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b588aace7710e746ac'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57e34200155ffa0b3'}]",history,[],3199905909.0,fasta,,,,,,31727209,error,toolshed.g2.bx.psu.edu/repos/devteam/realigner_target_creator/gatk_realigner_target_creator/0.0.4,0.0.4,,2016-07-27 02:16:50.449018,83620,34057.471433
2016-07-15 09:38:41.548202,slurm_normal_16gb,,7572857398.0,vcf,main_w1_handler0,2767000,13418603,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",31345972,bam,,,7631138.roundup,slurm,,corral-repl,,,0,basic,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,OFF,40.0,-1,false,0,NONE,advanced,[],"[{'input_intervals': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b5c8e40ec099017406'}]}, '__index__': 0}]",ALL,UNION,false,[],[],STRICT,[],[],false,STRICT,1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b565ec4dc1eac48b9d'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b50cedf05092ec80ab'}]",history,[],3199905909.0,fasta,,,,,,31495510,error,toolshed.g2.bx.psu.edu/repos/devteam/realigner_target_creator/gatk_realigner_target_creator/0.0.4,0.0.4,,2016-07-15 10:05:50.613636,56382,1629.065434
2015-08-27 00:26:17.509716,slurm_normal_16gb,,,,main_w1_handler1,2186621,10207666,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1424760988,bam,7420545566.0,vcf,4478887.roundup,slurm,,corral-repl,,,0,basic,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",1,OFF,40.0,-1,False,0,NONE,advanced,[],"[{'input_intervals': 20603601, '__index__': 0}]",ALL,UNION,False,[],[],STRICT,[],[],False,STRICT,0,20920619.0,,hg_g1k_v37,,cached,"[{""__index__"": 0, ""rod_bind_type"": {""rod_bind_type_selector"": ""dbsnp"", ""__current_case__"": 0, ""input_rod"": 20603601}}, {""__index__"": 1, ""rod_bind_type"": {""rod_bind_type_selector"": ""indels"", ""__current_case__"": 2, ""input_rod"": 20603607}}]",,,7420545566.0,vcf,86369975.0,vcf,,24862671,error,toolshed.g2.bx.psu.edu/repos/devteam/realigner_target_creator/gatk_realigner_target_creator/0.0.4,0.0.4,,2015-08-27 09:19:49.159903,58857,32011.650187000003
2016-07-26 13:04:11.574785,slurm_normal_16gb,,7572857398.0,vcf,main_w1_handler1,2776280,13497756,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",108318498,bam,,,7713174.roundup,slurm,,corral-repl,,"""6fd0cc90533111e6a070005056a52a46""",0,basic,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,OFF,40.0,-1,false,0,NONE,advanced,[],"[{'input_intervals': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b59247ce73b1f03109'}]}, '__index__': 0}]",ALL,UNION,false,[],[],STRICT,[],[],false,STRICT,1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b512596b942dd4576a'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b560f3013ed2d0ab17'}]",history,[],3199905909.0,fasta,,,,,,31727209,error,toolshed.g2.bx.psu.edu/repos/devteam/realigner_target_creator/gatk_realigner_target_creator/0.0.4,0.0.4,,2016-07-26 13:31:45.295796,83620,1653.721011
2016-07-20 10:30:48.527003,slurm_normal_16gb,,7572857398.0,vcf,main_w2_handler1,2771002,13451259,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",37569153,bam,,,7665137.roundup,slurm,,corral-repl,,"""ff967e8c4e6411e69864005056a52a46""",0,basic,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,OFF,40.0,-1,false,0,NONE,advanced,[],"[{'input_intervals': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b5cf522cdf5d72a280'}]}, '__index__': 0}]",ALL,UNION,false,[],[],STRICT,[],[],false,STRICT,1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b50bbfac8b93121a4f'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54d908f4a112e977b'}]",history,[],3199905909.0,fasta,,,,,,31583659,error,toolshed.g2.bx.psu.edu/repos/devteam/realigner_target_creator/gatk_realigner_target_creator/0.0.4,0.0.4,,2016-07-20 13:00:10.344774,87422,8961.817771
