beds,beds1,beds1_filetype,beds2,beds2_filetype,beds_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,inputA,inputA_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.both,parameters.chromInfo,parameters.counts,parameters.dbkey,parameters.inputA.values,parameters.names.__current_case__,parameters.names.beds.values,parameters.names.names_select,parameters.strand,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
4482492194,4482492194,bed,,,bed,2018-01-29 21:19:40.925546,slurm_normal,,main_w4_handler1,3388314,18193693,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4482492194,bed,12274353,slurm,,corral-repl,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""?""","[{'src': 'hda', 'id': 33560453}]",1,"[{'src': 'hda', 'id': 33560453}]",no,"""""",,43517312,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_annotatebed/2.26.0.0,2.26.0.0,,2018-01-29 21:21:06.178793,97958,85.253247
175512813,175512813,bed,,,bed,2017-09-28 16:18:07.041003,slurm_normal,,main_w4_handler0,2461993,16963861,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",175512813,bed,11031453.roundup,slurm,,corral-repl,,"""true""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""?""","[{'src': 'hda', 'id': 31467770}]",1,"[{'src': 'hda', 'id': 31467770}]",no,"""""",,40542106,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_annotatebed/2.26.0.0,2.26.0.0,,2017-09-28 22:55:41.832563,46241,23854.79156
1399162142,1399162142,bed,261346480.0,bed,bed,2017-11-12 21:38:38.171131,slurm_normal,,main_w3_handler0,3303323,17430576,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1399162142,bed,11488845,slurm,,corral-repl,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/sacCer3.len""","""false""","""sacCer3""","[{'src': 'hda', 'id': 32269165}]",1,"[{'src': 'hda', 'id': 32269165}, {'src': 'hda', 'id': 32269311}]",no,"""""",,41598828,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_annotatebed/2.26.0.0,2.26.0.0,,2017-11-12 21:40:14.138837,114694,95.967706
368491036,368491036,bed,2854735418.0,bed,bed,2017-08-02 05:07:24.245856,slurm_normal,,main_w3_handler0,3203921,16483524,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7847590,bed,10552637.roundup,slurm,,corral-repl,,"""false""","""/galaxy-repl/localdata/chrom/mm9.len""","""false""","""mm9""","[{'src': 'hda', 'id': 30686136}]",1,"[{'src': 'hda', 'id': 30686163}, {'src': 'hda', 'id': 30721319}]",no,"""""",,39542196,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_annotatebed/2.26.0.0,2.26.0.0,,2017-08-02 05:39:41.248829,109470,1937.002973
23385651,23385651,bed,,,bed,2017-10-13 10:56:46.025979,slurm_normal,,main_w3_handler1,3179917,17093959,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",32869890331,vcf,11150400.roundup,slurm,,corral-repl,,"""true""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg_g1k_v37.len""","""true""","""hg_g1k_v37""","[{'src': 'hda', 'id': 31669153}]",1,"[{'src': 'hda', 'id': 30269723}]",no,"""""",,41254257,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_annotatebed/2.26.0.0,2.26.0.0,,2017-10-13 10:57:23.600527,79239,37.574548
2990992,2990992,bed,,,bed,2017-07-04 21:36:41.889811,slurm_normal,,main_w3_handler0,2232551,16257681,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",65775517827,vcf,10329595.roundup,slurm,,corral-repl,,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""false""","""?""","[{'src': 'hda', 'id': 30277196}]",1,"[{'src': 'hda', 'id': 30296020}]",no,"""""",,39066197,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_annotatebed/2.26.0.0,2.26.0.0,,2017-07-04 21:37:25.791623,60720,43.901812
829492,829492,bed,12058080.0,bed,bed,2017-06-05 08:19:31.670694,slurm_normal,,main_w3_handler0,3131485,16013528,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",43,gff,10106278.roundup,slurm,,corral-repl,,"""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""false""","""hg19""","[{'src': 'hda', 'id': 29889069}]",1,"[{'src': 'hda', 'id': 29889283}, {'src': 'hda', 'id': 29889284}]",no,"""""",,38196891,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_annotatebed/2.26.0.0,2.26.0.0,,2017-06-05 08:23:06.628206,39888,214.957512
528,528,bed,140.0,bed,bed,2017-04-19 09:33:05.269097,slurm_normal,,main_w3_handler1,2480912,15622923,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1487827794,gff3,9741875.roundup,slurm,,corral-repl,,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""false""","""?""","[{'src': 'hda', 'id': 23185679}]",1,"[{'src': 'hda', 'id': 29273568}, {'src': 'hda', 'id': 29273569}]",no,"""""",,37424445,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_annotatebed/2.26.0.0,2.26.0.0,,2017-04-19 09:34:21.384052,71005,76.11495500000001
7807951544,7807951544,bed,,,bed,2017-11-22 14:20:46.327196,slurm_normal,,main_w4_handler0,3286813,17550018,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1163224878,gff3,11610218,slurm,,corral-repl,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""false""","""?""","[{'src': 'hda', 'id': 32091207}]",1,"[{'src': 'hda', 'id': 32453305}]",no,"""""",,41754772,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_annotatebed/2.26.0.0,2.26.0.0,,2017-11-22 14:29:51.966654,113628,545.639458
211,211,bed,,,bed,2017-04-19 10:59:24.678835,slurm_normal,,main_w3_handler0,2480912,15623564,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1487827794,gff3,9742480.roundup,slurm,,corral-repl,,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""false""","""?""","[{'src': 'hda', 'id': 23185679}]",1,"[{'src': 'hda', 'id': 29274722}]",no,"""""",,37425837,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_annotatebed/2.26.0.0,2.26.0.0,,2017-04-19 11:00:28.197846,71005,63.519011000000006
