create_time,destination_id,exit_code,fasta,fasta_filetype,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.alignment.__current_case__,parameters.alignment.source,parameters.alignment.template.values,parameters.chromInfo,parameters.dbkey,parameters.fasta.values,parameters.filter,parameters.increment,parameters.mask.__current_case__,parameters.mask.source,parameters.window,runner_name,session_id,state,template,template_filetype,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-05-17 21:08:24.859275,slurm_normal,,74801720,fasta,main_w3_handler0,3106125,15872375,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9972558.roundup,slurm,,corral-repl,,1,hist,"[{'src': 'hda', 'id': 29554112}]","""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29585040}]","""false""","""25""",0,,"""100""",,37980121,error,3273489229,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_chimera_pintail/1.21.0,1.21.0,,2017-05-17 21:15:47.040691,99883,442.181416
2017-05-15 15:34:20.690885,slurm_normal,,74801720,fasta,main_w3_handler0,3106125,15839587,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9940528.roundup,slurm,,corral-repl,,1,hist,"[{'src': 'hda', 'id': 29554112}]","""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29585040}]","""false""","""10""",0,,"""100""",,37980121,error,3273489229,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_chimera_pintail/1.21.0,1.21.0,,2017-05-15 15:38:30.029922,99883,249.33903700000002
