create_time,destination_id,exit_code,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.c_and_o_argument_repeat,parameters.chromInfo,parameters.dbkey,parameters.distance,parameters.header,parameters.input.values,parameters.strand,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-03-20 16:45:03.286192,slurm_normal,,main_w3_handler0,2761047,15345374,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7963113295,bed,9484581.roundup,slurm,,corral-repl,,[],"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""","""false""","[{'src': 'hda', 'id': 28842871}]","""""",,36683934,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_mergebed/2.22.1,2.22.1,,2017-03-20 16:46:55.315245,87138,112.029053
2017-03-20 16:47:34.678528,slurm_normal,,main_w3_handler0,2761047,15345396,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7963113295,bed,9484604.roundup,slurm,,corral-repl,,[],"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""","""false""","[{'src': 'hda', 'id': 28842871}]","""""",,36683934,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_mergebed/2.22.1,2.22.1,,2017-03-20 16:48:56.315980,87138,81.63745200000001
