create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input1.values,parameters.method,parameters.numeric_columns,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-04-13 07:22:44.662309,slurm_normal,,main_w4_handler1,3060430,15572564,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",941538880,bedgraph,9695531.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29095911}]","""pearson""","[""2"", ""3"", ""4""]",,37126459,error,toolshed.g2.bx.psu.edu/repos/devteam/correlation/cor2/1.0.0,1.0.0,,2017-04-13 07:31:41.335553,103642,536.6732440000001
2017-09-10 19:29:58.146378,slurm_normal,,main_w4_handler0,3248174,16782933,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5930854405,tabular,10851213.roundup,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31177001}]","""pearson""","[""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21""]",,40366821,error,toolshed.g2.bx.psu.edu/repos/devteam/correlation/cor2/1.0.0,1.0.0,,2017-09-10 19:37:39.697130,31176,461.55075200000005
