create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_abundance,input_abundance_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.header,parameters.index_type.__current_case__,parameters.index_type.base,parameters.index_type.index_type_selector,parameters.index_type.margin,parameters.input_abundance.values,parameters.sample_columns,parameters.species_column,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-12-08 17:34:12.642452,slurm_normal,,main_w4_handler1,2913197,14519106,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7161114416,tabular,8701899.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""",0,exp(1),shannon,1,"[{'src': 'hda', 'id': 27543408}]","[""2""]","""1""",,34726037,error,toolshed.g2.bx.psu.edu/repos/iuc/vegan_diversity/vegan_diversity/0.0.3,0.0.3,,2016-12-08 17:40:48.756290,89783,396.11383800000004
2016-12-10 17:44:41.671421,slurm_normal,,main_w4_handler1,2913197,14539316,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7161114416,tabular,8722361.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""",0,exp(1),shannon,1,"[{'src': 'hda', 'id': 27576781}]","[""2""]","""1""",,34726037,error,toolshed.g2.bx.psu.edu/repos/iuc/vegan_diversity/vegan_diversity/0.0.3,0.0.3,,2016-12-10 17:50:59.648191,89783,377.97677000000004
