create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_bams_0|input_bam,input_bams_0|input_bam_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.options_type.__current_case__,parameters.options_type.options_type_selector,parameters.reference_source.__current_case__,parameters.reference_source.input_bams,parameters.reference_source.ref_file,parameters.reference_source.reference_source_selector,ref_file,ref_file_filetype,reference_source|input_bams_0|input_bam,reference_source|input_bams_0|input_bam_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-12-10 10:55:29.417629,slurm_normal,,main_w1_handler0,2469080,11138145,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2263854176.0,bam,5406489.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,1,"[{'__index__': 0, 'input_bam': 22297381}]",22297380,history,117145521.0,fasta,,,,26720139.0,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/0.0.3,0.0.3,,2015-12-10 10:56:41.215367,42483,71.79773800000001
2015-12-10 11:28:05.546820,slurm_normal,,main_w1_handler0,2469080,11138253,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2263854176.0,bam,5406687.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,1,"[{'__index__': 0, 'input_bam': 22297381}]",22297380,history,117145521.0,fasta,,,,26720139.0,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/0.0.3,0.0.3,,2015-12-10 11:29:25.437500,42483,79.89068
2015-12-10 10:59:32.796173,slurm_normal,,main_w1_handler2,2469080,11138153,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2263854176.0,bam,5406504.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,1,"[{'__index__': 0, 'input_bam': 22297381}]",22297380,history,117145521.0,fasta,,,,26720139.0,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/0.0.3,0.0.3,,2015-12-10 11:01:00.329446,42483,87.53327300000001
2015-12-10 10:47:19.346783,slurm_normal,,main_w1_handler0,2469080,11138123,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2263854176.0,bam,5406441.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,1,"[{'__index__': 0, 'input_bam': 22297381}]",22297380,history,117145521.0,fasta,,,,26720139.0,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/0.0.3,0.0.3,,2015-12-10 10:51:21.995515,42483,242.64873200000002
2015-01-17 15:59:43.095648,rodeo_normal,,main_w1_handler0,2176587,8561986,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",117813023.0,bam,2494645.roundup,slurm,,corral-repl,,"""cb9e9fd89e6111e4a548005056a51846""","""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",0.0,basic,0,"[{'__index__': 0, 'input_bam': 18232150}]",hg_g1k_v37,cached,,,,,,20536367.0,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/0.0.3,0.0.3,,2015-01-18 03:42:55.493601,12159,42192.397953
2015-12-10 13:06:36.308480,slurm_normal,,main_w1_handler0,2469080,11138544,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4994798124.0,bam,5407237.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,1,"[{'__index__': 0, 'input_bam': 22387215}]",22297380,history,117145521.0,fasta,,,,26720139.0,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/0.0.3,0.0.3,,2015-12-10 13:27:28.227489,42483,1251.9190090000002
2015-12-10 11:32:42.022047,slurm_normal,,main_w1_handler1,2469080,11138280,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2263854176.0,bam,5406719.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,1,"[{'__index__': 0, 'input_bam': 22297381}]",22297380,history,117145521.0,fasta,,,,26720139.0,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/0.0.3,0.0.3,,2015-12-10 11:33:45.982549,42483,63.960502000000005
2015-12-10 10:57:25.770724,slurm_normal,,main_w1_handler1,2469080,11138150,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2263854176.0,bam,5406495.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,1,"[{'__index__': 0, 'input_bam': 22297381}]",22297380,history,117145521.0,fasta,,,,26720139.0,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/0.0.3,0.0.3,,2015-12-10 10:58:27.544789,42483,61.77406500000001
2015-12-10 10:32:41.569570,slurm_normal,,main_w2_handler0,2469080,11138071,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2263854176.0,bam,5406340.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,1,"[{'__index__': 0, 'input_bam': 22297381}]",22297380,history,117145521.0,fasta,,,,26720139.0,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/0.0.3,0.0.3,,2015-12-10 10:33:43.251260,42483,61.68169
2015-12-10 11:18:11.114965,slurm_normal,,main_w1_handler2,2469080,11138216,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2263854176.0,bam,5406615.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,1,"[{'__index__': 0, 'input_bam': 22297381}]",22297380,history,117145521.0,fasta,,,,26720139.0,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/0.0.3,0.0.3,,2015-12-10 11:21:06.767651,42483,175.65268600000002
