create_time,destination_id,exit_code,genomic_feature,genomic_feature_filetype,genomic_interval,genomic_interval_filetype,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.allow_zeros,parameters.chromInfo,parameters.dbkey,parameters.genomic_feature.values,parameters.genomic_interval.values,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-12-17 02:35:02.485869,slurm_normal,,1402217245,bed,26335913,bed,main_w4_handler0,2932509,14597682,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8776084.roundup,slurm,,corral-repl,,"""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 27666386}]","[{'src': 'hda', 'id': 27668636}]",,33988944,error,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.1,1.0.1,,2016-12-17 02:41:02.650491,52630,360.164622
2017-01-23 16:38:41.807875,slurm_normal,,1402217245,bed,13259,interval,main_w3_handler1,2965432,14848574,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9008686.roundup,slurm,,corral-repl,,"""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 28049427}]","[{'src': 'hda', 'id': 28049771}]",,33988944,error,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.1,1.0.1,,2017-01-23 16:42:00.624974,52630,198.817099
2016-10-06 13:59:15.002977,slurm_normal,,1402217245,bed,2177546,bed,main_w4_handler1,2845046,14020382,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8238460.roundup,slurm,,corral-repl,,"""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b57e46dccc68250149'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5a977fbc144d5b919'}]",,31887632,error,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.1,1.0.1,,2016-10-06 14:02:39.206304,52630,204.203327
2016-10-06 14:05:25.122318,slurm_normal,,1402217245,bed,37013407,bed,main_w3_handler1,2845041,14020473,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8241423.roundup,slurm,,corral-repl,,"""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5803fc4634db57a2e'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b56487582be42c465e'}]",,31887632,error,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.1,1.0.1,,2016-10-06 18:42:13.879798,52630,16608.75748
2016-10-06 14:00:05.327932,slurm_normal,,1402217245,bed,2715285,bed,main_w4_handler0,2845046,14020410,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8238499.roundup,slurm,,corral-repl,,"""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b57e46dccc68250149'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b55ef7af50e72c0023'}]",,31887632,error,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.1,1.0.1,,2016-10-06 14:06:25.083668,52630,379.755736
2017-01-23 16:20:17.596091,slurm_normal,,1402217245,bed,14083,interval,main_w3_handler1,2965464,14848408,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9008533.roundup,slurm,,corral-repl,,"""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 28049697}]","[{'src': 'hda', 'id': 28049716}]",,33988944,error,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.1,1.0.1,,2017-01-23 16:27:24.841596,52630,427.24550500000004
2017-02-17 22:04:56.481273,slurm_normal,,1402217245,bed,20023147,bed,main_w3_handler1,2975097,15071335,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9227500.roundup,slurm,,corral-repl,,"""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 28143219}]","[{'src': 'hda', 'id': 28143222}]",,35696643,error,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.1,1.0.1,,2017-02-18 03:30:16.871906,52630,19520.390633000003
2017-01-23 17:23:17.602719,slurm_normal,,1402217245,bed,13259,interval,main_w4_handler0,2965433,14849253,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9009350.roundup,slurm,,corral-repl,,"""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 28049428}]","[{'src': 'hda', 'id': 28049778}]",,33988944,error,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.1,1.0.1,,2017-01-23 17:30:05.998669,52630,408.39595
2017-01-23 16:19:51.688464,slurm_normal,,1402217245,bed,13259,interval,main_w4_handler1,2965464,14848394,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9008477.roundup,slurm,,corral-repl,,"""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 28049697}]","[{'src': 'hda', 'id': 28049715}]",,33988944,error,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.1,1.0.1,,2017-01-23 16:23:12.588521,52630,200.900057
2017-01-23 17:22:57.701447,slurm_normal,,1402217245,bed,14261,interval,main_w3_handler0,2965433,14849236,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9009262.roundup,slurm,,corral-repl,,"""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 28049428}]","[{'src': 'hda', 'id': 28049777}]",,33988944,error,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.1,1.0.1,,2017-01-23 17:25:54.228692,52630,176.52724500000002
2017-03-09 14:33:24.309537,slurm_normal,,1402217245,bed,26335913,bed,main_w3_handler1,3025398,15253960,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9414105.roundup,slurm,,corral-repl,,"""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 28695740}]","[{'src': 'hda', 'id': 28695757}]",,35696643,error,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.1,1.0.1,,2017-03-11 02:35:15.505336,52630,129711.19579900001
2017-01-23 16:19:27.883184,slurm_normal,,1402217245,bed,14599,interval,main_w3_handler1,2965464,14848384,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9008462.roundup,slurm,,corral-repl,,"""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 28049697}]","[{'src': 'hda', 'id': 28049714}]",,33988944,error,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.1,1.0.1,,2017-01-23 16:22:22.557333,52630,174.674149
2017-03-09 14:33:24.728490,slurm_normal,,1402217245,bed,20023147,bed,main_w4_handler0,3025398,15253961,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9414104.roundup,slurm,,corral-repl,,"""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 28695740}]","[{'src': 'hda', 'id': 28695758}]",,35696643,error,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.1,1.0.1,,2017-03-11 02:35:30.611078,52630,129725.88258800001
2017-02-17 22:04:57.267592,slurm_normal,,1402217245,bed,2114585,bed,main_w3_handler1,2975097,15071337,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9229320.roundup,slurm,,corral-repl,,"""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 28143219}]","[{'src': 'hda', 'id': 28143225}]",,35696643,error,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.1,1.0.1,,2017-02-18 10:51:36.443604,52630,45999.176012
2016-12-17 02:38:23.395290,slurm_normal,,1402217245,bed,2177546,bed,main_w4_handler1,2932509,14597708,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8776099.roundup,slurm,,corral-repl,,"""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 27666386}]","[{'src': 'hda', 'id': 27668638}]",,33988944,error,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.1,1.0.1,,2016-12-17 02:44:24.433565,52630,361.038275
