create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_control_file,input_control_file1,input_control_file1_filetype,input_control_file2,input_control_file2_filetype,input_control_file3,input_control_file3_filetype,input_control_file4,input_control_file4_filetype,input_control_file_filetype,input_treatment_file,input_treatment_file1,input_treatment_file1_filetype,input_treatment_file2,input_treatment_file2_filetype,input_treatment_file3,input_treatment_file3_filetype,input_treatment_file4,input_treatment_file4_filetype,input_treatment_file_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.advanced_options.__current_case__,parameters.advanced_options.advanced_options_selector,parameters.advanced_options.broad_options.__current_case__,parameters.advanced_options.broad_options.broad_cutoff,parameters.advanced_options.broad_options.broad_options_selector,parameters.advanced_options.broad_options.call_summits,parameters.advanced_options.keep_dup_options.__current_case__,parameters.advanced_options.keep_dup_options.keep_dup_options_selector,parameters.advanced_options.llocal,parameters.advanced_options.nolambda,parameters.advanced_options.ratio,parameters.advanced_options.slocal,parameters.advanced_options.to_large,parameters.bampe,parameters.band_width,parameters.chromInfo,parameters.cutoff_options.__current_case__,parameters.cutoff_options.cutoff_options_selector,parameters.cutoff_options.pvalue,parameters.cutoff_options.qvalue,parameters.dbkey,parameters.effective_genome_size_options.__current_case__,parameters.effective_genome_size_options.effective_genome_size_options_selector,parameters.effective_genome_size_options.gsize,parameters.input_control_file,parameters.input_control_file.values,parameters.input_treatment_file,parameters.input_treatment_file.values,parameters.nomodel_type.__current_case__,parameters.nomodel_type.extsize,parameters.nomodel_type.nomodel_type_selector,parameters.outputs,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-02-22 06:42:19.492036,slurm_normal,,main_w3_handler1,2949679,15102884,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4681247647.0,4681247647.0,bam,,,,,,,bam,4959345063,4959345063,bam,,,,,,,bam,9258125.roundup,slurm,,corral-repl,,,0,on,1.0,,nobroad,false,1.0,1,10000,false,1.0,1000,false,"""true""","""300""","""/galaxy-repl/localdata/chrom/?.len""",1,qvalue,,0.05,"""?""",4,user_defined,2452200000,,"[{'src': 'hda', 'id': 28453651}]",,"[{'src': 'hda', 'id': 28453648}]",0,,create_model,"[""peaks_tabular"", ""summits"", ""bdg"", ""html"", ""pdf""]",,35257857.0,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_callpeak/2.1.0.20151222.0,2.1.0.20151222.0,,2017-02-22 06:54:15.063822,97753.0,715.5717860000001
2017-03-07 22:11:43.875076,slurm_normal,,main_w3_handler0,3022454,15236297,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1145465716.0,1145465716.0,sam,,,,,,,sam,1781482401,1781482401,sam,,,,,,,sam,9384537.roundup,slurm,,corral-repl,,,1,off,,,,,,,,,,,,"""false""","""300""","""/galaxy-repl/localdata/chrom/?.len""",1,qvalue,,0.05,"""?""",4,user_defined,3100000000,,"[{'src': 'hda', 'id': 28665479}]",,"[{'src': 'hda', 'id': 28665478}]",0,,create_model,"[""peaks_tabular"", ""summits"", ""bdg""]",,35170344.0,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_callpeak/2.1.0.20151222.0,2.1.0.20151222.0,,2017-03-07 22:12:25.873026,17286.0,41.99795
2016-03-11 02:17:02.156415,slurm_normal,,main_w2_handler1,2598998,12102098,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4486280014.0,4486280014.0,bam,,,,,,,bam,4348604863,4348604863,bam,,,,,,,bam,6326121.roundup,slurm,,corral-repl,,,1,off,,,,,,,,,,,,"""True""","""300""","""/galaxy-repl/localdata/chrom/papHam.len""",1,qvalue,,0.05,"""papHam""",1,2150570000,,"""23348642""",,"""23755905""",,0,,create_model,"[""peaks_tabular"", ""summits"", ""bdg""]",,28895701.0,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_callpeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-03-11 02:17:44.044001,78551.0,41.887586000000006
2017-01-12 15:32:45.601493,slurm_normal,,main_w4_handler1,2953969,14750253,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,,,,,,,825569254,825569254,bam,,,,,,,bam,8914678.roundup,slurm,,corral-repl,,,0,on,1.0,,nobroad,false,3.0,auto,10000,false,1.0,1000,false,"""false""","""300""","""/galaxy-repl/localdata/chrom/hg18.len""",1,qvalue,,0.05,"""hg18""",0,2451960000,,,,,"[{'src': 'hda', 'id': 27906381}]",0,,create_model,"[""peaks_tabular"", ""summits"", ""bdg""]",,34041039.0,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_callpeak/2.1.0.20151222.0,2.1.0.20151222.0,,2017-01-12 15:33:11.643053,93619.0,26.04156
2016-03-11 00:57:53.994934,slurm_normal,,main_w1_handler1,2598998,12101433,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4486280014.0,4486280014.0,bam,,,,,,,bam,4348604863,4348604863,bam,,,,,,,bam,6325606.roundup,slurm,,corral-repl,,,1,off,,,,,,,,,,,,"""True""","""300""","""/galaxy-repl/localdata/chrom/papHam.len""",1,qvalue,,0.05,"""papHam""",1,2150570000,,"""23348642""",,"""23755905""",,0,,create_model,"[""peaks_tabular"", ""summits"", ""bdg""]",,28895701.0,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_callpeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-03-11 00:58:49.149470,78551.0,55.154536
2016-03-10 04:17:01.663255,slurm_normal,,main_w2_handler1,2598998,12092147,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4486280014.0,4486280014.0,bam,,,,,,,bam,4348604863,4348604863,bam,,,,,,,bam,6316717.roundup,slurm,,corral-repl,,,1,off,,,,,,,,,,,,"""False""","""300""","""/galaxy-repl/localdata/chrom/papHam.len""",1,qvalue,,0.05,"""papHam""",1,2150570000,,"""23348642""",,"""23755905""",,0,,create_model,"[""peaks_tabular"", ""summits"", ""bdg""]",,28895701.0,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_callpeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-03-10 04:17:42.157884,78551.0,40.494629
2016-03-13 13:00:42.922433,slurm_normal,,main_w2_handler1,2598998,12119699,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4486280014.0,4486280014.0,bam,,,,,,,bam,4348604863,4348604863,bam,,,,,,,bam,6342021.roundup,slurm,,corral-repl,,,1,off,,,,,,,,,,,,"""True""","""300""","""/galaxy-repl/localdata/chrom/papHam.len""",1,qvalue,,0.05,"""papHam""",1,2150570000,,"""23348642""",,"""23755905""",,0,,create_model,"[""peaks_tabular"", ""summits"", ""bdg""]",,28895701.0,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_callpeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-03-13 13:01:19.443536,78551.0,36.521103000000004
2016-10-03 16:34:21.625203,slurm_normal,,main_w3_handler1,2837516,13997957,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,,,,,,,13277411,13277411,bam,,,,,,,bam,8217051.roundup,slurm,,corral-repl,,,0,on,1.0,,nobroad,false,1.0,1,10000,false,1.0,1000,false,"""false""","""300""","""/galaxy-repl/localdata/chrom/mm9.len""",1,qvalue,,0.05,"""mm9""",4,user_defined,61440000,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5aabb3ebac6b703dc'}]",0,,create_model,"[""peaks_tabular"", ""summits"", ""bdg""]",,33419255.0,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_callpeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-10-03 16:37:04.356407,91208.0,162.73120400000002
2017-01-07 11:22:53.289792,slurm_normal,,main_w3_handler1,2949226,14708436,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,,,,,,,4535110490,4535110490,bam,,,,,,,bam,8877956.roundup,slurm,,corral-repl,,,0,on,0.0,0.1,broad,,1.0,1,10000,false,1.0,1000,false,"""false""","""300""","""/galaxy-repl/localdata/chrom/papHam.len""",1,qvalue,,0.05,"""papHam""",0,2451960000,,,,,"[{'src': 'hda', 'id': 27840793}]",0,,create_model,"[""peaks_tabular"", ""summits"", ""bdg""]",,35086785.0,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_callpeak/2.1.0.20151222.0,2.1.0.20151222.0,,2017-01-07 11:23:52.075310,97436.0,58.785518
2017-03-07 22:11:24.024354,slurm_normal,,main_w4_handler0,3022454,15236294,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1781482401.0,1781482401.0,sam,,,,,,,sam,1145465716,1145465716,sam,,,,,,,sam,9384534.roundup,slurm,,corral-repl,,,1,off,,,,,,,,,,,,"""false""","""300""","""/galaxy-repl/localdata/chrom/?.len""",1,qvalue,,0.05,"""?""",4,user_defined,3100000000,,"[{'src': 'hda', 'id': 28665478}]",,"[{'src': 'hda', 'id': 28665479}]",0,,create_model,"[""peaks_tabular"", ""summits"", ""bdg""]",,35170344.0,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_callpeak/2.1.0.20151222.0,2.1.0.20151222.0,,2017-03-07 22:13:06.134107,17286.0,102.10975300000001
