create_time,destination_id,exit_code,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.bias_correction.__current_case__,parameters.bias_correction.do_bias_correction,parameters.bias_correction.seq_source.__current_case__,parameters.bias_correction.seq_source.index_source,parameters.chromInfo,parameters.dbkey,parameters.do_normalization,parameters.effective_length_correction,parameters.input,parameters.max_intron_len,parameters.min_isoform_fraction,parameters.multiread_correct,parameters.pre_mrna_fraction,parameters.reference_annotation.__current_case__,parameters.reference_annotation.reference_annotation_file,parameters.reference_annotation.reference_annotation_guide_file,parameters.reference_annotation.use_ref,reference_annotation_file,reference_annotation_file_filetype,reference_annotation_guide_file,reference_annotation_guide_file_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-01-11 19:59:42.818420,roundup_multi,,main_w2_handler2,2166469,8529175,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2882507534,bam,2452466,slurm,,corral-repl,,,,,,1,No,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""No""","""--no-effective-length-correction""",18178265,"""300000""","""0.1""","""No""","""0.15""",1,18179720.0,,Use reference annotation,326780685.0,gtf,,,,20328789,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.6,0.0.6,,2015-01-11 20:28:51.743824,57844,1748.925404
2015-04-16 13:37:16.732326,slurm_multi,,main_w2_handler2,2249109,9245651,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12110297422,bam,3528629,slurm,,corral-repl,,,,,,0,Yes,0.0,cached,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""","""Yes""","""""",19128369,"""300000""","""0.1""","""Yes""","""0.15""",2,,19207699.0,Use reference annotation guide,,,38092065.0,gtf,,22528109,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.6,0.0.6,,2015-04-16 14:04:37.582951,59519,1640.850625
2015-04-09 14:57:02.824578,slurm_multi,,main_w2_handler2,2249109,9180741,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12234006595,bam,3470342,slurm,,corral-repl,,,,,,0,Yes,0.0,cached,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""","""Yes""","""""",19128375,"""300000""","""0.1""","""Yes""","""0.15""",2,,19207699.0,Use reference annotation guide,,,38092065.0,gtf,,22348091,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.6,0.0.6,,2015-04-10 13:59:28.858792,59519,82946.034214
2015-04-16 13:37:20.461251,slurm_multi,,main_w2_handler2,2249109,9245654,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12234006595,bam,3528630,slurm,,corral-repl,,,,,,0,Yes,0.0,cached,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""","""Yes""","""""",19128375,"""300000""","""0.1""","""Yes""","""0.15""",2,,19207699.0,Use reference annotation guide,,,38092065.0,gtf,,22528109,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.6,0.0.6,,2015-04-16 14:53:08.180726,59519,4547.719475
2015-01-11 17:13:07.614066,roundup_multi,,main_w2_handler2,2166469,8528891,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1803249801,bam,2452023,slurm,,corral-repl,,,,,,1,No,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""No""","""""",18178268,"""300000""","""0.1""","""No""","""0.15""",1,18179720.0,,Use reference annotation,326780685.0,gtf,,,,20438069,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.6,0.0.6,,2015-01-11 17:28:45.540237,57844,937.9261710000001
2015-04-09 14:57:20.798909,slurm_multi,,main_w2_handler2,2249109,9180745,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",20044044097,bam,3478869,slurm,,corral-repl,,,,,,0,Yes,0.0,cached,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""","""Yes""","""""",19128405,"""300000""","""0.1""","""Yes""","""0.15""",2,,19207699.0,Use reference annotation guide,,,38092065.0,gtf,,22348091,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.6,0.0.6,,2015-04-11 00:10:45.817981,59519,119605.01907200001
2014-12-05 19:10:56.329787,roundup_multi,,main_w2_handler2,2129832,8337678,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6262168533,bam,2218955,slurm,,corral-repl,,0.0,no,,,1,No,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""No""","""""",17721639,"""300000""","""0.1""","""No""","""0.15""",1,17704344.0,,Use reference annotation,326367997.0,gtf,,,,19806289,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.6,0.0.6,,2014-12-05 19:34:42.905942,56597,1426.5761550000002
2015-04-17 15:04:08.604490,slurm_multi,,main_w2_handler2,2249109,9258408,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",20044044097,bam,3543340,slurm,,corral-repl,,,,,,1,No,,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""","""Yes""","""""",19128405,"""300000""","""0.1""","""No""","""0.15""",2,,19207699.0,Use reference annotation guide,,,38092065.0,gtf,,22528109,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.6,0.0.6,,2015-04-17 16:14:38.029773,59519,4229.4252830000005
2015-04-15 12:50:46.881223,slurm_multi,,main_w2_handler2,2256453,9236211,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4073159806,bam,3517480,slurm,,corral-repl,,,,,,1,No,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""No""","""""",19273532,"""300000""","""0.1""","""No""","""0.15""",1,19283248.0,,Use reference annotation,715569327.0,gtf,,,,22319313,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.6,0.0.6,,2015-04-15 13:33:10.783305,61766,2543.902082
2015-03-24 16:59:02.198367,roundup_multi,,main_w2_handler2,1732583,9025554,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",40677085485,bam,3310627,slurm,,corral-repl,,,,,,1,No,,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""","""No""","""""",18965996,"""300000""","""0.1""","""No""","""0.15""",0,,,No,,,,,,21543864,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.6,0.0.6,,2015-03-24 19:20:16.915594,43361,8474.717227000001
