create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.alternative,parameters.chromInfo,parameters.clean,parameters.dbkey,parameters.frame,parameters.input1.values,parameters.out_format1,parameters.regions,parameters.table,parameters.trim,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-10-13 02:46:19.614123,slurm_normal,,main_w3_handler1,2836665,14069444,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6531456560,fasta,8286500.roundup,slurm,,corral-repl,,"""no""","""/galaxy-repl/localdata/chrom/?.len""","""no""","""?""","""6""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5fbe27d0d1e5ec550'}]","""fasta""","""""","""0""","""yes""",,33336480,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: transeq101/5.0.0,5.0.0,,2016-10-13 03:00:01.735965,89416,822.121842
2016-05-19 15:15:29.701996,slurm_normal,,main_w1_handler1,2711488,12941034,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7297013378,fasta,7135384.roundup,slurm,,corral-repl,,"""yes""","""/galaxy-repl/localdata/chrom/hg38.len""","""no""","""hg38""","""6""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5be4b9db509c44ad2'}]","""fasta""","""""","""0""","""yes""",,30322029,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: transeq101/5.0.0,5.0.0,,2016-05-19 15:21:42.022509,36499,372.320513
2016-05-19 15:23:32.576961,slurm_normal,,main_w2_handler1,2711488,12941101,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7297013378,fasta,7135450.roundup,slurm,,corral-repl,,"""yes""","""/galaxy-repl/localdata/chrom/hg38.len""","""no""","""hg38""","""6""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5be4b9db509c44ad2'}]","""fasta""","""""","""0""","""yes""",,30322029,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: transeq101/5.0.0,5.0.0,,2016-05-19 15:29:32.759706,36499,360.182745
