create_time,destination_id,exit_code,handler,history_id,id,imported,info,inputA,inputA_filetype,inputB,inputB1,inputB10,inputB10_filetype,inputB11,inputB11_filetype,inputB12,inputB12_filetype,inputB13,inputB13_filetype,inputB14,inputB14_filetype,inputB15,inputB15_filetype,inputB16,inputB16_filetype,inputB17,inputB17_filetype,inputB18,inputB18_filetype,inputB19,inputB19_filetype,inputB1_filetype,inputB2,inputB20,inputB20_filetype,inputB21,inputB21_filetype,inputB22,inputB22_filetype,inputB23,inputB23_filetype,inputB24,inputB24_filetype,inputB25,inputB25_filetype,inputB26,inputB26_filetype,inputB27,inputB27_filetype,inputB28,inputB28_filetype,inputB29,inputB29_filetype,inputB2_filetype,inputB3,inputB30,inputB30_filetype,inputB31,inputB31_filetype,inputB32,inputB32_filetype,inputB33,inputB33_filetype,inputB34,inputB34_filetype,inputB35,inputB35_filetype,inputB36,inputB36_filetype,inputB37,inputB37_filetype,inputB38,inputB38_filetype,inputB3_filetype,inputB4,inputB4_filetype,inputB5,inputB5_filetype,inputB6,inputB6_filetype,inputB7,inputB7_filetype,inputB8,inputB8_filetype,inputB9,inputB9_filetype,inputB_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.d,parameters.dbkey,parameters.hist,parameters.inputA.values,parameters.inputB.values,parameters.split,parameters.strandedness,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-09-23 07:26:44.106181,slurm_normal,,main_w3_handler1,3261023,16906788,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4404,bed,2273037047,2273037047,,,,,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bed,10975974.roundup,slurm,,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/rheMac8.len""","""true""","""rheMac8""","""false""","[{'src': 'hda', 'id': 31378864}]","[{'src': 'hda', 'id': 31377427}]","""true""","""false""",,40782097.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.26.0.0,2.26.0.0,,2017-09-23 07:27:29.001565,111820.0,44.895384
2017-05-31 15:58:25.080933,slurm_normal,,main_w3_handler1,2485270,15980114,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6110,bed,4368234811,4368234811,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,10075731.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""false""","""hg19""","""false""","[{'src': 'hda', 'id': 29834270}]","[{'src': 'hda', 'id': 29830544}]","""false""","""false""",,37599887.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.26.0.0,2.26.0.0,,2017-05-31 16:01:40.565500,55576.0,195.484567
2018-01-19 18:44:01.888990,slurm_normal,,main_w4_handler0,3269701,18087030,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",140861,bed,1279515748,1279515748,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,12166331,slurm,,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""false""","""?""","""false""","[{'src': 'hda', 'id': 33390596}]","[{'src': 'hda', 'id': 33396411}]","""false""","""false""",,43296577.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.26.0.0,2.26.0.0,,2018-01-19 18:45:00.632955,103934.0,58.743965
2017-05-30 22:54:16.489909,slurm_normal,,main_w4_handler0,3114522,15973943,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",20681029,bed,2139049527,2139049527,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,10070549.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""true""","""mm9""","""false""","[{'src': 'hda', 'id': 29813433}]","[{'src': 'hda', 'id': 29802166}]","""false""","""false""",,37749247.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.26.0.0,2.26.0.0,,2017-05-31 05:23:24.804970,34556.0,23348.315061
2017-11-20 22:23:47.711484,slurm_normal,,main_w3_handler1,3293335,17526688,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11817729,gff3,1386164423,1386164423,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,11585599,slurm,,corral-repl,,,"""/galaxy-repl/main/files/021/771/dataset_21771515.dat""","""false""","""NcLiv""","""false""","[{'src': 'hda', 'id': 32120057}]","[{'src': 'hda', 'id': 32434238}]","""false""","""false""",,42128045.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.26.0.0,2.26.0.0,,2017-11-20 22:24:38.372558,114041.0,50.661074000000006
2017-06-29 15:17:54.430105,slurm_normal,,main_w3_handler1,3165452,16224060,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",309,bed,1326111407,1326111407,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,10300083.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""true""","""?""","""false""","[{'src': 'hda', 'id': 30183879}]","[{'src': 'hda', 'id': 30183796}]","""false""","""false""",,38950993.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.26.0.0,2.26.0.0,,2017-06-29 15:19:09.536699,37112.0,75.106594
2017-08-31 09:56:44.113313,slurm_normal,,main_w4_handler1,3172658,16701340,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1554089,bed,1542089475,1542089475,,,,,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bed,10773920.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/susScr3.len""","""false""","""susScr3""","""false""","[{'src': 'hda', 'id': 31040357}]","[{'src': 'hda', 'id': 31056559}]","""false""","""false""",,38978439.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.26.0.0,2.26.0.0,,2017-08-31 09:57:24.995768,108204.0,40.882455
2017-08-22 04:15:17.244129,slurm_normal,,main_w3_handler1,3228952,16628691,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2819753,gtf,636821530,636821530,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,10701003.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""false""","""sacCer3""","""false""","[{'src': 'hda', 'id': 30945427}]","[{'src': 'hda', 'id': 30945426}]","""true""","""false""",,39988426.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.26.0.0,2.26.0.0,,2017-08-22 04:15:59.159256,108343.0,41.915127000000005
2017-05-09 12:39:52.624290,slurm_normal,,main_w3_handler1,2898987,15793406,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6726,bed,1744296943,1744296943,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,9897816.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""false""","""hg19""","""false""","[{'src': 'hda', 'id': 29536090}]","[{'src': 'hda', 'id': 27314055}]","""false""","""false""",,37852220.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.26.0.0,2.26.0.0,,2017-05-09 12:40:47.780934,88042.0,55.156644
2017-07-18 00:31:57.325702,slurm_normal,,main_w4_handler1,2980001,16366350,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",443941,bed,436322616,436322616,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,10430522.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""false""","""?""","""false""","[{'src': 'hda', 'id': 30527091}]","[{'src': 'hda', 'id': 28333404}]","""false""","""false""",,39371436.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.26.0.0,2.26.0.0,,2017-07-18 00:32:51.910078,98384.0,54.584376000000006
