create_time,destination_id,exit_code,fasta,fasta_filetype,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.alignment.__current_case__,parameters.alignment.source,parameters.alignment.template.values,parameters.chromInfo,parameters.classify.__current_case__,parameters.classify.cutoff,parameters.classify.iters,parameters.classify.ksize,parameters.classify.method,parameters.classify.probs,parameters.dbkey,parameters.fasta.values,parameters.relabund,parameters.tax.__current_case__,parameters.tax.source,parameters.tax.taxonomy.values,runner_name,session_id,state,taxonomy,taxonomy_filetype,template,template_filetype,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-04-10 23:53:30.823317,slurm_normal,,120303713,fasta,main_w3_handler0,3040566,15548110,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9672731.roundup,slurm,,corral-repl,,1,hist,"[{'src': 'hda', 'id': 29160003}]","""/galaxy-repl/localdata/chrom/?.len""",0,60,100,8,wang,true,"""?""","[{'src': 'hda', 'id': 29159987}]","""false""",1,hist,"[{'src': 'hda', 'id': 29159990}]",,36216920,error,23754478,mothur.ref.taxonomy,44065409,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_classify_seqs/1.22.0,1.22.0,,2017-04-10 23:59:53.187765,100667,382.36444800000004
2017-03-29 19:17:52.971257,slurm_normal,,25480779,fasta,main_w3_handler0,3042010,15427294,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9559403.roundup,slurm,,corral-repl,,1,hist,"[{'src': 'hda', 'id': 28946380}]","""/galaxy-repl/localdata/chrom/?.len""",0,60,100,8,wang,true,"""?""","[{'src': 'hda', 'id': 28962821}]","""false""",1,hist,"[{'src': 'hda', 'id': 28944715}]",,36762747,error,18989553,taxonomy,293189424,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_classify_seqs/1.22.0,1.22.0,,2017-03-29 19:52:03.283538,82349,2050.312281
