create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,matrixFile,matrixFile_filetype,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.advancedOpt.__current_case__,parameters.advancedOpt.averageTypeSummaryPlot,parameters.advancedOpt.colorMap,parameters.advancedOpt.endLabel,parameters.advancedOpt.heatmapHeight,parameters.advancedOpt.heatmapWidth,parameters.advancedOpt.missingDataColor,parameters.advancedOpt.perGroup,parameters.advancedOpt.plotTitle,parameters.advancedOpt.referencePointLabel,parameters.advancedOpt.regionsLabel,parameters.advancedOpt.samplesLabel,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.sortRegions,parameters.advancedOpt.sortUsing,parameters.advancedOpt.startLabel,parameters.advancedOpt.used_multiple_regions.__current_case__,parameters.advancedOpt.used_multiple_regions.clustering.__current_case__,parameters.advancedOpt.used_multiple_regions.clustering.clustering_options,parameters.advancedOpt.used_multiple_regions.clustering.k_kmeans,parameters.advancedOpt.used_multiple_regions.clustering.n_hclust,parameters.advancedOpt.used_multiple_regions.used_multiple_regions_options,parameters.advancedOpt.whatToShow,parameters.advancedOpt.xAxisLabel,parameters.advancedOpt.yAxisLabel,parameters.advancedOpt.yMax,parameters.advancedOpt.yMin,parameters.advancedOpt.zMax,parameters.advancedOpt.zMin,parameters.chromInfo,parameters.dbkey,parameters.matrixFile.values,parameters.output.__current_case__,parameters.output.outFileFormat,parameters.output.saveMatrix,parameters.output.saveSortedRegions,parameters.output.showOutputSettings,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-07-05 08:29:37.868764,slurm_normal,,main_w1_handler0,2757760,13332539,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7544828.roundup,slurm,,262093466,deeptools_compute_matrix_archive,corral-repl,,"""996892c0428a11e688b9005056a52a46""",1,mean,RdYlBu,TES,25.0,7.5,black,false,,TSS,,,yes,descend,mean,TSS,1.0,,,,,yes,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b59cb1911f685afb3a'}]",1,png,true,true,yes,,31200238,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.2.3.0,2.2.3.0,,2016-07-05 17:53:42.747491,29338,33844.878727
2016-07-11 14:13:41.704839,slurm_normal,,main_w1_handler0,2763031,13375104,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7596219.roundup,slurm,,57074857,deeptools_compute_matrix_archive,corral-repl,,"""a916654e477111e69aab005056a52a46""",1,mean,RdYlBu,TES,25.0,7.5,black,false,,TSS,,,yes,descend,mean,TSS,1.0,,,,,yes,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5b60e31b88b0eb412'}]",1,png,true,true,yes,,31311709,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.2.3.0,2.2.3.0,,2016-07-12 11:47:29.244975,29338,77627.54013600001
2016-07-18 02:25:01.662225,slurm_normal,,main_w2_handler1,2738336,13427908,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7639441.roundup,slurm,,81672088,deeptools_compute_matrix_archive,corral-repl,,,0,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5cd69da806b05529e'}]",0,,,,no,,31516860,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.2.3.0,2.2.3.0,,2016-07-18 02:28:03.047405,85504,181.38518000000002
2016-07-12 16:24:36.690593,slurm_normal,,main_w1_handler0,2764282,13388034,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7631480.roundup,slurm,,98660422,deeptools_compute_matrix_archive,corral-repl,,"""1d48ce08484d11e69aab005056a52a46""",1,mean,RdYlBu,TES,25.0,7.5,black,false,,TSS,,,yes,descend,mean,TSS,1.0,,,,,yes,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5375f9b05a9ee793f'}]",1,png,true,true,yes,,31311709,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.2.3.0,2.2.3.0,,2016-07-15 10:58:03.709115,29338,239607.01852200003
2016-07-18 15:14:37.489313,slurm_normal,,main_w1_handler0,2738336,13432653,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7644139.roundup,slurm,,111999901,deeptools_compute_matrix_archive,corral-repl,,,0,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5a21bcd928c77eb5f'}]",0,,,,no,,31516860,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.2.3.0,2.2.3.0,,2016-07-18 15:17:58.769502,85504,201.280189
2016-07-19 13:52:55.381092,slurm_normal,,main_w1_handler1,2761047,13443009,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7654722.roundup,slurm,,471317653,deeptools_compute_matrix_archive,corral-repl,,,1,mean,RdYlBu,+2,25.0,7.5,black,false,,0,,H3K64ac H3K27ac BRD4-WT BRD4-Y430C,yes,descend,mean,-2,1.0,,,,,yes,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5e1da26286a80cd55'}]",0,,,,no,,31343093,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.2.3.0,2.2.3.0,,2016-07-19 13:56:38.029062,87138,222.64797000000002
2016-07-18 15:33:12.877050,slurm_normal,,main_w2_handler0,2738336,13433019,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7644465.roundup,slurm,,111999901,deeptools_compute_matrix_archive,corral-repl,,,0,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5a21bcd928c77eb5f'}]",0,,,,no,,31516860,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.2.3.0,2.2.3.0,,2016-07-18 15:36:34.550901,85504,201.673851
2016-06-22 14:55:44.293540,slurm_normal,,main_w1_handler1,2726385,13237173,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7422738.roundup,slurm,,358440824,deeptools_compute_matrix_archive,corral-repl,,,1,mean,RdBu_r,TES,25.0,7.5,white,false,,TSS,,,yes,descend,mean,TSS,1.0,,,,,yes,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,6.0,-2.0,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b51bece08a83cb9e74'}]",1,pdf,false,false,yes,,30598208,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.2.3.0,2.2.3.0,,2016-06-22 14:57:44.392073,38685,120.098533
2016-07-18 14:44:08.328867,slurm_normal,,main_w2_handler1,2768855,13432125,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7656203.roundup,slurm,,184141030,deeptools_compute_matrix_archive,corral-repl,,"""12c2717a4cf611e6b03d005056a51846""",1,mean,RdYlBu,TES,25.0,7.5,black,false,,TSS,,,yes,descend,mean,TSS,1.0,,,,,yes,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b572fa5eca038e6290'}]",1,png,true,true,yes,,31533916,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.2.3.0,2.2.3.0,,2016-07-19 16:21:07.334658,29338,92219.005791
2016-06-22 15:49:06.396829,slurm_normal,,main_w2_handler0,2726385,13237675,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7423518.roundup,slurm,,358440824,deeptools_compute_matrix_archive,corral-repl,,,1,mean,RdYlBu_r,TES,25.0,7.5,white,false,,TSS,,,yes,descend,mean,TSS,1.0,,,,,yes,heatmap and colorbar,distance from TSS (bp),genes,,,6.0,-2.0,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b51bece08a83cb9e74'}]",1,pdf,false,false,yes,,30598208,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.2.3.0,2.2.3.0,,2016-06-22 15:50:56.791703,38685,110.394874
