conditions_0|samples_0|sample,conditions_0|samples_0|sample_filetype,conditions_0|samples_10|sample,conditions_0|samples_10|sample_filetype,conditions_0|samples_11|sample,conditions_0|samples_11|sample_filetype,conditions_0|samples_12|sample,conditions_0|samples_12|sample_filetype,conditions_0|samples_13|sample,conditions_0|samples_13|sample_filetype,conditions_0|samples_1|sample,conditions_0|samples_1|sample_filetype,conditions_0|samples_2|sample,conditions_0|samples_2|sample_filetype,conditions_0|samples_3|sample,conditions_0|samples_3|sample_filetype,conditions_0|samples_4|sample,conditions_0|samples_4|sample_filetype,conditions_0|samples_5|sample,conditions_0|samples_5|sample_filetype,conditions_0|samples_6|sample,conditions_0|samples_6|sample_filetype,conditions_0|samples_7|sample,conditions_0|samples_7|sample_filetype,conditions_0|samples_8|sample,conditions_0|samples_8|sample_filetype,conditions_0|samples_9|sample,conditions_0|samples_9|sample_filetype,conditions_1|samples_0|sample,conditions_1|samples_0|sample_filetype,conditions_1|samples_10|sample,conditions_1|samples_10|sample_filetype,conditions_1|samples_11|sample,conditions_1|samples_11|sample_filetype,conditions_1|samples_12|sample,conditions_1|samples_12|sample_filetype,conditions_1|samples_13|sample,conditions_1|samples_13|sample_filetype,conditions_1|samples_14|sample,conditions_1|samples_14|sample_filetype,conditions_1|samples_15|sample,conditions_1|samples_15|sample_filetype,conditions_1|samples_16|sample,conditions_1|samples_16|sample_filetype,conditions_1|samples_17|sample,conditions_1|samples_17|sample_filetype,conditions_1|samples_18|sample,conditions_1|samples_18|sample_filetype,conditions_1|samples_19|sample,conditions_1|samples_19|sample_filetype,conditions_1|samples_1|sample,conditions_1|samples_1|sample_filetype,conditions_1|samples_20|sample,conditions_1|samples_20|sample_filetype,conditions_1|samples_21|sample,conditions_1|samples_21|sample_filetype,conditions_1|samples_22|sample,conditions_1|samples_22|sample_filetype,conditions_1|samples_2|sample,conditions_1|samples_2|sample_filetype,conditions_1|samples_3|sample,conditions_1|samples_3|sample_filetype,conditions_1|samples_4|sample,conditions_1|samples_4|sample_filetype,conditions_1|samples_5|sample,conditions_1|samples_5|sample_filetype,conditions_1|samples_6|sample,conditions_1|samples_6|sample_filetype,conditions_1|samples_7|sample,conditions_1|samples_7|sample_filetype,conditions_1|samples_8|sample,conditions_1|samples_8|sample_filetype,conditions_1|samples_9|sample,conditions_1|samples_9|sample_filetype,conditions_2|samples_0|sample,conditions_2|samples_0|sample_filetype,conditions_2|samples_10|sample,conditions_2|samples_10|sample_filetype,conditions_2|samples_11|sample,conditions_2|samples_11|sample_filetype,conditions_2|samples_12|sample,conditions_2|samples_12|sample_filetype,conditions_2|samples_13|sample,conditions_2|samples_13|sample_filetype,conditions_2|samples_14|sample,conditions_2|samples_14|sample_filetype,conditions_2|samples_15|sample,conditions_2|samples_15|sample_filetype,conditions_2|samples_16|sample,conditions_2|samples_16|sample_filetype,conditions_2|samples_17|sample,conditions_2|samples_17|sample_filetype,conditions_2|samples_18|sample,conditions_2|samples_18|sample_filetype,conditions_2|samples_19|sample,conditions_2|samples_19|sample_filetype,conditions_2|samples_1|sample,conditions_2|samples_1|sample_filetype,conditions_2|samples_20|sample,conditions_2|samples_20|sample_filetype,conditions_2|samples_21|sample,conditions_2|samples_21|sample_filetype,conditions_2|samples_22|sample,conditions_2|samples_22|sample_filetype,conditions_2|samples_2|sample,conditions_2|samples_2|sample_filetype,conditions_2|samples_3|sample,conditions_2|samples_3|sample_filetype,conditions_2|samples_4|sample,conditions_2|samples_4|sample_filetype,conditions_2|samples_5|sample,conditions_2|samples_5|sample_filetype,conditions_2|samples_6|sample,conditions_2|samples_6|sample_filetype,conditions_2|samples_7|sample,conditions_2|samples_7|sample_filetype,conditions_2|samples_8|sample,conditions_2|samples_8|sample_filetype,conditions_2|samples_9|sample,conditions_2|samples_9|sample_filetype,conditions_3|samples_0|sample,conditions_3|samples_0|sample_filetype,conditions_3|samples_10|sample,conditions_3|samples_10|sample_filetype,conditions_3|samples_1|sample,conditions_3|samples_1|sample_filetype,conditions_3|samples_2|sample,conditions_3|samples_2|sample_filetype,conditions_3|samples_3|sample,conditions_3|samples_3|sample_filetype,conditions_3|samples_4|sample,conditions_3|samples_4|sample_filetype,conditions_3|samples_5|sample,conditions_3|samples_5|sample_filetype,conditions_3|samples_6|sample,conditions_3|samples_6|sample_filetype,conditions_3|samples_7|sample,conditions_3|samples_7|sample_filetype,conditions_3|samples_8|sample,conditions_3|samples_8|sample_filetype,conditions_3|samples_9|sample,conditions_3|samples_9|sample_filetype,conditions_4|samples_0|sample,conditions_4|samples_0|sample_filetype,conditions_4|samples_10|sample,conditions_4|samples_10|sample_filetype,conditions_4|samples_11|sample,conditions_4|samples_11|sample_filetype,conditions_4|samples_12|sample,conditions_4|samples_12|sample_filetype,conditions_4|samples_13|sample,conditions_4|samples_13|sample_filetype,conditions_4|samples_14|sample,conditions_4|samples_14|sample_filetype,conditions_4|samples_15|sample,conditions_4|samples_15|sample_filetype,conditions_4|samples_16|sample,conditions_4|samples_16|sample_filetype,conditions_4|samples_17|sample,conditions_4|samples_17|sample_filetype,conditions_4|samples_18|sample,conditions_4|samples_18|sample_filetype,conditions_4|samples_19|sample,conditions_4|samples_19|sample_filetype,conditions_4|samples_1|sample,conditions_4|samples_1|sample_filetype,conditions_4|samples_20|sample,conditions_4|samples_20|sample_filetype,conditions_4|samples_21|sample,conditions_4|samples_21|sample_filetype,conditions_4|samples_22|sample,conditions_4|samples_22|sample_filetype,conditions_4|samples_23|sample,conditions_4|samples_23|sample_filetype,conditions_4|samples_24|sample,conditions_4|samples_24|sample_filetype,conditions_4|samples_25|sample,conditions_4|samples_25|sample_filetype,conditions_4|samples_26|sample,conditions_4|samples_26|sample_filetype,conditions_4|samples_27|sample,conditions_4|samples_27|sample_filetype,conditions_4|samples_28|sample,conditions_4|samples_28|sample_filetype,conditions_4|samples_29|sample,conditions_4|samples_29|sample_filetype,conditions_4|samples_2|sample,conditions_4|samples_2|sample_filetype,conditions_4|samples_3|sample,conditions_4|samples_3|sample_filetype,conditions_4|samples_4|sample,conditions_4|samples_4|sample_filetype,conditions_4|samples_5|sample,conditions_4|samples_5|sample_filetype,conditions_4|samples_6|sample,conditions_4|samples_6|sample_filetype,conditions_4|samples_7|sample,conditions_4|samples_7|sample_filetype,conditions_4|samples_8|sample,conditions_4|samples_8|sample_filetype,conditions_4|samples_9|sample,conditions_4|samples_9|sample_filetype,conditions_5|samples_0|sample,conditions_5|samples_0|sample_filetype,conditions_5|samples_1|sample,conditions_5|samples_1|sample_filetype,conditions_6|samples_0|sample,conditions_6|samples_0|sample_filetype,conditions_6|samples_1|sample,conditions_6|samples_1|sample_filetype,conditions_6|samples_2|sample,conditions_6|samples_2|sample_filetype,conditions_6|samples_3|sample,conditions_6|samples_3|sample_filetype,conditions_6|samples_4|sample,conditions_6|samples_4|sample_filetype,conditions_6|samples_5|sample,conditions_6|samples_5|sample_filetype,conditions_7|samples_0|sample,conditions_7|samples_0|sample_filetype,conditions_7|samples_1|sample,conditions_7|samples_1|sample_filetype,conditions_7|samples_2|sample,conditions_7|samples_2|sample_filetype,conditions_7|samples_3|sample,conditions_7|samples_3|sample_filetype,conditions_7|samples_4|sample,conditions_7|samples_4|sample_filetype,conditions_7|samples_5|sample,conditions_7|samples_5|sample_filetype,conditions_7|samples_6|sample,conditions_7|samples_6|sample_filetype,conditions_7|samples_7|sample,conditions_7|samples_7|sample_filetype,conditions_8|samples_0|sample,conditions_8|samples_0|sample_filetype,conditions_8|samples_1|sample,conditions_8|samples_1|sample_filetype,conditions_9|samples_0|sample,conditions_9|samples_0|sample_filetype,conditions_9|samples_1|sample,conditions_9|samples_1|sample_filetype,create_time,destination_id,exit_code,gtf_input,gtf_input_filetype,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.additional.__current_case__,parameters.additional.frag_len_std_dev,parameters.additional.frag_mean_len,parameters.additional.sAdditional,parameters.bias_correction.__current_case__,parameters.bias_correction.do_bias_correction,parameters.bias_correction.seq_source.__current_case__,parameters.bias_correction.seq_source.index,parameters.bias_correction.seq_source.index_source,parameters.bias_correction.seq_source.ref_file,parameters.chromInfo,parameters.conditions,parameters.dbkey,parameters.dispersion_method,parameters.fdr,parameters.gtf_input,parameters.gtf_input.values,parameters.include_read_group_files,parameters.library_norm_method,parameters.min_alignment_count,parameters.multiread_correct,ref_file,ref_file_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
9267073477,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,15334467135,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-03-16 18:49:15.111453,roundup_multi,,715498404,gtf,main_w2_handler2,2235144,8959889,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3189161,slurm,,corral-repl,,,,,0,,,No,1,No,,,,,"""/galaxy-repl/localdata/chrom/hg38.len""","[{""__index__"": 0, ""name"": ""CONTROL"", ""samples"": [{""sample"": 18853099, ""__index__"": 0}]}, {""__index__"": 1, ""name"": ""OVOL2 OE"", ""samples"": [{""sample"": 18853106, ""__index__"": 0}]}]","""hg38""","""blind""","""0.05""",18853451,,"""No""","""geometric""","""10""","""No""",,,,21745248,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff/0.0.7,0.0.7,,2015-03-16 23:19:09.658469,59213,16194.547016
373784208,bam,,,,,,,,,395543660.0,bam,407620732.0,bam,363526433.0,bam,,,,,,,,,,,,,374592461,bam,,,,,,,,,,,,,,,,,,,,,400903807.0,bam,,,,,,,320553897.0,bam,416415690.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-03-01 19:54:02.010094,roundup_multi,,40110632,gtf,main_w2_handler2,2220934,8837540,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2962167,slurm,,corral-repl,,,,,0,,,No,1,No,,,,,"""/galaxy-repl/localdata/chrom/ce10.len""","[{""__index__"": 0, ""name"": ""CF1903"", ""samples"": [{""sample"": 18672130, ""__index__"": 0}, {""sample"": 18672143, ""__index__"": 1}, {""sample"": 18672162, ""__index__"": 2}, {""sample"": 18672181, ""__index__"": 3}]}, {""__index__"": 1, ""name"": ""AGP22"", ""samples"": [{""sample"": 18672136, ""__index__"": 0}, {""sample"": 18672156, ""__index__"": 1}, {""sample"": 18672175, ""__index__"": 2}, {""sample"": 18672207, ""__index__"": 3}]}]","""ce10""","""pooled""","""0.05""",18688300,,"""No""","""geometric""","""10""","""No""",,,,21498062,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff/0.0.7,0.0.7,,2015-03-01 20:18:06.353284,24867,1444.34319
1114930531,bam,,,,,,,,,862264220.0,bam,,,,,,,,,,,,,,,,,862264220,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-05-06 01:40:57.659342,slurm_multi_dynamic_walltime,,58274938,gtf,main_w2_handler2,2240172,9405193,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3735970,slurm,,corral-repl,,0.0,no,,0,,,No,1,No,,,,,"""/galaxy-repl/localdata/chrom/ce10.len""","[{""__index__"": 0, ""name"": """", ""samples"": [{""sample"": 19593727, ""__index__"": 0}, {""sample"": 19593735, ""__index__"": 1}]}, {""__index__"": 1, ""name"": """", ""samples"": [{""sample"": 19593735, ""__index__"": 0}]}]","""ce10""","""pooled""","""0.05""",19594738,,"""No""","""geometric""","""10""","""No""",,,,22901594,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff/0.0.7,0.0.7,,2015-05-06 02:34:34.319218,61028,3216.659876
3410674783,bam,,,,,,,,,1768948832.0,bam,,,,,,,,,,,,,,,,,2040112394,bam,,,,,,,,,,,,,,,,,,,,,3504699204.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-12-17 08:37:49.190723,roundup_multi,,379580171,gtf,main_w2_handler2,2131956,8430087,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2330964,slurm,,corral-repl,,0.0,no,,0,,,No,1,No,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","[{""__index__"": 0, ""name"": ""Control "", ""samples"": [{""sample"": 17788722, ""__index__"": 0}, {""sample"": 17788734, ""__index__"": 1}]}, {""__index__"": 1, ""name"": ""Experiment"", ""samples"": [{""sample"": 17788634, ""__index__"": 0}, {""sample"": 17788713, ""__index__"": 1}]}]","""mm10""","""pooled""","""0.05""",18002826,,"""No""","""geometric""","""10""","""No""",,,,20094531,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff/0.0.7,0.0.7,,2014-12-17 12:41:03.279137,56609,14594.088414000002
373779764,bam,,,,,,,,,395543139.0,bam,407621043.0,bam,363526446.0,bam,,,,,,,,,,,,,374592268,bam,,,,,,,,,,,,,,,,,,,,,400903820.0,bam,,,,,,,320553910.0,bam,416415702.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-02-26 21:46:25.706347,roundup_multi,,35950786,gtf,main_w2_handler2,2220934,8824073,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2936448,slurm,,corral-repl,,,,,0,,,No,1,No,,,,,"""/galaxy-repl/localdata/chrom/ce10.len""","[{""__index__"": 0, ""name"": ""CF1903"", ""samples"": [{""sample"": 18659977, ""__index__"": 0}, {""sample"": 18659993, ""__index__"": 1}, {""sample"": 18660005, ""__index__"": 2}, {""sample"": 18660029, ""__index__"": 3}]}, {""__index__"": 1, ""name"": ""AGP22"", ""samples"": [{""sample"": 18659987, ""__index__"": 0}, {""sample"": 18659998, ""__index__"": 1}, {""sample"": 18660024, ""__index__"": 2}, {""sample"": 18660038, ""__index__"": 3}]}]","""ce10""","""pooled""","""0.05""",18662189,,"""No""","""geometric""","""10""","""No""",,,,20610567,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff/0.0.7,0.0.7,,2015-02-26 22:25:51.753452,24867,2366.047105
699279160,bam,,,,,,,,,765696823.0,bam,,,,,,,,,,,,,,,,,602781302,bam,,,,,,,,,,,,,,,,,,,,,557114256.0,bam,,,,,,,,,,,,,,,,,,,,,,,542228399.0,bam,,,,,,,,,,,,,,,,,,,,,568974090.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-08-09 16:55:34.999389,slurm_multi_dynamic_walltime,,63128901,gtf,main_w2_handler2,2403406,10086390,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4363115,slurm,,corral-repl,,0.0,no,,0,,,No,1,No,,,,,"""/galaxy-repl/localdata/chrom/ce10.len""","[{""__index__"": 0, ""name"": ""WT fp"", ""samples"": [{""sample"": 20711985, ""__index__"": 0}, {""sample"": 20711986, ""__index__"": 1}]}, {""__index__"": 1, ""name"": ""qd213 fp"", ""samples"": [{""sample"": 20711987, ""__index__"": 0}, {""sample"": 20711988, ""__index__"": 1}]}, {""__index__"": 2, ""name"": ""gk126 fp"", ""samples"": [{""sample"": 20711990, ""__index__"": 0}, {""sample"": 20711991, ""__index__"": 1}]}]","""ce10""","""per-condition""","""0.05""",20711989,,"""No""","""geometric""","""10""","""Yes""",,,,24397950,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff/0.0.7,0.0.7,,2015-08-09 18:08:31.813875,32358,4376.814486
889819445,bam,,,,,,,,,988318741.0,bam,1060735810.0,bam,,,,,,,,,,,,,,,1001792154,bam,,,,,,,,,,,,,,,,,,,,,1094683103.0,bam,,,,,,,982018365.0,bam,,,,,,,,,,,,,,,1302396048.0,bam,,,,,,,,,,,,,,,,,,,,,1042017023.0,bam,,,,,,,959142338.0,bam,,,,,,,,,,,,,,,991597075.0,bam,,,1036157785.0,bam,946005639.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-11-17 23:09:00.567307,roundup_multi,,106695118,gtf,main_w2_handler2,1709514,8188889,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2038464,slurm,,corral-repl,,0.0,no,,0,,,No,0,Yes,0.0,mm9,cached,,"""/galaxy-repl/localdata/chrom/mm9.len""","[{""__index__"": 0, ""name"": ""Male"", ""samples"": [{""sample"": 12797960, ""__index__"": 0}, {""sample"": 12864769, ""__index__"": 1}, {""sample"": 12896780, ""__index__"": 2}]}, {""__index__"": 1, ""name"": ""Malemut"", ""samples"": [{""sample"": 12878862, ""__index__"": 0}, {""sample"": 12797967, ""__index__"": 1}, {""sample"": 12895154, ""__index__"": 2}]}, {""__index__"": 2, ""name"": ""Female"", ""samples"": [{""sample"": 12864759, ""__index__"": 0}, {""sample"": 12864754, ""__index__"": 1}, {""sample"": 17416038, ""__index__"": 2}]}, {""__index__"": 3, ""name"": ""Femalemut"", ""samples"": [{""sample"": 12809104, ""__index__"": 0}, {""sample"": 12864749, ""__index__"": 1}, {""sample"": 12864764, ""__index__"": 2}]}]","""mm9""","""pooled""","""0.05""",17579449,,"""Yes""","""geometric""","""10""","""No""",,,,17174170,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff/0.0.7,0.0.7,,2014-11-18 02:35:39.654574,34556,12399.087267
8700152019,bam,,,,,,,,,7657778587.0,bam,5456638816.0,bam,4452527913.0,bam,,,,,,,,,,,,,5613906608,bam,9434823095.0,bam,,,,,,,,,,,,,,,,,,,6657629267.0,bam,,,,,,,7270656628.0,bam,5157441071.0,bam,10415739416.0,bam,12700221756.0,bam,11973982899.0,bam,5003141315.0,bam,12661645656.0,bam,7141357510.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-12-16 02:56:09.823756,roundup_multi,,520933733,gtf,main_w2_handler2,2146850,8421988,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2322228,slurm,,corral-repl,,1.0,yes,roundup_multi,0,,,No,0,Yes,0.0,hg38,cached,,"""/galaxy-repl/localdata/chrom/hg38.len""","[{""__index__"": 0, ""name"": ""C9"", ""samples"": [{""sample"": 17972456, ""__index__"": 0}, {""sample"": 17972469, ""__index__"": 1}, {""sample"": 17972479, ""__index__"": 2}, {""sample"": 17972614, ""__index__"": 3}]}, {""__index__"": 1, ""name"": ""Non-C9"", ""samples"": [{""sample"": 17972485, ""__index__"": 0}, {""sample"": 17972489, ""__index__"": 1}, {""sample"": 17972492, ""__index__"": 2}, {""sample"": 17972496, ""__index__"": 3}, {""sample"": 17972625, ""__index__"": 4}, {""sample"": 17972630, ""__index__"": 5}, {""sample"": 17972632, ""__index__"": 6}, {""sample"": 17972634, ""__index__"": 7}, {""sample"": 17972636, ""__index__"": 8}, {""sample"": 17972638, ""__index__"": 9}, {""sample"": 17972641, ""__index__"": 10}]}]","""hg38""","""pooled""","""0.05""",17945390,,"""Yes""","""geometric""","""10""","""Yes""",,,,20072906,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff/0.0.7,0.0.7,,2014-12-17 12:33:13.723251,57380,121023.899495
384870482,bam,,,,,,,,,342972525.0,bam,,,,,,,,,,,,,,,,,302715105,bam,,,,,,,,,,,,,,,,,,,,,392934228.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-27 04:01:15.174948,roundup_multi,,45117839,gtf,main_w2_handler2,2185094,8611178,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2573751,slurm,,corral-repl,,,,,0,,,No,0,Yes,0.0,ce10,cached,,"""/galaxy-repl/localdata/chrom/ce10.len""","[{""__index__"": 0, ""name"": ""CF1903-3&4"", ""samples"": [{""sample"": 18305040, ""__index__"": 0}, {""sample"": 18305051, ""__index__"": 1}]}, {""__index__"": 1, ""name"": ""AGP22-3&4"", ""samples"": [{""sample"": 18305047, ""__index__"": 0}, {""sample"": 18305063, ""__index__"": 1}]}]","""ce10""","""pooled""","""0.05""",18307038,,"""No""","""geometric""","""100""","""No""",,,,20598800,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff/0.0.7,0.0.7,,2015-01-27 06:16:13.973891,24867,8098.798943000001
352966844,bam,,,,,,,,,373331766.0,bam,384870482.0,bam,342972525.0,bam,,,,,,,,,,,,,400201705,bam,,,,,,,,,,,,,,,,,,,,,378224382.0,bam,,,,,,,302715105.0,bam,392934228.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-29 14:45:40.903918,roundup_multi,,40839610,gtf,main_w2_handler2,2185094,8630780,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2596300,slurm,,corral-repl,,,,,0,,,No,0,Yes,0.0,ce10,cached,,"""/galaxy-repl/localdata/chrom/ce10.len""","[{""__index__"": 0, ""name"": ""CF1903"", ""samples"": [{""sample"": 18305010, ""__index__"": 0}, {""sample"": 18305028, ""__index__"": 1}, {""sample"": 18305040, ""__index__"": 2}, {""sample"": 18305051, ""__index__"": 3}]}, {""__index__"": 1, ""name"": ""AGP22"", ""samples"": [{""sample"": 18305022, ""__index__"": 0}, {""sample"": 18305033, ""__index__"": 1}, {""sample"": 18305047, ""__index__"": 2}, {""sample"": 18305063, ""__index__"": 3}]}]","""ce10""","""pooled""","""0.05""",18306329,,"""No""","""geometric""","""100""","""No""",,,,20610567,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff/0.0.7,0.0.7,,2015-01-29 15:52:19.081521,24867,3998.177603
