create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.reftax.__current_case__,parameters.reftax.source,parameters.relabund,parameters.tax.__current_case__,parameters.tax.source,parameters.tax.taxonomy.values,runner_name,session_id,state,taxonomy,taxonomy_filetype,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-03-25 00:39:57.519417,slurm_normal,,main_w4_handler1,3042010,15392542,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9528344.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,none,"""false""",1,hist,"[{'src': 'hda', 'id': 28918242}]",,36762747,error,41131,tax.summary,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_summary_tax/1.23.0,1.23.0,,2017-03-25 00:41:48.179848,82349,110.660431
2017-04-15 05:38:35.926442,slurm_normal,,main_w3_handler0,3011797,15592400,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9713902.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,none,"""false""",1,hist,"[{'src': 'hda', 'id': 29226973}]",,37345387,error,17753185,tabular,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_summary_tax/1.23.0,1.23.0,,2017-04-15 05:40:33.784199,99424,117.857757
