bed_input,bed_input_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.bed_vs_interval.__current_case__,parameters.bed_vs_interval.bed_input.values,parameters.bed_vs_interval.bed_vs_interval_selector,parameters.chromInfo,parameters.dbkey,parameters.invert,parameters.vcf_input.values,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,vcf_input,vcf_input_filetype,runtime
3898020775,bed,2016-11-05 00:16:49.278566,slurm_normal,,main_w3_handler1,2881902,14258242,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8466929.roundup,slurm,,corral-repl,,0,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59c65ee3485be1188'}]",bed,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b59f3efdba77709a10'}]",,33346758,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfbedintersect/vcfbedintersect/1.0.0_rc1.0,1.0.0_rc1.0,,2016-11-05 00:21:01.419702,91306,54551195,vcf,252.14113600000002
3898020775,bed,2016-11-04 23:06:33.999294,slurm_normal,,main_w4_handler0,2881902,14257819,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8466460.roundup,slurm,,corral-repl,,0,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59c65ee3485be1188'}]",bed,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5764350b4aab88129'}]",,34031617,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfbedintersect/vcfbedintersect/1.0.0_rc1.0,1.0.0_rc1.0,,2016-11-04 23:19:37.265973,91306,189011453,vcf,783.2666790000001
2583883906,bed,2017-04-06 04:38:34.015347,slurm_normal,,main_w4_handler0,3043374,15502306,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9629572.roundup,slurm,,corral-repl,,0,"[{'src': 'hda', 'id': 29093468}]",bed,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""true""","[{'src': 'hda', 'id': 29093364}]",,35494274,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfbedintersect/vcfbedintersect/1.0.0_rc1.0,1.0.0_rc1.0,,2017-04-06 04:41:33.542065,98454,2077100,vcf,179.52671800000002
5034335615,bed,2017-12-09 05:46:25.178853,slurm_normal,,main_w3_handler1,3349909,17753876,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11821307,slurm,,corral-repl,,0,"[{'src': 'hda', 'id': 32801320}]",bed,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""false""","[{'src': 'hda', 'id': 32827597}]",,42463698,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfbedintersect/vcfbedintersect/1.0.0_rc1.0,1.0.0_rc1.0,,2017-12-09 05:48:53.508913,108548,57301904,vcf,148.33006
11115262766,bed,2017-03-07 03:24:02.014956,slurm_normal,,main_w4_handler0,2872625,15225924,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9374372.roundup,slurm,,corral-repl,,0,"[{'src': 'hda', 'id': 28648133}]",bed,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""false""","[{'src': 'hda', 'id': 28636576}]",,36382770,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfbedintersect/vcfbedintersect/1.0.0_rc1.0,1.0.0_rc1.0,,2017-03-07 03:26:21.350110,82187,1379263,vcf,139.33515400000002
4160246868,bed,2017-12-06 19:13:30.757786,slurm_normal,,main_w3_handler0,3354159,17723677,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11790026,slurm,,corral-repl,,0,"[{'src': 'hda', 'id': 32777176}]",bed,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg_g1k_v37.len""","""hg_g1k_v37""","""false""","[{'src': 'hda', 'id': 32776952}]",,42495750,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfbedintersect/vcfbedintersect/1.0.0_rc1.0,1.0.0_rc1.0,,2017-12-06 20:01:47.341446,222,744681,vcf,2896.5836600000002
18012487817,bed,2017-07-05 19:30:05.142035,slurm_normal,,main_w4_handler0,3183018,16265908,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10337061.roundup,slurm,,corral-repl,,0,"[{'src': 'hda', 'id': 30312601}]",bed,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""","[{'src': 'hda', 'id': 30312558}]",,39118869,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfbedintersect/vcfbedintersect/1.0.0_rc1.0,1.0.0_rc1.0,,2017-07-05 19:36:58.564218,108593,203091107,vcf,413.422183
3898020771,bed,2016-11-08 23:10:42.644342,slurm_normal,,main_w3_handler0,2881902,14289840,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8497794.roundup,slurm,,corral-repl,,0,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5296f80fc677756e0'}]",bed,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b574f5d25fe0dbb55a'}]",,34031617,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfbedintersect/vcfbedintersect/1.0.0_rc1.0,1.0.0_rc1.0,,2016-11-08 23:23:30.435656,91306,161340546,vcf,767.791314
3898020775,bed,2016-11-04 23:06:33.264864,slurm_normal,,main_w4_handler0,2881902,14257817,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8466459.roundup,slurm,,corral-repl,,0,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59c65ee3485be1188'}]",bed,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b574f5d25fe0dbb55a'}]",,34031617,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfbedintersect/vcfbedintersect/1.0.0_rc1.0,1.0.0_rc1.0,,2016-11-04 23:11:36.982310,91306,161340546,vcf,303.717446
3898020775,bed,2016-11-04 23:06:32.814639,slurm_normal,,main_w4_handler0,2881902,14257816,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8466458.roundup,slurm,,corral-repl,,0,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59c65ee3485be1188'}]",bed,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b59f3efdba77709a10'}]",,34031617,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfbedintersect/vcfbedintersect/1.0.0_rc1.0,1.0.0_rc1.0,,2016-11-04 23:14:38.569727,91306,54551195,vcf,485.75508800000006
