create_time,destination_id,exit_code,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.cond,parameters.dbkey,parameters.input,parameters.input.values,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-02-12 08:37:07.551178,rodeo_normal,,main_w1_handler1,2201964,8710328,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6404862952,pileup,2731824.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""c4""","""hg19""",18479579,,,21184147,error,Summary_Statistics1,1.1.0,,2015-02-12 08:58:59.549759,16887,1311.998581
2015-04-06 20:19:05.366370,slurm_normal,,main_w1_handler0,2261263,9152222,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6600878916,bed,3434930.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/danRer7.len""","""c4""","""danRer7""",19163208,,,21420732,error,Summary_Statistics1,1.1.0,,2015-04-06 20:40:47.109068,14166,1301.742698
2015-04-22 13:10:06.108362,slurm_normal,,main_w2_handler1,2278067,9299371,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8764931534,bed,3616056.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/danRer7.len""","""c4""","""danRer7""",19415425,,,22197442,error,Summary_Statistics1,1.1.0,,2015-04-22 13:48:16.174096,14166,2290.0657340000002
2015-02-12 08:37:58.891493,rodeo_normal,,main_w2_handler1,2201964,8710331,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7803485508,pileup,2731832.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""c4""","""hg19""",18479590,,,21184147,error,Summary_Statistics1,1.1.0,,2015-02-12 09:07:38.779271,16887,1779.887778
2015-08-14 16:19:44.247265,slurm_normal,,main_w2_handler0,2319532,10119568,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",14959189749,tabular,4394906.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""c6""","""?""",20775126,,,24687879,error,Summary_Statistics1,1.1.0,,2015-08-14 21:57:39.464076,64114,20275.216811000002
2015-02-11 19:15:08.683671,rodeo_normal,,main_w1_handler0,2201964,8706388,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7675632799,pileup,2724450.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""c4""","""hg19""",18479595,,,21180483,error,Summary_Statistics1,1.1.0,,2015-02-11 19:44:47.540642,16887,1778.8569710000002
2015-06-07 18:57:10.495494,slurm_normal,,main_w1_handler0,2319532,9610757,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7934414727,bedgraph,3921804.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""c4""","""hg19""",19936684,,,23461329,error,Summary_Statistics1,1.1.0,,2015-06-07 19:27:48.374097,64114,1837.878603
2016-10-19 06:12:45.525281,slurm_normal,,main_w3_handler0,2853037,14114398,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9355566187,bedgraph,8329169.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""c4""","""mm9""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b520a8f3a0ec0ccfc7'}]",,32769120,error,Summary_Statistics1,1.1.1,,2016-10-19 06:41:24.911259,39728,1719.385978
2015-12-02 22:37:25.590761,slurm_normal,,main_w2_handler1,2520594,11070237,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11558184763,bedgraph,5323893.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/danRer7.len""","""c4""","""danRer7""",22270861,,,26549835,error,Summary_Statistics1,1.1.0,,2015-12-03 00:50:57.630106,14166,8012.039345
2015-02-12 16:43:10.908237,rodeo_normal,,main_w1_handler0,2204344,8713216,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6404862952,tabular,2737089.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""c4""","""hg19""",18490270,,,20662697,error,Summary_Statistics1,1.1.0,,2015-02-12 17:16:23.527706,5254,1992.6194690000002
2015-08-05 14:17:06.430804,slurm_normal,,main_w2_handler1,2319532,10067488,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",79661957635,tabular,4345962.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""c4""","""?""",20415886,,,24511196,error,Summary_Statistics1,1.1.0,,2015-08-05 19:41:14.636510,64114,19448.205706
2015-02-12 08:38:16.104550,rodeo_normal,,main_w1_handler0,2201964,8710332,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7675632799,pileup,2731836.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""c4""","""hg19""",18479595,,,21184147,error,Summary_Statistics1,1.1.0,,2015-02-12 09:05:26.940553,16887,1630.8360030000001
2015-02-12 08:37:27.669890,rodeo_normal,,main_w2_handler1,2201964,8710329,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9567226571,pileup,2731826.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""c4""","""hg19""",18479585,,,21184147,error,Summary_Statistics1,1.1.0,,2015-02-12 09:12:32.394995,16887,2104.725105
2015-02-11 19:13:59.292261,rodeo_normal,,main_w2_handler0,2201964,8706369,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6404862952,pileup,2724413.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""c4""","""hg19""",18479579,,,21180483,error,Summary_Statistics1,1.1.0,,2015-02-11 19:43:35.348812,16887,1776.0565510000001
