create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_bams_0|input_bam,input_bams_0|input_bam_filetype,input_bams_1|input_bam,input_bams_1|input_bam_filetype,input_bams_2|input_bam,input_bams_2|input_bam_filetype,input_bams_3|input_bam,input_bams_3|input_bam_filetype,input_bams_4|input_bam,input_bams_4|input_bam_filetype,input_bams_5|input_bam,input_bams_5|input_bam_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.advanced_options.__current_case__,parameters.advanced_options.advanced_options_selector,parameters.advanced_options.coverage_dtype,parameters.advanced_options.safe,parameters.chromInfo,parameters.coverage_dtype,parameters.dbkey,parameters.min_base_quality,parameters.min_mapping_quality,parameters.min_support_depth,parameters.ploidy,parameters.reference_source.__current_case__,parameters.reference_source.input_bams,parameters.reference_source.ref_file,parameters.reference_source.ref_file.__class__,parameters.reference_source.ref_file.value,parameters.reference_source.reference_source_selector,parameters.regions,parameters.use_strand,parameters.variants_only,ref_file,ref_file_filetype,reference_source|input_bams_0|input_bam,reference_source|input_bams_0|input_bam_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-03-03 11:45:00.689249,slurm_normal_single_16gb,,main_w2_handler0,2225449,8850137,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",521335.0,bam,,,,,,,,,,,2987523.roundup,slurm,,corral-repl,,"""b4fb1f02c19a11e4a5d8005056a52a46""",0,basic,,,"""/galaxy-repl/localdata/chrom/hg19.len""",,"""hg19""","""""","""""","""0""","""2""",1.0,"[{'__index__': 0, 'input_bam': 18708319}]",18668110,,,history,[],"""False""","""False""",3199905909.0,fasta,,,,21418968,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-03-03 14:25:50.085274,45153.0,9649.396025
2015-08-27 10:04:25.707218,slurm_normal_16gb,,main_w2_handler1,2421094,10209385,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",33037696.0,bam,,,,,,,,,,,4479254.roundup,slurm,,corral-repl,,"""ef22bc244ca211e5ab16005056a51846""",0,basic,,,"""/galaxy-repl/localdata/chrom/hg19.len""",,"""hg19""","""""","""""","""0""","""2""",0.0,"[{'__index__': 0, 'input_bam': 20924627}]",12931,,,cached,[],"""False""","""False""",,,,,,24529498,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-08-27 16:59:15.933244,67450.0,24890.226026
2015-09-09 04:26:24.154743,slurm_normal_16gb,,main_w2_handler1,2432627,10281760,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",73837012.0,bam,,,,,,,,,,,4567652.roundup,slurm,,corral-repl,,"""ecb28b6056aa11e5bbcd005056a51846""",0,basic,,,"""/galaxy-repl/localdata/chrom/?.len""",,"""?""","""""","""""","""0""","""2""",0.0,"[{'__index__': 0, 'input_bam': 21051242}]",hg19,,,cached,[],"""False""","""False""",,,,,,24887549,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-09-09 05:37:55.993478,54854.0,4291.838735
2015-01-06 11:22:09.448907,rodeo_normal,,main_w2_handler0,2165471,8503834,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",94020996.0,bam,94020996.0,bam,,,,,,,,,2421682.roundup,slurm,,corral-repl,,,0,basic,,,"""/galaxy-repl/localdata/chrom/?.len""",,"""?""","""""","""""","""5""","""2""",,,,,,,[],"""False""","""False""",,,,,,20353363,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-01-06 11:23:49.470573,,100.02166600000001
2015-03-11 01:49:42.545283,slurm_normal_single_16gb,,main_w1_handler0,1204614,8913306,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",25511606.0,bam,,,,,,,,,,,3101335.roundup,slurm,,corral-repl,,,0,basic,,,"""/galaxy-repl/localdata/chrom/hg38.len""",,"""hg38""","""""","""""","""0""","""2""",0.0,"[{'__index__': 0, 'input_bam': 18811129}]",hg38,,,cached,[],"""False""","""False""",,,,,,21702833,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-03-11 01:59:09.379097,28514.0,566.8338140000001
2015-05-12 00:01:02.027894,slurm_normal_16gb,,main_w2_handler0,2302296,9448379,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",80258578.0,bam,,,,,,,,,,,3774184.roundup,slurm,,corral-repl,,"""e82d9b18f83911e4ad17005056a51846""",0,basic,,,"""/galaxy-repl/localdata/chrom/hg19.len""",,"""hg19""","""""","""""","""0""","""2""",0.0,"[{'__index__': 0, 'input_bam': 19668885}]",hg19,,,cached,[],"""False""","""False""",,,,,,21692142,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-05-12 01:02:52.276232,60734.0,3710.2483380000003
2015-09-17 14:38:29.763993,slurm_normal_16gb,,main_w1_handler2,2441556,10344840,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2292561.0,bam,,,,,,,,,,,4627946.roundup,slurm,,corral-repl,,,1,advanced,uint64,False,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""",,"""Homo_sapiens_nuHg19_mtrCRS""","""""","""""","""10""","""1""",0.0,"[{'__index__': 0, 'input_bam': 21149603}]",Homo_sapiens_nuHg19_mtrCRS,,,cached,[],"""True""","""True""",,,,,,25168061,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-09-17 14:40:51.691487,68906.0,141.927494
2015-09-27 02:30:08.873671,slurm_normal_16gb,,main_w1_handler0,2452216,10437491,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",25797650.0,bam,,,,,,,,,,,4715981.roundup,slurm,,corral-repl,,,1,advanced,uint8,False,"""/galaxy-repl/localdata/chrom/?.len""",,"""?""","""20""","""""","""10""","""2""",0.0,"[{'__index__': 0, 'input_bam': 21283336}]",hg19,,,cached,[],"""True""","""True""",,,,,,25290506,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-09-27 06:09:12.109972,69703.0,13143.236301
2015-08-23 03:29:31.124285,slurm_normal_16gb,,main_w2_handler0,2415927,10175407,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",29937430.0,bam,,,,,,,,,,,4445445.roundup,slurm,,corral-repl,,,1,advanced,uint8,False,"""/galaxy-repl/localdata/chrom/?.len""",,"""?""","""20""","""""","""10""","""1""",0.0,"[{'__index__': 0, 'input_bam': 20866820}]",hg19,,,cached,[],"""True""","""True""",,,,,,24421097,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-08-23 07:46:34.104461,66167.0,15422.980176000001
2015-02-11 15:36:07.414687,slurm_normal_single_16gb,,main_w2_handler0,2202727,8704839,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",94020996.0,bam,,,,,,,,,,,2721475.roundup,slurm,,corral-repl,,,0,basic,,,"""/galaxy-repl/localdata/chrom/hg19.len""",,"""hg19""","""""","""""","""0""","""2""",0.0,"[{'__index__': 0, 'input_bam': 18475652}]",hg19,,,cached,[],"""False""","""False""",,,,,,21197138,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-02-11 17:56:35.948648,49150.0,8428.533961000001
2015-09-22 02:20:12.560780,slurm_normal_16gb,,main_w1_handler1,2445533,10378825,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",31583915.0,bam,,,,,,,,,,,4659923.roundup,slurm,,corral-repl,,,1,advanced,uint16,False,"""/galaxy-repl/localdata/chrom/hg38.len""",,"""hg38""","""""","""""","""0""","""2""",0.0,"[{'__index__': 0, 'input_bam': 21187438}]",hg38,,,cached,[],"""False""","""True""",,,,,,25093615,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-09-22 02:26:05.205883,68953.0,352.645103
