chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_database,input_database_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input_database,parameters.input_database.values,parameters.plots,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-04-12 15:20:49.988530,slurm_normal,,main_w2_handler1,2377569,12432305,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1279741952,sqlite,6632331.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",24168251,,"[{""__index__"": 0, ""height"": ""960"", ""plot"": {""clustering"": ""both"", ""labrow"": ""True"", ""labcol"": ""True"", ""features"": ""gene"", ""log10"": ""True"", ""border"": ""False"", ""genes"": [], ""__current_case__"": 7, ""type"": ""heatmap""}, ""width"": ""1280""}]",,29407583,error,toolshed.g2.bx.psu.edu/repos/devteam/cummerbund/cummeRbund/1.0.1,1.0.1,,2016-04-12 16:07:23.226371,66236.0,2793.237841
,,2016-09-04 12:51:58.226932,slurm_normal,,main_w4_handler0,2807548,13778551,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",235963392,sqlite,8000121.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ee6deed56d525db4'}]","[{""__index__"": 0, ""height"": ""960"", ""plot"": {""clustering"": ""both"", ""labrow"": ""true"", ""labcol"": ""true"", ""features"": ""gene"", ""log10"": ""true"", ""border"": ""false"", ""genes"": [], ""__current_case__"": 7, ""type"": ""heatmap""}, ""width"": ""1280""}]",,32355922,error,toolshed.g2.bx.psu.edu/repos/devteam/cummerbund/cummeRbund/1.0.1,1.0.1,,2016-09-04 15:50:33.341994,80162.0,10715.115062
,,2016-04-06 20:52:03.671807,slurm_normal,,main_w1_handler0,2377569,12356619,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1279741952,sqlite,6561199.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",24168251,,"[{""__index__"": 0, ""height"": ""960"", ""plot"": {""log10"": ""True"", ""type"": ""boxplot"", ""replicates"": ""True"", ""__current_case__"": 3}, ""width"": ""1280""}, {""__index__"": 1, ""height"": ""960"", ""plot"": {""type"": ""pca"", ""replicates"": ""True"", ""__current_case__"": 2}, ""width"": ""1280""}, {""__index__"": 2, ""height"": ""960"", ""plot"": {""y"": ""X3A_AllSpecies"", ""x"": ""X1A_AllSpecies"", ""type"": ""volcano"", ""__current_case__"": 6, ""multiple_genes"": {""multiple_genes_selector"": ""no"", ""__current_case__"": 1}}, ""width"": ""1280""}, {""__index__"": 3, ""height"": ""960"", ""plot"": {""clustering"": ""both"", ""labrow"": ""True"", ""labcol"": ""True"", ""features"": ""gene"", ""log10"": ""True"", ""border"": ""False"", ""genes"": [], ""__current_case__"": 7, ""type"": ""heatmap""}, ""width"": ""1280""}, {""__index__"": 4, ""height"": ""960"", ""plot"": {""type"": ""dispersion"", ""__current_case__"": 10}, ""width"": ""1280""}, {""__index__"": 5, ""height"": ""960"", ""plot"": {""type"": ""fpkmSCV"", ""__current_case__"": 11}, ""width"": ""1280""}, {""__index__"": 6, ""height"": ""960"", ""plot"": {""type"": ""scatterMatrix"", ""__current_case__"": 12}, ""width"": ""1280""}, {""__index__"": 7, ""height"": ""960"", ""plot"": {""features"": ""gene"", ""k"": ""1"", ""genes"": [], ""iter_max"": ""100"", ""__current_case__"": 8, ""type"": ""cluster""}, ""width"": ""1280""}, {""__index__"": 8, ""height"": ""960"", ""plot"": {""features"": ""gene"", ""log10"": ""True"", ""gene_id"": ""XLOC_000001"", ""replicates"": ""True"", ""__current_case__"": 13, ""draw_summary"": ""True"", ""type"": ""expressionplot"", ""error_bars"": ""True""}, ""width"": ""1280""}]",,29407583,error,toolshed.g2.bx.psu.edu/repos/devteam/cummerbund/cummeRbund/1.0.1,1.0.1,,2016-04-06 21:08:18.046806,66236.0,974.3749990000001
,,2017-07-21 02:40:58.922898,slurm_normal,,main_w3_handler0,3193328,16380806,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1246264320,sqlite,10445938.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 30544348}]","[{""__index__"": 0, ""height"": ""960"", ""plot"": {""features"": ""gene"", ""k"": ""1"", ""genes"": [], ""iter_max"": ""100"", ""__current_case__"": 8, ""type"": ""cluster""}, ""width"": ""1280""}, {""__index__"": 1, ""height"": ""960"", ""plot"": {""type"": ""fpkmSCV"", ""__current_case__"": 11}, ""width"": ""1280""}, {""__index__"": 2, ""height"": ""960"", ""plot"": {""type"": ""pca"", ""replicates"": ""true"", ""__current_case__"": 2}, ""width"": ""1280""}, {""__index__"": 3, ""height"": ""960"", ""plot"": {""clustering"": ""both"", ""labrow"": ""true"", ""labcol"": ""true"", ""features"": ""gene"", ""log10"": ""true"", ""border"": ""false"", ""genes"": [], ""__current_case__"": 7, ""type"": ""heatmap""}, ""width"": ""1280""}]",,39218394,error,toolshed.g2.bx.psu.edu/repos/devteam/cummerbund/cummeRbund/1.0.1,1.0.1,,2017-07-21 03:11:53.715086,96879.0,1854.7921880000001
,,2017-07-15 14:06:31.639698,slurm_normal,,main_w4_handler1,3160941,16351574,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",698037248,sqlite,10416613.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 30090033}]","[{""__index__"": 0, ""height"": ""960"", ""plot"": {""log10"": ""true"", ""type"": ""density"", ""replicates"": ""true"", ""__current_case__"": 0}, ""width"": ""1280""}, {""__index__"": 1, ""height"": ""960"", ""plot"": {""type"": ""mds"", ""replicates"": ""true"", ""__current_case__"": 1}, ""width"": ""1280""}, {""__index__"": 2, ""height"": ""960"", ""plot"": {""type"": ""pca"", ""replicates"": ""true"", ""__current_case__"": 2}, ""width"": ""1280""}, {""__index__"": 3, ""height"": ""960"", ""plot"": {""type"": ""dendrogram"", ""replicates"": ""true"", ""__current_case__"": 4}, ""width"": ""1280""}, {""__index__"": 4, ""height"": ""960"", ""plot"": {""clustering"": ""both"", ""labrow"": ""true"", ""labcol"": ""true"", ""features"": ""gene"", ""log10"": ""true"", ""border"": ""false"", ""genes"": [], ""__current_case__"": 7, ""type"": ""heatmap""}, ""width"": ""1280""}, {""__index__"": 5, ""height"": ""960"", ""plot"": {""features"": ""gene"", ""k"": ""1"", ""genes"": [], ""iter_max"": ""100"", ""__current_case__"": 8, ""type"": ""cluster""}, ""width"": ""1280""}]",,38775806,error,toolshed.g2.bx.psu.edu/repos/devteam/cummerbund/cummeRbund/1.0.1,1.0.1,,2017-07-15 14:35:12.338319,107238.0,1720.698621
,,2017-06-12 22:51:09.688435,slurm_normal,,main_w4_handler0,2893221,16086663,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",375077888,sqlite,10172822.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 30000998}]","[{""__index__"": 0, ""height"": ""960"", ""plot"": {""type"": ""mds"", ""replicates"": ""true"", ""__current_case__"": 1}, ""width"": ""1280""}, {""__index__"": 1, ""height"": ""960"", ""plot"": {""clustering"": ""row"", ""labrow"": ""true"", ""labcol"": ""true"", ""features"": ""gene"", ""log10"": ""true"", ""border"": ""false"", ""genes"": [], ""__current_case__"": 7, ""type"": ""heatmap""}, ""width"": ""1280""}]",,38607766,error,toolshed.g2.bx.psu.edu/repos/devteam/cummerbund/cummeRbund/1.0.1,1.0.1,,2017-06-13 01:13:27.697019,8768.0,8538.008584000001
,,2017-11-10 19:42:19.781650,slurm_normal_16gb,,main_w4_handler1,2819185,17414382,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",636360704,sqlite,11476289,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 32176158}]","[{""__index__"": 0, ""height"": ""960"", ""plot"": {""type"": ""pca"", ""replicates"": ""true"", ""__current_case__"": 2}, ""width"": ""1280""}, {""__index__"": 1, ""height"": ""960"", ""plot"": {""clustering"": ""both"", ""labrow"": ""true"", ""labcol"": ""true"", ""features"": ""gene"", ""log10"": ""true"", ""border"": ""false"", ""genes"": [], ""__current_case__"": 7, ""type"": ""heatmap""}, ""width"": ""1280""}]",,41792407,error,toolshed.g2.bx.psu.edu/repos/devteam/cummerbund/cummeRbund/1.0.1,1.0.1,,2017-11-10 20:16:56.697809,90117.0,2076.9161590000003
,,2016-02-24 13:20:16.492848,slurm_normal,,main_w1_handler1,2609486,11928788,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1029740544,sqlite,6157328.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",23474627,,"[{""__index__"": 0, ""height"": ""960"", ""plot"": {""clustering"": ""both"", ""labrow"": ""True"", ""labcol"": ""True"", ""features"": ""gene"", ""log10"": ""True"", ""border"": ""False"", ""genes"": [], ""__current_case__"": 7, ""type"": ""heatmap""}, ""width"": ""1280""}]",,28418020,error,toolshed.g2.bx.psu.edu/repos/devteam/cummerbund/cummeRbund/1.0.1,1.0.1,,2016-02-24 15:36:12.091164,78701.0,8155.5983160000005
,,2017-06-14 10:08:27.374562,slurm_normal,,main_w3_handler1,3154367,16098201,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",222342144,sqlite,10183249.roundup,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/danRer10.len""","""danRer10""",,"[{'src': 'hda', 'id': 30021593}]","[{""__index__"": 0, ""height"": ""960"", ""plot"": {""clustering"": ""both"", ""labrow"": ""true"", ""labcol"": ""true"", ""features"": ""isoforms"", ""log10"": ""true"", ""border"": ""false"", ""genes"": [], ""__current_case__"": 7, ""type"": ""heatmap""}, ""width"": ""1280""}]",,38440355,error,toolshed.g2.bx.psu.edu/repos/devteam/cummerbund/cummeRbund/1.0.1,1.0.1,,2017-06-14 10:27:12.001443,106675.0,1124.6268810000001
,,2016-12-16 18:19:47.672455,slurm_normal,,main_w3_handler0,2929118,14595332,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9448813568,sqlite,8773893.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 27650211}]","[{""__index__"": 0, ""height"": ""960"", ""plot"": {""clustering"": ""both"", ""labrow"": ""true"", ""labcol"": ""true"", ""features"": ""tss"", ""log10"": ""true"", ""border"": ""false"", ""genes"": [], ""__current_case__"": 7, ""type"": ""heatmap""}, ""width"": ""1280""}, {""__index__"": 1, ""height"": ""960"", ""plot"": {""clustering"": ""both"", ""labrow"": ""true"", ""labcol"": ""true"", ""features"": ""cds"", ""log10"": ""true"", ""border"": ""false"", ""genes"": [], ""__current_case__"": 7, ""type"": ""heatmap""}, ""width"": ""1280""}, {""__index__"": 2, ""height"": ""960"", ""plot"": {""type"": ""dendrogram"", ""replicates"": ""false"", ""__current_case__"": 4}, ""width"": ""1280""}]",,34896255,error,toolshed.g2.bx.psu.edu/repos/devteam/cummerbund/cummeRbund/1.0.1,1.0.1,,2016-12-16 18:46:38.439898,96837.0,1610.7674430000002
