create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_bam,input_bam_filetype,input_recal,input_recal_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.analysis_param_type.__current_case__,parameters.analysis_param_type.analysis_param_type_selector,parameters.chromInfo,parameters.dbkey,parameters.gatk_param_type.__current_case__,parameters.gatk_param_type.gatk_param_type_selector,parameters.input_recal,parameters.input_recal.values,parameters.reference_source.__current_case__,parameters.reference_source.input_bam,parameters.reference_source.input_bam.values,parameters.reference_source.ref_file,parameters.reference_source.reference_source_selector,ref_file,ref_file_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-03-17 09:22:22.584756,slurm_normal_16gb,,main_w4_handler1,3034079,15322451,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",401724669,bam,120175361,csv,9463385.roundup,slurm,,corral-repl,,,0,basic,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",0,basic,,"[{'src': 'hda', 'id': 28802228}]",0,,"[{'src': 'hda', 'id': 28784422}]",hg_g1k_v37,cached,,,,36659124,error,toolshed.g2.bx.psu.edu/repos/devteam/table_recalibration/gatk_table_recalibration/0.0.5,0.0.5,,2017-03-17 09:37:44.914370,102195,922.3296140000001
2017-03-16 15:31:48.171786,slurm_normal_16gb,,main_w4_handler0,3034079,15314778,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",401724669,bam,120175361,csv,9456405.roundup,slurm,,corral-repl,,,0,basic,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",0,basic,,"[{'src': 'hda', 'id': 28784464}]",0,,"[{'src': 'hda', 'id': 28784422}]",hg_g1k_v37,cached,,,,36659124,error,toolshed.g2.bx.psu.edu/repos/devteam/table_recalibration/gatk_table_recalibration/0.0.5,0.0.5,,2017-03-16 16:44:00.086937,102195,4331.915151
2014-11-15 20:38:11.242775,rodeo_normal,,main_w1_handler1,2119479,8175807,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5744213943,bam,609272,csv,2023461.roundup,slurm,,corral-repl,,,0,basic,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",0,basic,17555999,,0,17555510.0,,hg_g1k_v37,cached,,,,18568067,error,toolshed.g2.bx.psu.edu/repos/devteam/table_recalibration/gatk_table_recalibration/0.0.5,0.0.5,,2014-11-15 20:40:48.550628,50404,157.30785300000002
2017-03-17 08:56:39.613233,slurm_normal_16gb,,main_w3_handler1,3034079,15322188,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",401724669,bam,120175361,csv,9463045.roundup,slurm,,corral-repl,,,0,basic,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",0,basic,,"[{'src': 'hda', 'id': 28784464}]",0,,"[{'src': 'hda', 'id': 28784422}]",hg_g1k_v37,cached,,,,36659124,error,toolshed.g2.bx.psu.edu/repos/devteam/table_recalibration/gatk_table_recalibration/0.0.5,0.0.5,,2017-03-17 09:10:45.666920,102195,846.0536870000001
2017-03-16 12:56:12.889675,slurm_normal_16gb,,main_w3_handler1,3034079,15312489,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",401724669,bam,120175361,csv,9455177.roundup,slurm,,corral-repl,,,0,basic,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",0,basic,,"[{'src': 'hda', 'id': 28784464}]",0,,"[{'src': 'hda', 'id': 28784422}]",hg_g1k_v37,cached,,,,36659124,error,toolshed.g2.bx.psu.edu/repos/devteam/table_recalibration/gatk_table_recalibration/0.0.5,0.0.5,,2017-03-16 14:32:43.414711,102195,5790.525036
2017-03-16 14:42:53.269469,slurm_normal_16gb,,main_w3_handler0,3034079,15314107,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",401724669,bam,120175361,csv,9455757.roundup,slurm,,corral-repl,,,0,basic,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",0,basic,,"[{'src': 'hda', 'id': 28784464}]",0,,"[{'src': 'hda', 'id': 28784422}]",hg_g1k_v37,cached,,,,36659124,error,toolshed.g2.bx.psu.edu/repos/devteam/table_recalibration/gatk_table_recalibration/0.0.5,0.0.5,,2017-03-16 15:07:51.415091,102195,1498.145622
2014-11-14 06:44:26.176024,rodeo_normal,,main_w1_handler0,2082755,8165964,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6253809440,bam,3445009,csv,2011040.roundup,slurm,,corral-repl,,"""ab3d69b06bc911e4ad3e005056a52a46""",0,basic,"""/galaxy-repl/main/files/009/304/dataset_9304384.dat""","""IRGSP-1.0""",0,basic,17540124,,1,17539503.0,,17202389,history,379466370.0,fasta,,18124944,error,toolshed.g2.bx.psu.edu/repos/devteam/table_recalibration/gatk_table_recalibration/0.0.5,0.0.5,,2014-11-14 09:02:39.491387,49852,8293.315363
2014-11-14 14:22:14.219889,rodeo_normal,,main_w1_handler1,2066037,8167389,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5916773051,bam,1854232,csv,2013153.roundup,slurm,,corral-repl,,,0,basic,"""/galaxy-repl/main/files/007/434/dataset_7434654.dat""","""canfam3""",0,basic,17487591,,1,17412197.0,,17040164,history,2459258986.0,fasta,,17194710,error,toolshed.g2.bx.psu.edu/repos/devteam/table_recalibration/gatk_table_recalibration/0.0.5,0.0.5,,2014-11-14 15:27:05.291124,25939,3891.0712350000003
2017-03-17 08:23:13.756904,slurm_normal_16gb,,main_w3_handler0,3034079,15321848,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",373229197,bam,124498090,csv,9462808.roundup,slurm,,corral-repl,,,0,basic,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",0,basic,,"[{'src': 'hda', 'id': 28784483}]",0,,"[{'src': 'hda', 'id': 28784449}]",hg_g1k_v37,cached,,,,36659124,error,toolshed.g2.bx.psu.edu/repos/devteam/table_recalibration/gatk_table_recalibration/0.0.5,0.0.5,,2017-03-17 08:36:21.138301,102195,787.381397
2017-03-17 14:06:08.117474,slurm_normal_16gb,,main_w4_handler0,3034079,15324642,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",401724669,bam,120175361,csv,9465490.roundup,slurm,,corral-repl,,,0,basic,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",0,basic,,"[{'src': 'hda', 'id': 28802228}]",0,,"[{'src': 'hda', 'id': 28784422}]",hg_g1k_v37,cached,,,,36659124,error,toolshed.g2.bx.psu.edu/repos/devteam/table_recalibration/gatk_table_recalibration/0.0.5,0.0.5,,2017-03-17 14:20:50.225943,102195,882.108469
