create_time,destination_id,exit_code,handler,history_id,id,imported,infile_control_cond1,infile_control_cond1_filetype,infile_control_cond2,infile_control_cond2_filetype,infile_pileup_cond1,infile_pileup_cond1_filetype,infile_pileup_cond2,infile_pileup_cond2_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.cutoff,parameters.dbkey,parameters.depth1,parameters.depth2,parameters.infile_control_cond1,parameters.infile_control_cond1.values,parameters.infile_control_cond2,parameters.infile_control_cond2.values,parameters.infile_pileup_cond1,parameters.infile_pileup_cond1.values,parameters.infile_pileup_cond2,parameters.infile_pileup_cond2.values,parameters.maxgap,parameters.minlen,parameters.outputs,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-06-11 23:07:29.404917,slurm_normal,,main_w2_handler0,2598507,13140473,False,2452014577,bedgraph,2367772726,bedgraph,3393140001,bedgraph,3318746396,bedgraph,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7325321.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""1.0""","""mm10""","""44""","""56""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b568c62d3d3fdc74f8'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5070c55bdfb2ef54a'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b501d94125b8ca8213'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5bc911ef75de6d121'}]","""50""","""100""","[""--ofile-cond1"", ""--ofile-cond2"", ""--ofile-both-conditions""]",,30794896,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20151222.0,2.1.0.20151222.0,,2016-06-11 23:23:41.866208,11728,972.4612910000001
2017-06-29 17:34:59.467041,slurm_normal,,main_w4_handler1,3148470,16225020,False,3044204186,bedgraph,2585958308,bedgraph,2883342461,bedgraph,2695207808,bedgraph,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10301001.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""1.0""","""?""","""46407514""","""43370013""",,"[{'src': 'hda', 'id': 30236829}]",,"[{'src': 'hda', 'id': 30226660}]",,"[{'src': 'hda', 'id': 30236828}]",,"[{'src': 'hda', 'id': 30226659}]","""100""","""200""","[""--ofile-cond1"", ""--ofile-cond2"", ""--ofile-both-conditions""]",,38978381,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20151222.0,2.1.0.20151222.0,,2017-06-29 17:56:40.142389,106954,1300.675348
2016-11-15 10:00:16.788817,slurm_normal,,main_w4_handler1,2890574,14342943,False,3542556473,bedgraph,2855485830,bedgraph,4794027338,bedgraph,4510905855,bedgraph,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8549154.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""1.0""","""hg38""","""1""","""1""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53a53d9cbd3fa642f'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a61ee16c97632aab'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c63fbcfd41cc4df5'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d7d41326b33d662a'}]","""100""","""50""","[""--ofile-cond1"", ""--ofile-cond2"", ""--ofile-both-conditions""]",,34242378,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20151222.0,2.1.0.20151222.0,,2016-11-15 10:29:29.391890,94427,1752.6030730000002
2016-07-29 19:14:19.551410,slurm_normal,,main_w2_handler0,2704671,13526523,False,2060499042,bedgraph,2071236113,bedgraph,3570143179,bedgraph,4193377225,bedgraph,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7741777.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""0.2""","""mm10""","""1""","""1""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5bcd4b02d58d1b5c7'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56679ee2d5f2a8231'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54ddb1ebacbcf717b'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53f14cc205924ef3f'}]","""25""","""50""","[""--ofile-cond1"", ""--ofile-cond2"", ""--ofile-both-conditions""]",,30171572,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20151222.0,2.1.0.20151222.0,,2016-07-29 19:37:01.736943,84275,1362.185533
2017-02-27 15:09:49.565215,slurm_normal,,main_w3_handler1,2914279,15155119,False,2327351913,bedgraph,2845490763,bedgraph,4087096244,bedgraph,1847173914,bedgraph,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9307181.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""1.0""","""mm9""","""1""","""1""",,"[{'src': 'hda', 'id': 28533560}]",,"[{'src': 'hda', 'id': 28533546}]",,"[{'src': 'hda', 'id': 28533559}]",,"[{'src': 'hda', 'id': 28533545}]","""100""","""200""","[""--ofile-cond1"", ""--ofile-cond2"", ""--ofile-both-conditions""]",,34511934,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20151222.0,2.1.0.20151222.0,,2017-02-27 15:50:10.719119,74245,2421.1539040000002
2016-12-09 08:05:53.384269,slurm_normal,,main_w3_handler1,2922985,14526927,False,4848354367,bedgraph,5177909416,bedgraph,5445223852,bedgraph,5254291409,bedgraph,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8709517.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""1.0""","""hg19""","""1""","""1""",,"[{'src': 'hda', 'id': 27538949}]",,"[{'src': 'hda', 'id': 27538947}]",,"[{'src': 'hda', 'id': 27538950}]",,"[{'src': 'hda', 'id': 27538948}]","""100""","""200""","[""--ofile-cond1""]",,34562445,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20151222.0,2.1.0.20151222.0,,2016-12-09 08:25:59.725469,90306,1206.3412
2016-11-15 18:45:54.564178,slurm_normal,,main_w3_handler1,2890574,14347437,False,3542556473,bedgraph,2855485830,bedgraph,4794027338,bedgraph,4510905855,bedgraph,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8553556.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""1.0""","""hg38""","""1""","""1""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53a53d9cbd3fa642f'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a61ee16c97632aab'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c63fbcfd41cc4df5'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d7d41326b33d662a'}]","""100""","""200""","[""--ofile-cond1"", ""--ofile-both-conditions""]",,34186490,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20151222.0,2.1.0.20151222.0,,2016-11-15 19:13:59.449092,94427,1684.8849140000002
2016-09-28 12:26:55.570124,slurm_normal,,main_w4_handler1,2734446,13964792,False,4514039519,bedgraph,4526758814,bedgraph,1235535422,bedgraph,1257452188,bedgraph,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8184120.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""1.0""","""?""","""1""","""1""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b3ac2df3c298421f'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f261ab9668bb5c27'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57bbb219e81dd07ec'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c9ca8bea88a9b208'}]","""100""","""200""","[""--ofile-cond2""]",,33241300,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20151222.0,2.1.0.20151222.0,,2016-09-28 13:26:25.364473,66211,3569.7943490000002
2016-11-07 18:35:56.060691,slurm_normal,,main_w3_handler1,2704671,14276901,False,1934547054,bedgraph,2085673417,bedgraph,3961393776,bedgraph,3569717283,bedgraph,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8485249.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""0.1""","""?""","""1""","""1""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b538ac30aa82bde065'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53442027656ef011b'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52e25f401c7f15738'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51110451fa0889bf5'}]","""100""","""100""","[""--ofile-cond1""]",,32113529,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20151222.0,2.1.0.20151222.0,,2016-11-07 19:24:54.889409,84275,2938.828718
2017-06-29 23:02:26.209799,slurm_normal,,main_w3_handler1,3148470,16226877,False,3044204186,bedgraph,2585958308,bedgraph,2883342461,bedgraph,2695207808,bedgraph,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10302919.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""1.0""","""?""","""1""","""1""",,"[{'src': 'hda', 'id': 30236829}]",,"[{'src': 'hda', 'id': 30226660}]",,"[{'src': 'hda', 'id': 30236828}]",,"[{'src': 'hda', 'id': 30226659}]","""100""","""200""","[""--ofile-cond1"", ""--ofile-cond2"", ""--ofile-both-conditions""]",,38978381,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20151222.0,2.1.0.20151222.0,,2017-06-29 23:27:05.065746,106954,1478.855947
