bias_correction|ref_file,bias_correction|ref_file_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,mask_file,mask_file_filetype,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.advanced_settings.__current_case__,parameters.advanced_settings.inner_dist_std_dev,parameters.advanced_settings.inner_mean_dist,parameters.advanced_settings.junc_alpha,parameters.advanced_settings.library_type,parameters.advanced_settings.mask_file,parameters.advanced_settings.max_bundle_frags,parameters.advanced_settings.max_bundle_length,parameters.advanced_settings.max_mle_iterations,parameters.advanced_settings.min_intron_length,parameters.advanced_settings.overhang_tolerance,parameters.advanced_settings.small_anchor_fraction,parameters.advanced_settings.trim_three_avgcov_thresh,parameters.advanced_settings.trim_three_dropoff_frac,parameters.advanced_settings.use_advanced_settings,parameters.bias_correction.__current_case__,parameters.bias_correction.do_bias_correction,parameters.bias_correction.seq_source.__current_case__,parameters.bias_correction.seq_source.index,parameters.bias_correction.seq_source.index_source,parameters.bias_correction.seq_source.ref_file,parameters.bias_correction.seq_source.ref_file.values,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.input.values,parameters.length_correction,parameters.max_intron_len,parameters.min_isoform_fraction,parameters.multiread_correct,parameters.pre_mrna_fraction,parameters.reference_annotation.__current_case__,parameters.reference_annotation.compatible_hits_norm,parameters.reference_annotation.intron_overhang_tolerance,parameters.reference_annotation.no_faux_reads,parameters.reference_annotation.reference_annotation_file,parameters.reference_annotation.reference_annotation_file.values,parameters.reference_annotation.reference_annotation_guide_file,parameters.reference_annotation.reference_annotation_guide_file.values,parameters.reference_annotation.three_overhang_tolerance,parameters.reference_annotation.use_ref,ref_file,ref_file_filetype,reference_annotation_file,reference_annotation_file_filetype,reference_annotation_guide_file,reference_annotation_guide_file_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,,,2015-11-20 17:35:20.311634,slurm_multi_dynamic_walltime,,main_w2_handler2,2496397,10964192,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8015831075,bam,5226051,slurm,,,,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,,No,1,No,,,,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",22067400,,"""""","""300000""","""0.1""","""No""","""0.15""",0,,,,,,,,,No,,,,,,,,25946416.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/2.2.1.0,2.2.1.0,,2015-11-21 01:34:47.776260,72235,28767.464626
871146350.0,fasta,,,2017-06-20 21:29:06.530280,slurm_multi_dynamic_walltime,,main_w4_handler2,3141234,16148029,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5051479324,bam,10227795,slurm,,,,corral-repl,,0,no,,,,,,,,,,,,,,,,,,0,Yes,1.0,,history,,"[{'src': 'hda', 'id': 29917828}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 30102992}]","""""","""300000""","""0.1""","""Yes""","""0.15""",2,,50,,,,,"[{'src': 'hda', 'id': 29938834}]",600,Use reference annotation guide,,,,,311075043.0,gff3,,38780775.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/2.2.1.0,2.2.1.0,,2017-06-21 18:09:52.435142,107146,74445.90486200001
,,,,2017-07-14 15:06:11.973088,slurm_multi_dynamic_walltime,,main_w4_handler2,3191571,16345943,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8550291712,bam,10411502,slurm,,,,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,,No,1,No,,,,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 30470438}]","""""","""300000""","""0.1""","""No""","""0.15""",2,,50,,,,,"[{'src': 'hda', 'id': 30470843}]",600,Use reference annotation guide,,,,,401706329.0,gtf,,39304691.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/2.2.1.0,2.2.1.0,,2017-07-15 01:48:06.095088,99095,38514.122
,,,,2017-08-16 20:44:43.266587,slurm_multi_dynamic_walltime,,main_w3_handler2,3208272,16597095,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",587547131,bam,10669593,slurm,,,,corral-repl,,0,no,,,,,,,,,,,,,,,,,,0,Yes,0.0,hg38,cached,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 30888077}]","""""","""300000""","""0.1""","""No""","""0.15""",1,,,,,"[{'src': 'hda', 'id': 30883682}]",,,,Use reference annotation,,,1248409563.0,gtf,,,,39896244.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/2.2.1.0,2.2.1.0,,2017-08-16 22:49:48.352470,108975,7505.085883000001
,,,,2018-03-08 15:20:10.131544,slurm_multi,,main_w4_handler2,3292456,18658658,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1985324318,bam,12754643,slurm,,,,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,,No,1,No,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 34293837}]","""""","""300000""","""0.1""","""No""","""0.15""",2,,50,,,,,"[{'src': 'hda', 'id': 31758145}]",600,Use reference annotation guide,,,,,30554516.0,gtf,,44474833.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/2.2.1.0,2.2.1.0,,2018-03-08 22:11:54.916833,113287,24704.785289000003
,,,,2015-07-12 20:40:06.091697,slurm_multi_dynamic_walltime,,main_w2_handler2,2018204,9845050,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2739308875,bam,4145469,slurm,,,,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,,No,1,No,,,,,,"""/galaxy-repl/localdata/chrom/rn5.len""","""rn5""",20256337,,"""""","""600000""","""0.1""","""Yes""","""0.15""",2,,50,,,,19767155.0,,600,Use reference annotation guide,,,,,65899846.0,gtf,,23253688.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/2.2.1.0,2.2.1.0,,2015-07-13 13:04:01.334880,36816,59035.243183000006
,,,,2015-06-09 15:32:27.139074,slurm_multi_dynamic_walltime,,main_w2_handler2,1598828,9620424,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1388929521,bam,3931974,slurm,,,,corral-repl,,0,no,,,,,,,,,,,,,,,,,,0,Yes,0.0,hg38,cached,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",19888016,,"""""","""300000""","""0.1""","""Yes""","""0.15""",1,,,,12525600.0,,,,,Use reference annotation,,,236408829.0,gtf,,,,23455337.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/2.2.1.0,2.2.1.0,,2015-06-09 15:49:14.001898,38947,1006.862824
,,,,2015-12-05 22:15:38.727860,slurm_multi_dynamic_walltime,,main_w2_handler2,2528830,11098706,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",16156554371,bam,5357189,slurm,,,,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,,No,1,No,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",22313583,,"""""","""300000""","""0.1""","""No""","""0.15""",2,,50,,,,22313684.0,,600,Use reference annotation guide,,,,,384529435.0,gtf,,26602315.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/2.2.1.0,2.2.1.0,,2015-12-05 23:59:40.044591,74790,6241.316731000001
,,,,2016-06-19 10:50:15.112131,slurm_multi_dynamic_walltime,,main_w1_handler2,2715675,13203041,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2906144329,bam,7388647,slurm,,,,corral-repl,,1,yes,slurm_multi,,,,,,,,,,,,,,,,,1,No,,,,,,"""/galaxy-repl/localdata/chrom/rn6.len""","""rn6""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b556c0da44de2cf3ee'}]","""""","""600000""","""0.05""","""Yes""","""0.1""",2,,20,,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51984d5f87a945671'}]",600,Use reference annotation guide,,,,,78934032.0,gtf,,30043145.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/2.2.1.0,2.2.1.0,,2016-06-19 19:31:43.499722,36816,31288.387591000002
,,,,2016-06-19 10:50:19.679851,slurm_multi_dynamic_walltime,,main_w1_handler2,2715675,13203048,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3218843414,bam,7391119,slurm,,,,corral-repl,,1,yes,slurm_multi,,,,,,,,,,,,,,,,,1,No,,,,,,"""/galaxy-repl/localdata/chrom/rn6.len""","""rn6""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b532a1a17df2d3730c'}]","""""","""600000""","""0.05""","""Yes""","""0.1""",2,,20,,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51984d5f87a945671'}]",600,Use reference annotation guide,,,,,78934032.0,gtf,,30043145.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/2.2.1.0,2.2.1.0,,2016-06-20 05:57:56.358037,36816,68856.678186
