create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,matrixFile,matrixFile_filetype,object_store_id,param_filename,parameters.advancedOpt.__current_case__,parameters.advancedOpt.averageTypeSummaryPlot,parameters.advancedOpt.colorMap,parameters.advancedOpt.endLabel,parameters.advancedOpt.heatmapHeight,parameters.advancedOpt.heatmapWidth,parameters.advancedOpt.missingDataColor,parameters.advancedOpt.perGroup,parameters.advancedOpt.plotTitle,parameters.advancedOpt.referencePointLabel,parameters.advancedOpt.regionsLabel,parameters.advancedOpt.samplesLabel,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.sortRegions,parameters.advancedOpt.sortUsing,parameters.advancedOpt.startLabel,parameters.advancedOpt.used_multiple_regions.__current_case__,parameters.advancedOpt.used_multiple_regions.clustering.__current_case__,parameters.advancedOpt.used_multiple_regions.clustering.clustering_options,parameters.advancedOpt.used_multiple_regions.clustering.k_kmeans,parameters.advancedOpt.used_multiple_regions.clustering.n_hclust,parameters.advancedOpt.used_multiple_regions.used_multiple_regions_options,parameters.advancedOpt.whatToShow,parameters.advancedOpt.xAxisLabel,parameters.advancedOpt.yAxisLabel,parameters.advancedOpt.yMax,parameters.advancedOpt.yMin,parameters.advancedOpt.zMax,parameters.advancedOpt.zMin,parameters.chromInfo,parameters.dbkey,parameters.matrixFile,parameters.matrixFile.values,parameters.output.__current_case__,parameters.output.outFileFormat,parameters.output.saveMatrix,parameters.output.saveSortedRegions,parameters.output.showOutputSettings,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-05-01 21:38:47.778099,slurm_normal,,main_w1_handler0,2691194,12717349,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6922731.roundup,slurm,,37620648,deeptools_compute_matrix_archive,corral-repl,,0,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b549be9703930b8fa7'}]",0,,,,no,,29978486,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.2.2.0,2.2.2.0,,2016-05-01 23:17:18.953972,82896,5911.175873
2016-03-31 20:37:18.066887,slurm_normal,,main_w1_handler1,1639242,12304621,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6512682.roundup,slurm,,25826994,deeptools_compute_matrix_archive,corral-repl,,0,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24087508,,1,pdf,False,False,yes,,28626146,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.2.2.0,2.2.2.0,,2016-03-31 20:40:31.020339,31997,192.953452
2017-07-13 14:45:25.557985,slurm_normal,,main_w4_handler0,3190982,16332397,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10399044.roundup,slurm,,66340442,deeptools_compute_matrix_archive,corral-repl,,0,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",,"[{'src': 'hda', 'id': 30464335}]",0,,,,no,,38837274,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.2.2.0,2.2.2.0,,2017-07-13 14:50:38.977476,38813,313.419491
2016-04-03 22:59:55.682849,slurm_normal,,main_w2_handler0,2502735,12329038,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6535347.roundup,slurm,,30805872,deeptools_compute_matrix_archive,corral-repl,,1,mean,RdYlBu,TES,25.0,7.5,black,False,,TSS,,,yes,descend,mean,TSS,0.0,1.0,hclust,,3,no,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24128635,,0,,,,no,,28797629,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.2.2.0,2.2.2.0,,2016-04-03 23:05:24.390482,55649,328.70763300000004
2016-03-29 10:40:49.752926,slurm_normal,,main_w1_handler0,1639242,12270873,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6479307.roundup,slurm,,169860716,deeptools_compute_matrix_archive,corral-repl,,0,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24035571,,0,,,,no,,29080759,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.2.2.0,2.2.2.0,,2016-03-29 10:44:50.128130,31997,240.37520400000002
2016-04-30 00:55:24.365805,slurm_normal,,main_w2_handler1,2679206,12694823,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6897659.roundup,slurm,,57619822,deeptools_compute_matrix_archive,corral-repl,,1,mean,Blues,TES,25.0,7.5,white,false,,TSS,,,yes,descend,mean,TSS,1.0,,,,,yes,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b563818d62a97db4c7'}]",0,,,,no,,29183917,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.2.2.0,2.2.2.0,,2016-04-30 00:59:25.111440,81363,240.74563500000002
2016-04-10 18:57:47.807751,slurm_normal,,main_w2_handler1,2502735,12410742,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6610405.roundup,slurm,,29950646,deeptools_compute_matrix_archive,corral-repl,,1,mean,RdYlBu,TES,25.0,7.5,black,False,,TSS,,,yes,descend,mean,TSS,0.0,1.0,hclust,,3,no,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24244960,,0,,,,no,,28747253,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.2.2.0,2.2.2.0,,2016-04-10 19:41:43.196848,55649,2635.389097
2016-03-31 14:54:17.140425,slurm_normal,,main_w1_handler2,2652350,12300971,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6508419.roundup,slurm,,59268782,deeptools_compute_matrix_archive,corral-repl,,1,mean,Reds,TES,25.0,7.5,black,False,,TSS,,,yes,descend,mean,TSS,0.0,0.0,kmeans,2,,no,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24081191,,0,,,,no,,28375977,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.2.2.0,2.2.2.0,,2016-03-31 15:13:36.934734,64236,1159.794309
2016-05-02 00:18:35.179427,slurm_normal,,main_w1_handler2,2691194,12718009,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6923546.roundup,slurm,,37620648,deeptools_compute_matrix_archive,corral-repl,,1,mean,RdYlBu,TES,25.0,7.5,black,false,,TSS,,,yes,descend,mean,TSS,1.0,,,,,yes,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b549be9703930b8fa7'}]",1,png,false,false,yes,,29978486,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.2.2.0,2.2.2.0,,2016-05-02 00:23:10.658684,82896,275.479257
2016-03-31 14:17:19.527060,slurm_normal,,main_w2_handler1,2652350,12300216,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6508178.roundup,slurm,,69100291,deeptools_compute_matrix_archive,corral-repl,,1,mean,Reds,TES,25.0,7.5,black,True,,TSS,,,yes,descend,mean,TSS,0.0,0.0,kmeans,2,,no,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24081182,,0,,,,no,,28375977,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.2.2.0,2.2.2.0,,2016-03-31 14:51:24.764506,64236,2045.237446
