create_time,destination_id,exit_code,fastq_input1,fastq_input1_filetype,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.analysis_type.__current_case__,parameters.analysis_type.analysis_type_selector,parameters.chromInfo,parameters.dbkey,parameters.input_type.__current_case__,parameters.input_type.adv_se_options.__current_case__,parameters.input_type.adv_se_options.adv_se_options_selector,parameters.input_type.fastq_input1,parameters.input_type.input_type_selector,parameters.reference_source.__current_case__,parameters.reference_source.index_a,parameters.reference_source.ref_file,parameters.reference_source.reference_source_selector,parameters.rg.__current_case__,parameters.rg.rg_selector,ref_file,ref_file_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-03-23 01:23:19.035333,slurm_multi_dynamic_walltime,,49,fastqsanger,main_w2_handler2,2643377,12231616,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6446975,slurm,,corral-repl,,0,no,0,illumina,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",2,1,do_not_set,23983901,single,1,auto,23983890,history,3,do_not_set,9981003288,fasta,,29028005,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa/0.7.12.1,0.7.12.1,,2016-03-23 08:10:49.259983,75684,24450.22465
2016-03-21 22:20:42.364157,slurm_multi_dynamic_walltime,,51,fastqsanger,main_w2_handler2,2641949,12220838,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6433898,slurm,,corral-repl,,0,no,0,illumina,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",2,1,do_not_set,23967719,single,1,auto,23967710,history,3,do_not_set,11696855357,fasta,,29028005,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa/0.7.12.1,0.7.12.1,,2016-03-22 03:07:25.978324,75684,17203.614167
2016-03-21 16:00:27.567964,slurm_multi_dynamic_walltime,,53,fastqsanger,main_w2_handler2,2640550,12217895,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6428517,slurm,,corral-repl,,0,no,0,illumina,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",2,1,do_not_set,23944402,single,1,auto,23943630,history,3,do_not_set,10866049346,fasta,,29028005,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa/0.7.12.1,0.7.12.1,,2016-03-21 18:07:22.413087,75684,7614.845123
2016-03-24 02:50:17.352093,slurm_multi_dynamic_walltime,,53,fastqsanger,main_w2_handler2,2643377,12240846,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6454528,slurm,,corral-repl,,0,no,0,illumina,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",2,1,do_not_set,23983897,single,1,auto,23983890,history,3,do_not_set,9981003288,fasta,,29028005,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa/0.7.12.1,0.7.12.1,,2016-03-24 09:58:58.117908,75684,25720.765815000002
2016-03-22 21:00:15.996449,slurm_multi_dynamic_walltime,,53,fastqsanger,main_w2_handler2,2643377,12230511,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6444797,slurm,,corral-repl,,0,no,0,illumina,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",2,1,do_not_set,23983894,single,1,auto,23983890,history,3,do_not_set,9981003288,fasta,,29028005,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa/0.7.12.1,0.7.12.1,,2016-03-22 23:20:42.345652,75684,8426.349203
2016-03-21 16:21:16.986200,slurm_multi_dynamic_walltime,,52,fastqsanger,main_w2_handler2,2640552,12218107,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6430081,slurm,,corral-repl,,0,no,0,illumina,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",2,1,do_not_set,23944398,single,1,auto,23943615,history,3,do_not_set,11696855357,fasta,,29028005,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa/0.7.12.1,0.7.12.1,,2016-03-21 20:21:18.796415,75684,14401.810215000001
2016-03-23 01:23:18.199913,slurm_multi_dynamic_walltime,,53,fastqsanger,main_w2_handler2,2643377,12231614,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6446898,slurm,,corral-repl,,0,no,0,illumina,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",2,1,do_not_set,23983899,single,1,auto,23983890,history,3,do_not_set,9981003288,fasta,,29028005,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa/0.7.12.1,0.7.12.1,,2016-03-23 07:51:18.381129,75684,23280.181216
2016-03-23 01:23:17.250020,slurm_multi_dynamic_walltime,,53,fastqsanger,main_w2_handler2,2643377,12231612,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6446436,slurm,,corral-repl,,0,no,0,illumina,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",2,1,do_not_set,23983897,single,1,auto,23983890,history,3,do_not_set,9981003288,fasta,,29028005,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa/0.7.12.1,0.7.12.1,,2016-03-23 05:49:10.041718,75684,15952.791698
2016-03-24 02:50:15.115176,slurm_multi_dynamic_walltime,,53,fastqsanger,main_w2_handler2,2643377,12240843,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6454086,slurm,,corral-repl,,0,no,0,illumina,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",2,1,do_not_set,23983894,single,1,auto,23983890,history,3,do_not_set,9981003288,fasta,,29028005,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa/0.7.12.1,0.7.12.1,,2016-03-24 07:19:00.983733,75684,16125.868557000002
2016-03-21 16:21:17.372916,slurm_multi_dynamic_walltime,,53,fastqsanger,main_w2_handler2,2640552,12218108,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6430105,slurm,,corral-repl,,0,no,0,illumina,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",2,1,do_not_set,23944401,single,1,auto,23943615,history,3,do_not_set,11696855357,fasta,,29028005,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa/0.7.12.1,0.7.12.1,,2016-03-21 20:32:00.015978,75684,15042.643062000001
