bamInput,bamInput_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.advancedOpt.MNase,parameters.advancedOpt.__current_case__,parameters.advancedOpt.centerReads,parameters.advancedOpt.doExtendCustom.__current_case__,parameters.advancedOpt.doExtendCustom.doExtend,parameters.advancedOpt.filterRNAstrand,parameters.advancedOpt.ignoreDuplicates,parameters.advancedOpt.ignoreForNormalization,parameters.advancedOpt.minMappingQuality,parameters.advancedOpt.samFlagExclude,parameters.advancedOpt.samFlagInclude,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.skipNAs,parameters.advancedOpt.smoothLength,parameters.bamInput,parameters.bamInput.values,parameters.binSize,parameters.chromInfo,parameters.dbkey,parameters.outFileFormat,parameters.region,parameters.scaling.__current_case__,parameters.scaling.effectiveGenomeSize.__current_case__,parameters.scaling.effectiveGenomeSize.effectiveGenomeSize_opt,parameters.scaling.scaleFactor,parameters.scaling.type,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
4584694103,bam,2016-05-09 06:32:08.947445,slurm_normal,,main_w2_handler1,2697685,12828224,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7029202.roundup,slurm,,corral-repl,,,0,,,,,,,,,,no,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5165f9f702fbec542'}]","""50""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""bigwig""","""""",2,1.0,2150570000,1.0,1x,,28673878,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.2.0,2.2.2.0,,2016-05-09 06:56:35.158973,79463,1466.211528
4584264448,bam,2016-05-11 08:16:52.546520,slurm_normal,,main_w2_handler0,2697685,12853198,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7053617.roundup,slurm,,corral-repl,,,0,,,,,,,,,,no,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58d65ce27d315343a'}]","""50""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""bigwig""","""""",2,1.0,2150570000,1.0,1x,,30154784,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.2.0,2.2.2.0,,2016-05-11 08:39:37.699874,79463,1365.153354
9519356336,bam,2016-04-07 17:21:31.230854,slurm_normal,,main_w2_handler0,2551023,12366978,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6570309.roundup,slurm,,corral-repl,,False,1,False,0.0,no,no,False,,1,,,yes,False,,24160150,,"""50""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""bigwig""","""""",2,2.0,2451960000,1.0,1x,,29409137,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.2.0,2.2.2.0,,2016-04-07 17:34:50.892599,44552,799.661745
19883983338,bam,2016-04-22 03:55:13.718123,slurm_normal,,main_w1_handler2,2632353,12556911,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6746661.roundup,slurm,,corral-repl,,,0,,,,,,,,,,no,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b586809a735c0617b0'}]","""50""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""bigwig""","""""",0,,,1.0,rpkm,,29591805,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.2.0,2.2.2.0,,2016-04-22 04:40:57.521521,43569,2743.803398
20437267824,bam,2016-04-15 05:46:44.757552,slurm_normal,,main_w1_handler0,1550125,12461656,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6656587.roundup,slurm,,corral-repl,,false,1,false,0.0,no,forward,true,,1,,,yes,false,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54ccd6b3e194ad46a'}]","""50""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""bigwig""","""""",0,,,1.0,rpkm,,28971447,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.2.0,2.2.2.0,,2016-04-15 05:47:58.096418,29919,73.33886600000001
16917154106,bam,2016-04-06 00:35:57.625809,slurm_normal,,main_w1_handler0,2551023,12349456,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6554265.roundup,slurm,,corral-repl,,False,1,False,0.0,no,no,False,,1,,,yes,False,,24155556,,"""200""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""bigwig""","""""",2,2.0,2451960000,1.0,1x,,29409137,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.2.0,2.2.2.0,,2016-04-06 00:44:20.893947,44552,503.268138
3725109688,bam,2016-05-11 00:05:00.549648,slurm_normal,,main_w2_handler1,2595678,12850115,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7050121.roundup,slurm,,corral-repl,,false,1,false,0.0,no,no,false,chr10,1,,,yes,false,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52ebced10c3fec8da'}]","""50""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""bigwig""","""""",2,1.0,2150570000,1.0,1x,,29538637,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.2.0,2.2.2.0,,2016-05-11 00:34:23.027839,48080,1762.4781910000002
3260598363,bam,2016-04-26 20:29:05.963656,slurm_normal,,main_w2_handler1,2671234,12630597,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6832223.roundup,slurm,,corral-repl,,false,1,false,0.0,no,no,false,,1,,,yes,false,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b569ede0e8fd819c13'}]","""50""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""bigwig""","""""",2,2.0,2451960000,1.0,1x,,29409137,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.2.0,2.2.2.0,,2016-04-26 20:37:26.315795,44552,500.352139
2684667178,bam,2016-05-12 07:00:07.299210,slurm_normal,,main_w2_handler1,2661554,12864614,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7065425.roundup,slurm,,corral-repl,,false,1,false,0.0,no,no,false,,1,,,yes,false,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b560d82efa52a41b76'}]","""1""","""/galaxy-repl/main/files/014/978/dataset_14978812.dat""","""Arabidopsis_v1""","""bigwig""","""""",1,,,,no,,29798093,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.2.0,2.2.2.0,,2016-05-12 07:14:51.344103,73455,884.044893
4185980060,bam,2016-05-02 21:06:36.022387,slurm_normal,,main_w2_handler0,2595678,12738814,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6938544.roundup,slurm,,corral-repl,,,0,,,,,,,,,,no,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b8df2b0f8fd4c388'}]","""50""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""bigwig""","""""",2,1.0,2150570000,1.0,1x,,29538637,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.2.0,2.2.2.0,,2016-05-02 21:48:17.887356,48080,2501.864969
