create_time,destination_id,exit_code,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input.values,parameters.option,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-07-26 11:41:20.770976,slurm_normal,,main_w4_handler0,3197513,16422369,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1937493412,bed,10488405.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 30618555}]","""""",,39086603,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.26.0.0,2.26.0.0,,2017-07-26 12:02:38.049322,108353,1277.278346
2018-02-19 14:53:45.146511,slurm_normal,,main_w3_handler0,3238725,18436618,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",984317243,bed,12531068,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 33939943}]","""""",,42303408,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.26.0.0,2.26.0.0,,2018-02-19 14:55:24.312215,37229,99.165704
2018-01-02 19:14:59.207751,slurm_normal,,main_w4_handler1,3359375,17932073,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",889563885,bed,12008204,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 33125865}]","""""",,42951477,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.26.0.0,2.26.0.0,,2018-01-02 19:16:50.350537,55887,111.142786
2018-02-19 14:54:54.303715,slurm_normal,,main_w3_handler0,3238725,18436624,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2716164753,bed,12531073,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31541161}]","""""",,42303408,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.26.0.0,2.26.0.0,,2018-02-19 14:56:48.565222,37229,114.26150700000001
2017-06-02 20:30:03.922741,slurm_normal,,main_w4_handler1,3134986,16002313,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2621596376,bed,10096463.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29870500}]","""""",,38216892,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.26.0.0,2.26.0.0,,2017-06-02 20:33:39.239312,30016,215.316571
2017-05-21 16:11:56.985497,slurm_normal,,main_w4_handler1,3118498,15900514,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",677310615,bed,9999543.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","[{'src': 'hda', 'id': 29692667}]","""""",,36283865,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.26.0.0,2.26.0.0,,2017-05-21 16:13:09.930718,1228,72.945221
2018-01-01 23:27:24.585326,slurm_normal,,main_w4_handler0,3359375,17926665,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",889563885,bed,12002191,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 33125865}]","""""",,42568494,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.26.0.0,2.26.0.0,,2018-01-01 23:28:45.749974,55887,81.164648
2017-04-11 02:02:15.459857,slurm_normal,,main_w4_handler0,3065149,15548603,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",829248567,bed,9673285.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29160502}]","""""",,37223162,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.26.0.0,2.26.0.0,,2017-04-11 02:04:02.333547,103827,106.87369000000001
2017-06-21 11:52:55.906100,slurm_normal,,main_w3_handler0,3141657,16152767,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",901693413,bed,10231629.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 30110045}]","""""",,38679261,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.26.0.0,2.26.0.0,,2017-06-21 12:17:14.248570,75605,1458.34247
2017-06-21 13:27:25.831150,slurm_normal,,main_w3_handler1,3141657,16153543,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",901693413,bed,10232118.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 30110045}]","""""",,38461193,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.26.0.0,2.26.0.0,,2017-06-21 13:29:43.514048,75605,137.682898
