bamInput,bamInput_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.advancedOpt.__current_case__,parameters.advancedOpt.showAdvancedOpt,parameters.bamInput.values,parameters.chromInfo,parameters.dbkey,parameters.effectiveGenomeSize.__current_case__,parameters.effectiveGenomeSize.effectiveGenomeSize_opt,parameters.fragmentLength,parameters.image_format,parameters.region,parameters.source.__current_case__,parameters.source.input1_2bit,parameters.source.ref_source,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
72601,bam,2016-07-28 21:34:44.700453,slurm_multi,,main_w1_handler2,2633775,13519251,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7734744,slurm,,corral-repl,,0,no,0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56050eae8c80a39ec'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",1,2150570000,"""300""","""png""","""""",0,/galaxy/data/mm9/seq/mm9.2bit,cached,,31792714,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.2.3.0,2.2.3.0,,2016-07-29 08:42:52.222433,46988,40087.521980000005
76910,bam,2016-07-20 19:41:00.867008,slurm_multi,,main_w1_handler2,2633775,13455101,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7669214,slurm,,corral-repl,,0,no,0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5579d8ee6ec5926df'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",1,2150570000,"""300""","""png""","""""",0,/galaxy/data/mm9/seq/mm9.2bit,cached,,31593539,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.2.3.0,2.2.3.0,,2016-07-21 09:35:36.051952,46988,50075.184944
