chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,inputA,inputA_filetype,inputB,inputB_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.inputA,parameters.inputA.values,parameters.inputB,parameters.inputB.values,parameters.overlap,parameters.removeIfOverlap,parameters.strand,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-05-10 01:41:15.979361,slurm_normal,,main_w1_handler0,2697306,12839103,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1645691832,bed,2460177697,bed,7040161.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54684164d631d3a7b'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5bc37053dc96ecf02'}]","""1e-09""","""-A""","""""",,30111083,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.22.0,2.22.0,,2016-05-10 01:42:30.332917,82005,74.353556
,,2016-05-10 01:41:46.656079,slurm_normal,,main_w1_handler1,2697306,12839104,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2638830753,bed,2849470347,bed,7040163.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5844386df3e4d0e7b'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57e6b411088f4ac5d'}]","""1e-09""","""-A""","""""",,30111083,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.22.0,2.22.0,,2016-05-10 01:42:57.178768,82005,70.522689
,,2016-03-24 23:15:54.457545,slurm_normal,,main_w2_handler1,2557147,12247020,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4299034002,bed,4299034002,bed,6459231.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24009735,,24009715,,"""1e-09""","""""","""""",,29178324,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.22.0,2.22.0,,2016-03-25 00:11:16.932873,76207,3322.475328
,,2016-04-03 20:23:34.875854,slurm_normal,,main_w1_handler1,2407180,12327421,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2566650099,bed,3524555007,bed,6533990.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",24126129,,24126130,,"""1e-09""","""-A""","""""",,29360549,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.22.0,2.22.0,,2016-04-03 20:24:52.975215,64607,78.099361
,,2016-05-10 01:53:50.252180,slurm_normal,,main_w1_handler0,2697306,12839133,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1138896366,bed,1703148938,bed,7040217.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b565bea4fa7b9361c9'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52077a1814c580d89'}]","""1e-09""","""-A""","""""",,30111083,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.22.0,2.22.0,,2016-05-10 01:55:09.148963,82005,78.896783
,,2016-03-02 06:14:36.529886,slurm_normal,,main_w2_handler0,2607672,11986499,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3483963257,bed,3809162644,bed,6218248.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",23523150,,23523156,,"""1e-09""","""""","""-s""",,28536288,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.22.0,2.22.0,,2016-03-02 06:16:24.956912,79084,108.42702600000001
331.0,len,2016-05-30 00:57:11.541104,slurm_normal,,main_w1_handler1,2704404,13019964,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7235551673,vcf,5402668029,vcf,7202881.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/016/012/dataset_16012618.dat""","""Maca_M""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5037bcbe482a7b02c'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58018ff9cfa51261b'}]","""1e-09""","""""","""""",,30216935,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.22.0,2.22.0,,2016-05-30 00:58:36.367962,83188,84.826858
,,2016-04-03 18:57:14.993273,slurm_normal,,main_w1_handler1,2407180,12326940,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2566650099,bed,3524555007,bed,6533765.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",24126129,,24126130,,"""1e-09""","""-A""","""""",,29360549,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.22.0,2.22.0,,2016-04-03 19:34:54.515331,64607,2259.522058
,,2016-02-23 03:25:58.255542,slurm_normal,,main_w1_handler0,2605040,11905593,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1273851504,bed,1277335302,bed,6144198.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",23466603,,23466604,,"""1e-09""","""""","""""",,26626013,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.22.0,2.22.0,,2016-02-23 03:39:54.569851,34556,836.3143090000001
331.0,len,2016-05-30 01:31:09.543250,slurm_normal,,main_w1_handler0,2704404,13020009,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5402668029,vcf,7138047709,vcf,7202920.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/016/012/dataset_16012618.dat""","""Maca_M""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58018ff9cfa51261b'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b505cba2795d97d7be'}]","""1e-09""","""""","""""",,30216935,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.22.0,2.22.0,,2016-05-30 01:32:32.614006,83188,83.070756
