create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.brief,parameters.chromInfo,parameters.dbkey,parameters.gapextend,parameters.gapopen,parameters.input1,parameters.input1.values,parameters.input1|__identifier__,parameters.input2,parameters.input2.values,parameters.out_format1,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-12-06 22:03:36.073809,slurm_normal,,main_w2_handler0,2522893,11106002,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",32975,fasta,34021,fasta,5367091.roundup,slurm,,corral-repl,,"""yes""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""0.5""","""10.0""",22331209,,,22331012,,"""srspair""",,26619350,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: needle56/5.0.0,5.0.0,,2015-12-06 22:04:28.511970,74388.0,52.438161
2015-12-07 02:47:35.714768,slurm_normal,,main_w2_handler0,2530423,11107887,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",34021,fasta,32975,fasta,5370979.roundup,slurm,,corral-repl,,"""yes""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""0.5""","""10.0""",22333832,,,22333837,,"""simple""",,26487960,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: needle56/5.0.0,5.0.0,,2015-12-07 02:49:41.559625,74376.0,125.844857
2016-04-11 11:40:00.430502,slurm_normal,,main_w1_handler0,2625426,12416529,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",230847671,fasta,230844371,fasta,6617434.roundup,slurm,,corral-repl,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.5""","""10.0""",24252501,,,24252496,,"""srspair""",,29399974,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: needle56/5.0.0,5.0.0,,2016-04-11 11:41:46.354287,80064.0,105.92378500000001
2017-04-07 01:27:10.477610,slurm_normal,,main_w4_handler1,3050219,15514161,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4649189,fasta,24264,fasta,9641006.roundup,slurm,,corral-repl,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.5""","""10.0""",,"[{'src': 'hda', 'id': 29109589}]",,,"[{'src': 'hda', 'id': 29109830}]","""srspair""",,37086505,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: needle56/5.0.0,5.0.0,,2017-04-07 01:37:50.004706,103511.0,639.527096
2016-05-02 19:50:50.559525,slurm_normal,,main_w2_handler1,2692091,12737879,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",588433,fasta,1083786,fasta,6937243.roundup,slurm,,corral-repl,,"""yes""","""/galaxy-repl/localdata/chrom/mycoGeni.len""","""mycoGeni""","""0.5""","""10.0""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54697e9756ddf9326'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b574bf768397637e48'}]","""fasta""",,29996744,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: needle56/5.0.0,5.0.0,,2016-05-02 19:58:26.792488,,456.23296300000004
2015-03-22 06:30:03.448363,rodeo_normal,,main_w1_handler1,2244545,9005563,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5529,fasta,234829,fasta,3274202.roundup,slurm,,corral-repl,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.5""","""10.0""",18943821,,,18943779,,"""srspair""",,21943887,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: needle56/5.0.0,5.0.0,,2015-03-22 06:37:28.960527,,445.51216400000004
2017-05-04 12:41:33.445598,slurm_normal,,main_w3_handler1,3098278,15747736,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",563836,fasta,3268,fasta,9856632.roundup,slurm,,corral-repl,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.5""","""10.0""",,"[{'src': 'hda', 'id': 29471038}]","""CYIE01000285.1.fasta""",,"[{'src': 'hda', 'id': 29471028}]","""srspair""",,37404331,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: needle56/5.0.0,5.0.0,,2017-05-04 12:49:34.651111,104294.0,481.20551300000005
2015-03-22 06:30:04.446254,rodeo_normal,,main_w2_handler0,2244545,9005565,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5529,fasta,322961,fasta,3274191.roundup,slurm,,corral-repl,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.5""","""10.0""",18943821,,,18943781,,"""srspair""",,21943887,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: needle56/5.0.0,5.0.0,,2015-03-22 06:35:55.989809,,351.543555
2015-12-07 02:41:24.411942,slurm_normal,,main_w1_handler0,2530423,11107866,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",34021,fasta,32975,fasta,5370903.roundup,slurm,,corral-repl,,"""yes""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""0.5""","""10.0""",22333832,,,22333837,,"""srspair""",,26487960,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: needle56/5.0.0,5.0.0,,2015-12-07 02:44:45.776536,74376.0,201.364594
2016-12-29 20:35:23.602786,slurm_normal,,main_w3_handler0,2934818,14664164,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",30554641,fasta,32485129,fasta,8836900.roundup,slurm,,corral-repl,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.5""","""10.0""",,"[{'src': 'hda', 'id': 27769740}]",,,"[{'src': 'hda', 'id': 27689832}]","""srspair""",,35086613,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: needle56/5.0.0,5.0.0,,2016-12-29 20:35:43.619762,70253.0,20.016976
2017-04-07 03:20:32.411489,slurm_normal,,main_w4_handler1,3050219,15514662,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4649189,fasta,349,fasta,9641464.roundup,slurm,,corral-repl,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.5""","""10.0""",,"[{'src': 'hda', 'id': 29109589}]",,,"[{'src': 'hda', 'id': 29110597}]","""srspair""",,37086505,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: needle56/5.0.0,5.0.0,,2017-04-07 03:20:52.920441,103511.0,20.508952
2015-12-06 22:05:52.428298,slurm_normal,,main_w2_handler1,2522893,11106139,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",32975,fasta,34021,fasta,5367121.roundup,slurm,,corral-repl,,"""yes""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""0.5""","""10.0""",22331209,,,22331012,,"""srspair""",,26619350,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: needle56/5.0.0,5.0.0,,2015-12-06 22:08:10.702319,74388.0,138.274021
2015-12-07 03:53:43.403692,slurm_normal,,main_w1_handler2,2530324,11108201,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",66996,fasta,66996,fasta,5371752.roundup,slurm,,corral-repl,,"""yes""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""0.5""","""10.0""",22334401,,,22334401,,"""srspair""",,26622943,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: needle56/5.0.0,5.0.0,,2015-12-07 03:56:03.826441,74865.0,140.422749
2017-05-04 12:40:04.906963,slurm_normal,,main_w4_handler0,3098278,15747680,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",563836,fasta,3692,fasta,9856735.roundup,slurm,,corral-repl,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.5""","""10.0""",,"[{'src': 'hda', 'id': 29471038}]","""CYIE01000285.1.fasta""",,"[{'src': 'hda', 'id': 29471030}]","""srspair""",,37404331,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: needle56/5.0.0,5.0.0,,2017-05-04 12:53:51.396716,104294.0,826.4897530000001
2015-12-07 02:47:51.466430,slurm_normal,,main_w2_handler1,2530423,11107890,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",34021,fasta,32975,fasta,5370983.roundup,slurm,,corral-repl,,"""yes""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""0.5""","""10.0""",22333832,,,22333837,,"""srspair""",,26487960,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: needle56/5.0.0,5.0.0,,2015-12-07 02:50:43.660346,74376.0,172.193916
2017-01-31 11:36:47.627329,slurm_normal,,main_w4_handler0,2846309,14914015,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5183021,fasta,5183021,fasta,9069845.roundup,slurm,,corral-repl,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.5""","""10.0""",,"[{'src': 'hda', 'id': 28151554}]",,,"[{'src': 'hda', 'id': 28151554}]","""srspair""",,35643713,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: needle56/5.0.0,5.0.0,,2017-01-31 11:40:23.211966,91783.0,215.58463700000001
