create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.fill,parameters.input1,parameters.input1.values,parameters.input2,parameters.input2.values,parameters.min,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2014-12-06 23:25:31.884007,slurm_normal_single_16gb,,main_w2_handler1,2140571,8362068,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",41546987,bed,572452122,bed,2251038.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""none""",17850985,,17851010,,"""1""",,19939001.0,error,toolshed.g2.bx.psu.edu/repos/devteam/join/gops_join_1/1.0.0,1.0.0,,2014-12-06 23:38:27.538166,56794.0,775.654159
2016-10-25 19:50:44.546633,slurm_normal_16gb,,main_w3_handler0,2868650,14172830,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",29799890,bed,725487258,bed,8385537.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""","""none""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51ebb942a855fb6ac'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ac20885b550d5ce0'}]","""1""",,33899282.0,error,toolshed.g2.bx.psu.edu/repos/devteam/join/gops_join_1/1.0.0,1.0.0,,2016-10-25 20:10:04.802937,92738.0,1160.256304
2016-12-13 01:04:32.169238,slurm_normal_16gb,,main_w3_handler1,2915836,14559605,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",41777724,bed,2558048155,bed,8738872.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""none""",,"[{'src': 'hda', 'id': 27608264}]",,"[{'src': 'hda', 'id': 27608268}]","""1""",,34813278.0,error,toolshed.g2.bx.psu.edu/repos/devteam/join/gops_join_1/1.0.0,1.0.0,,2016-12-13 01:19:08.035719,96193.0,875.866481
2016-10-29 23:38:13.558408,slurm_normal_16gb,,main_w3_handler1,2873043,14207446,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1627472,bed,576760839,bed,8418861.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""none""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5902ad365186dfb24'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b069cbf02464258e'}]","""1""",,33980442.0,error,toolshed.g2.bx.psu.edu/repos/devteam/join/gops_join_1/1.0.0,1.0.0,,2016-10-29 23:52:19.214490,93290.0,845.6560820000001
2015-11-05 08:41:47.125625,slurm_normal_16gb,,main_w2_handler0,2496453,10824194,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",49073110,bed,596981973,bed,5079619.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""none""",21885657,,21885672,,"""1""",,26116645.0,error,toolshed.g2.bx.psu.edu/repos/devteam/join/gops_join_1/1.0.0,1.0.0,,2015-11-05 08:55:49.912451,72750.0,842.786826
2015-12-25 14:33:40.001619,slurm_normal_16gb,,main_w1_handler2,2521490,11325633,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",23083616,bed,539161063,bed,5603110.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""none""",22650406,,22650419,,"""1""",,26998746.0,error,toolshed.g2.bx.psu.edu/repos/devteam/join/gops_join_1/1.0.0,1.0.0,,2015-12-25 15:56:15.309028,75795.0,4955.307409
2016-04-19 03:41:19.697530,slurm_normal_16gb,,main_w2_handler1,2674821,12515885,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",23083616,bed,594517591,bed,6705536.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""none""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5342c4aace8de162c'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b577efe2ec850a9404'}]","""1""",,29672870.0,error,toolshed.g2.bx.psu.edu/repos/devteam/join/gops_join_1/1.0.0,1.0.0,,2016-04-19 03:56:28.991942,,909.2944120000001
2015-11-01 20:32:49.016134,slurm_normal_16gb,,main_w2_handler1,2492027,10788885,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",49073110,bed,596981973,bed,5044776.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""none""",21834566,,21834737,,"""1""",,26023785.0,error,toolshed.g2.bx.psu.edu/repos/devteam/join/gops_join_1/1.0.0,1.0.0,,2015-11-01 20:46:40.394363,72430.0,831.378229
2014-12-24 13:29:54.677011,slurm_normal_single_16gb,,main_w1_handler0,2147073,8464016,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",31643,bed,2215140257,bed,633711.rodeo,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""none""",17921370,,17973859,,"""1""",,20072076.0,error,toolshed.g2.bx.psu.edu/repos/devteam/join/gops_join_1/1.0.0,1.0.0,,2014-12-24 13:45:57.016391,57395.0,962.33938
2015-10-28 10:15:42.443076,slurm_normal_16gb,,main_w1_handler2,2487635,10752102,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",49073110,bed,596981973,bed,5011617.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""none""",21778290,,21778301,,"""1""",,25939074.0,error,toolshed.g2.bx.psu.edu/repos/devteam/join/gops_join_1/1.0.0,1.0.0,,2015-10-28 10:29:47.507777,71922.0,845.064701
