create_time,destination_id,exit_code,handler,history_id,id,imported,in_file,in_file_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.in_file.values,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-03-03 06:11:45.663365,slurm_normal,,main_w3_handler0,2788849,15196518,False,4889400000,tabular,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9346984.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28590722}]",,36290811,error,toolshed.g2.bx.psu.edu/repos/iuc/datamash_transpose/datamash_transpose/1.0.6,1.0.6,,2017-03-03 15:36:21.738756,88339,33876.075391
2017-07-13 17:35:53.238136,slurm_normal,,main_w3_handler1,3192071,16335863,False,2045563985,tabular,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10401780.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 30478480}]",,38167228,error,toolshed.g2.bx.psu.edu/repos/iuc/datamash_transpose/datamash_transpose/1.0.6,1.0.6,,2017-07-14 06:14:42.414747,1224,45529.176611
