chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.input.values,parameters.option,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-04-26 23:39:35.552142,slurm_normal,,main_w2_handler1,2678181,12635464,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1549051057,bed,6835362.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56ec9ac576a2e4cb9'}]","""""",,29772281.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.22.0,2.22.0,,2016-04-26 23:43:17.372000,70028.0,221.819858
,,2016-03-23 13:40:52.341646,slurm_normal,,main_w1_handler1,2412505,12234781,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",815104309,bed,6449032.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",23981287,,"""""",,28935158.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.22.0,2.22.0,,2016-03-23 13:44:09.694424,45522.0,197.352778
,,2016-10-01 19:50:03.117528,slurm_normal,,main_w4_handler1,2824917,13988797,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1632739990,bed,8208323.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53503bb87579c6fa6'}]","""""",,33125447.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.22.0,2.22.0,,2016-10-01 19:53:31.856015,84687.0,208.73848700000002
,,2016-03-11 01:01:31.980686,slurm_normal,,main_w2_handler1,2626817,12101448,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",816328122,bed,6325672.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",23787881,,"""""",,28380421.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.22.0,2.22.0,,2016-03-11 01:13:06.018468,64718.0,694.037782
,,2016-01-04 11:53:16.670105,slurm_normal,,main_w2_handler1,2554340,11370430,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1037434992,bed,5643074.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",22728864,,"""""",,27162908.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.22.0,2.22.0,,2016-01-04 12:07:41.402944,,864.732839
,,2016-03-23 21:50:31.311463,slurm_normal,,main_w2_handler0,2643420,12239895,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2223037678,bed,6453435.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23999038,,"""""",,29171924.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.22.0,2.22.0,,2016-03-23 21:54:26.661235,81194.0,235.349772
,,2016-02-19 18:07:05.917203,slurm_normal,,main_w1_handler2,2604715,11879365,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3724891209,bed,6119283.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23411192,,"""""",,28479080.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.22.0,2.22.0,,2016-02-19 18:14:53.883011,20297.0,467.96580800000004
,,2016-12-16 14:23:01.249686,slurm_normal,,main_w4_handler0,2931672,14592953,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",852186206,bed,8771486.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 27660505}]","""""",,34879291.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.22.0,2.22.0,,2016-12-16 14:24:22.631700,86671.0,81.382014
,,2016-02-08 15:05:10.401145,slurm_normal,,main_w2_handler1,2592508,11750336,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3518250779,bed,6004169.roundup,slurm,,corral-repl,,,"""/galaxy-repl/main/files/013/123/dataset_13123995.dat""","""Tair10""",23238420,,"""""",,28201397.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.22.0,2.22.0,,2016-02-08 15:09:24.180319,65515.0,253.779174
,,2016-04-04 20:27:42.865632,slurm_normal,,main_w2_handler0,2657246,12337610,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1835381536,bed,6543657.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",24140542,,"""""",,28995124.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.22.0,2.22.0,,2016-04-04 20:31:09.811612,80488.0,206.94598000000002
,,2016-03-03 22:04:33.221187,slurm_normal,,main_w2_handler0,2620255,12014943,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1714901623,bed,6242839.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23659508,,"""""",,28794674.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.22.0,2.22.0,,2016-03-03 22:08:53.769429,52087.0,260.548242
1017559.0,len,2016-01-11 21:57:00.636874,slurm_normal,,main_w1_handler2,2562409,11465316,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1415014542,bed,5731062.roundup,slurm,,corral-repl,,,"""/galaxy-repl/main/files/013/901/dataset_13901724.dat""","""dm6""",22850331,,"""-chrThenScoreD""",,27349644.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.22.0,2.22.0,,2016-01-11 22:17:02.862235,59928.0,1202.225361
,,2016-03-03 22:04:32.814253,slurm_normal,,main_w1_handler1,2620255,12014942,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1486268008,bed,6242838.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23659498,,"""""",,28794674.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.22.0,2.22.0,,2016-03-03 22:08:18.869066,52087.0,226.05481300000002
