create_time,destination_id,exit_code,group1,group1_filetype,group2,group2_filetype,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.inTypeCond.__current_case__,parameters.inTypeCond.group1.values,parameters.inTypeCond.group1_1,parameters.inTypeCond.group1_2,parameters.inTypeCond.group1_3,parameters.inTypeCond.group2.values,parameters.inTypeCond.group2_1,parameters.inTypeCond.group2_2,parameters.inTypeCond.group2_3,parameters.inTypeCond.inType,parameters.inTypeCond.input.values,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-02-22 04:24:07.322904,slurm_normal,,40458.0,bed,26655430954.0,vcf,main_w3_handler0,2988737,15102356,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",285039000,bed,9257668.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",1,"[{'src': 'hda', 'id': 28454947}]",,,,"[{'src': 'hda', 'id': 28455105}]",,,,snp,"[{'src': 'hda', 'id': 28455038}]",,35915818,error,toolshed.g2.bx.psu.edu/repos/devteam/snpfreq/hgv_snpFreq/1.0.1,1.0.1,,2017-02-22 04:26:28.575812,99763,141.25290800000002
2017-07-13 06:40:34.355384,slurm_normal,,52581408723.0,vcf,52581408723.0,vcf,main_w3_handler0,3182960,16328567,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",52581408723,vcf,10395131.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/oryza_sativa_japonica_nipponbare_IRGSP4.0.len""","""oryza_sativa_japonica_nipponbare_IRGSP4.0""",1,"[{'src': 'hda', 'id': 30369292}]",,,,"[{'src': 'hda', 'id': 30369292}]",,,,snp,"[{'src': 'hda', 'id': 30369292}]",,39112537,error,toolshed.g2.bx.psu.edu/repos/devteam/snpfreq/hgv_snpFreq/1.0.1,1.0.1,,2017-07-13 07:38:51.826132,108548,3497.470748
2016-09-30 13:14:23.839062,slurm_normal,,,,,,main_w3_handler1,2834793,13982254,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6044593604,tabular,8201671.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,,4,5,1,,1,1,1,tab,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a49298c725b5f5ad'}]",,32992190,error,toolshed.g2.bx.psu.edu/repos/devteam/snpfreq/hgv_snpFreq/1.0.1,1.0.1,,2016-09-30 13:28:36.159156,90340,852.320094
2016-10-10 13:29:45.346020,slurm_normal,,,,,,main_w3_handler0,2848844,14044922,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11688228970,vcf,8262318.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",0,,4,5,1,,1,1,1,tab,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5088ec49a3b53b179'}]",,33492556,error,toolshed.g2.bx.psu.edu/repos/devteam/snpfreq/hgv_snpFreq/1.0.1,1.0.1,,2016-10-10 13:44:29.070072,90340,883.724052
