bfile,bfile_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input1.values,parameters.non_commercial_use,parameters.options_type.__current_case__,parameters.options_type.options_type_selector,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-11-09 22:34:05.205031,slurm_normal,,main_w3_handler0,3317106,17404046,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1444808287,fasta,11465939,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32174743}]","""true""",,,,41868407,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.1.0,4.11.1.0,,2017-11-09 23:32:29.056037,115735.0,3503.8510060000003
,,2016-12-28 21:19:50.018722,slurm_normal,,main_w4_handler0,2835388,14659658,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",268487554,fasta,8832921.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","[{'src': 'hda', 'id': 27763615}]","""true""",,,,34917492,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.1.0,4.11.1.0,,2016-12-28 21:20:43.151436,29303.0,53.132714
,,2016-11-10 18:11:08.069687,slurm_normal,,main_w3_handler0,2799332,14308900,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1563449850,fasta,8517104.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 'bbd44e69cb8906b54e745bca0306f769'}]","""true""",0.0,basic,,33257250,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.1.0,4.11.1.0,,2016-11-10 18:16:45.157281,88883.0,337.087594
,,2017-10-12 13:26:25.998028,slurm_normal,,main_w4_handler1,3260587,17087037,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2353566958,fasta,11143171.roundup,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31663718}]","""true""",0.0,basic,,40716718,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.1.0,4.11.1.0,,2017-10-12 13:27:46.163850,91699.0,80.165822
,,2017-09-14 11:17:38.017022,slurm_normal,,main_w3_handler0,3252832,16816803,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2082290374,fasta,10886349.roundup,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 31230363}]","""true""",0.0,basic,,39208606,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.1.0,4.11.1.0,,2017-09-14 11:19:07.962031,108763.0,89.945009
,,2017-10-13 05:58:49.274223,slurm_normal,,main_w3_handler1,3284278,17092543,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5639065913,fasta,11148821.roundup,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 31672131}]","""true""",,,,41229594,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.1.0,4.11.1.0,,2017-10-13 05:59:27.568398,80027.0,38.294175
,,2017-10-12 13:01:36.891561,slurm_normal,,main_w3_handler0,3260587,17086739,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2696544138,fasta,11142873.roundup,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31663084}]","""true""",,,,40716718,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.1.0,4.11.1.0,,2017-10-12 13:02:34.429855,91699.0,57.538294
,,2017-09-14 11:46:49.761183,slurm_normal,,main_w4_handler0,3252832,16816968,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2082290374,fasta,10886520.roundup,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 31230363}]","""true""",0.0,basic,,40498555,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.1.0,4.11.1.0,,2017-09-14 11:48:18.921129,108763.0,89.159946
,,2017-02-27 14:45:00.948474,slurm_normal,,main_w3_handler0,2569203,15154771,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",407619644,fasta,9306637.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28530768}]","""true""",0.0,basic,,36266789,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.1.0,4.11.1.0,,2017-02-27 14:45:23.441294,76983.0,22.492820000000002
,,2017-01-25 12:51:29.487652,slurm_normal,,main_w3_handler0,2853332,14865801,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",184022704,fasta,9025346.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28075985}]","""true""",0.0,basic,,35580674,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.1.0,4.11.1.0,,2017-01-25 12:53:02.731027,92145.0,93.243375
,,2016-12-11 21:00:02.177053,slurm_normal,,main_w4_handler1,2886715,14543980,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4438749742,fasta,8726312.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 27552577}]","""true""",0.0,basic,,34149776,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.1.0,4.11.1.0,,2016-12-11 21:00:52.193938,94301.0,50.016885
986630093.0,fasta,2017-02-06 10:36:12.049981,slurm_normal,,main_w3_handler0,2937538,14958979,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",986398465,fasta,9116491.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28224137}]","""true""",,,,35827099,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.1.0,4.11.1.0,,2017-02-06 10:37:07.359124,68572.0,55.309143000000006
