create_time,destination_id,exit_code,handler,history_id,id,imported,info,inputA,inputA_filetype,inputB,inputB_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.addition.__current_case__,parameters.addition.addition_select,parameters.addition.w,parameters.bed,parameters.chromInfo,parameters.dbkey,parameters.header,parameters.inputA.values,parameters.inputB.values,parameters.nooverlaps,parameters.number,parameters.original,parameters.strandB,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-12-04 05:01:16.649707,slurm_normal,,main_w3_handler0,2917310,14483550,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9146416,bed,2689429873,bed,8674092.roundup,slurm,,corral-repl,,,0,window,7000,"""false""","""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""","""false""","[{'src': 'hda', 'id': 27492286}]","[{'src': 'hda', 'id': 27491983}]","""false""","""false""","""true""","""""",,34633424.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_windowbed/2.24.0,2.24.0,,2016-12-04 05:02:32.442024,96239,75.79231700000001
2016-12-21 19:01:47.081223,slurm_normal,,main_w3_handler0,2936608,14627181,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8036423,bed,812723942,bed,8803697.roundup,slurm,,corral-repl,,"""e7b3e088c7af11e6a18d005056a51846""",0,window,1,"""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 27712117}]","[{'src': 'hda', 'id': 27712115}]","""false""","""false""","""false""","""""",,,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_windowbed/2.24.0,2.24.0,,2016-12-21 19:05:30.850692,77870,223.76946900000002
2016-12-21 19:06:21.793778,slurm_normal,,main_w4_handler1,2936608,14627219,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8036423,bed,812723942,bed,8803710.roundup,slurm,,corral-repl,,,0,window,5000,"""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 27712117}]","[{'src': 'hda', 'id': 27712115}]","""false""","""false""","""false""","""""",,35005388.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_windowbed/2.24.0,2.24.0,,2016-12-21 19:07:42.956654,77870,81.16287600000001
