blackListFileName,blackListFileName1,blackListFileName1_filetype,blackListFileName_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.advancedOpt.__current_case__,parameters.advancedOpt.averageTypeBins,parameters.advancedOpt.binSize,parameters.advancedOpt.blackListFileName.values,parameters.advancedOpt.exonID,parameters.advancedOpt.maxThreshold,parameters.advancedOpt.metagene,parameters.advancedOpt.minThreshold,parameters.advancedOpt.missingDataAsZero,parameters.advancedOpt.scale,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.skipZeros,parameters.advancedOpt.sortRegions,parameters.advancedOpt.sortUsing,parameters.advancedOpt.transcriptID,parameters.advancedOpt.transcript_id_designator,parameters.chromInfo,parameters.dbkey,parameters.mode.__current_case__,parameters.mode.afterRegionStartLength,parameters.mode.beforeRegionStartLength,parameters.mode.mode_select,parameters.mode.nanAfterEnd,parameters.mode.referencePoint,parameters.mode.regionBodyLength,parameters.mode.regionStartLength.__current_case__,parameters.mode.regionStartLength.afterRegionStartLength,parameters.mode.regionStartLength.beforeRegionStartLength,parameters.mode.regionStartLength.regionStartLength_select,parameters.mode.regionStartLength.unscaled3prime,parameters.mode.regionStartLength.unscaled5prime,parameters.output.__current_case__,parameters.output.saveMatrix,parameters.output.saveSortedRegions,parameters.output.showOutputSettings,parameters.regionsFiles,parameters.regionsFiles_0|regionsFile|__identifier__,parameters.scoreFileName.values,regionsFiles_0|regionsFile,regionsFiles_0|regionsFile_filetype,regionsFiles_1|regionsFile,regionsFiles_1|regionsFile_filetype,regionsFiles_2|regionsFile,regionsFiles_2|regionsFile_filetype,regionsFiles_3|regionsFile,regionsFiles_3|regionsFile_filetype,runner_name,scoreFileName,scoreFileName1,scoreFileName10,scoreFileName10_filetype,scoreFileName11,scoreFileName11_filetype,scoreFileName12,scoreFileName12_filetype,scoreFileName13,scoreFileName13_filetype,scoreFileName14,scoreFileName14_filetype,scoreFileName15,scoreFileName15_filetype,scoreFileName16,scoreFileName16_filetype,scoreFileName17,scoreFileName17_filetype,scoreFileName18,scoreFileName18_filetype,scoreFileName19,scoreFileName19_filetype,scoreFileName1_filetype,scoreFileName2,scoreFileName20,scoreFileName20_filetype,scoreFileName21,scoreFileName21_filetype,scoreFileName22,scoreFileName22_filetype,scoreFileName23,scoreFileName23_filetype,scoreFileName24,scoreFileName24_filetype,scoreFileName25,scoreFileName25_filetype,scoreFileName26,scoreFileName26_filetype,scoreFileName27,scoreFileName27_filetype,scoreFileName28,scoreFileName28_filetype,scoreFileName29,scoreFileName29_filetype,scoreFileName2_filetype,scoreFileName3,scoreFileName30,scoreFileName30_filetype,scoreFileName31,scoreFileName31_filetype,scoreFileName32,scoreFileName32_filetype,scoreFileName33,scoreFileName33_filetype,scoreFileName34,scoreFileName34_filetype,scoreFileName35,scoreFileName35_filetype,scoreFileName3_filetype,scoreFileName4,scoreFileName4_filetype,scoreFileName5,scoreFileName5_filetype,scoreFileName6,scoreFileName6_filetype,scoreFileName7,scoreFileName7_filetype,scoreFileName8,scoreFileName8_filetype,scoreFileName9,scoreFileName9_filetype,scoreFileName_filetype,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,,,2017-04-05 14:24:41.925498,slurm_multi,,main_w4_handler2,3057815,15495080,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9622950,slurm,,corral-repl,,0,no,,0.0,,,,,,,,,,no,,,,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",0,,,scale-regions,,,1000,1.0,500,500,yes,0,0,0,,,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 29083609}]}}]",,"[{'src': 'hda', 'id': 29083348}]",174089055,bed,,,,,,,,56199,56199,,,,,,,,,,,,,,,,,,,,,bigwig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bigwig,35986775,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.5.0.0,2.5.0.0,,2017-04-05 17:16:57.557405,99620,10335.631907
,,,,2017-08-25 14:15:02.296394,slurm_multi,,main_w4_handler2,1796147,16658740,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10731048,slurm,,corral-repl,,0,no,,0.0,,,,,,,,,,no,,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",0,,,scale-regions,,,100000,0.0,,,no,,,0,,,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 30990794}]}}]",,"[{'src': 'hda', 'id': 30990156}, {'src': 'hda', 'id': 30990160}]",8619070,bed,,,,,,,,279464575,279464575,,,,,,,,,,,,,,,,,,,,,bigwig,236985031.0,,,,,,,,,,,,,,,,,,,,,bigwig,,,,,,,,,,,,,,,,,,,,,,,,,,,bigwig,39545215,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.5.0.0,2.5.0.0,,2017-08-25 20:03:04.577130,35884,20882.280736
,,,,2017-12-29 10:10:42.856076,slurm_multi,,main_w3_handler2,3359375,17913690,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11989046,slurm,,corral-repl,,0,no,,,,,,,,,,,,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",1,5000,5000,reference-point,false,center,,,,,,,,0,,,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 32898620}]}}]",,"[{'src': 'hda', 'id': 32965348}, {'src': 'hda', 'id': 32965349}]",1966540490,bed,,,,,,,,120645921,120645921,,,,,,,,,,,,,,,,,,,,,bigwig,119494850.0,,,,,,,,,,,,,,,,,,,,,bigwig,,,,,,,,,,,,,,,,,,,,,,,,,,,bigwig,42568494,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.5.0.0,2.5.0.0,,2017-12-29 10:24:34.916555,55887,832.0604790000001
,,,,2017-12-13 22:46:16.228528,slurm_multi,,main_w4_handler2,3359375,17801398,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11870867,slurm,,corral-repl,,0,no,,,,,,,,,,,,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",1,5000,5000,reference-point,false,center,,,,,,,,0,,,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 32920957}]}}]",,"[{'src': 'hda', 'id': 32893854}]",642531174,bed,,,,,,,,1356999770,1356999770,,,,,,,,,,,,,,,,,,,,,bigwig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bigwig,42568494,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.5.0.0,2.5.0.0,,2017-12-13 22:53:57.414256,55887,461.18572800000004
,,,,2017-08-22 16:01:50.393108,slurm_multi,,main_w3_handler2,3197468,16632863,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10705181,slurm,,corral-repl,,0,no,,,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",0,,,scale-regions,,,10,0.0,,,no,,,1,true,false,yes,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 30952355}]}}]",,"[{'src': 'hda', 'id': 30948537}, {'src': 'hda', 'id': 30948541}]",7779133406,bed,,,,,,,,7273966,7273966,,,,,,,,,,,,,,,,,,,,,bigwig,7273354.0,,,,,,,,,,,,,,,,,,,,,bigwig,,,,,,,,,,,,,,,,,,,,,,,,,,,bigwig,39409471,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.5.0.0,2.5.0.0,,2017-08-22 16:16:36.273913,79460,885.880805
,,,,2017-12-13 22:11:58.350598,slurm_multi,,main_w3_handler2,3359375,17801136,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11870623,slurm,,corral-repl,,0,no,,0.0,,,,,,,,,,no,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",0,,,scale-regions,,,500,0.0,,,no,,,0,,,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 32920957}]}}]",,"[{'src': 'hda', 'id': 32893854}]",642531174,bed,,,,,,,,1356999770,1356999770,,,,,,,,,,,,,,,,,,,,,bigwig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bigwig,42568494,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.5.0.0,2.5.0.0,,2017-12-13 22:19:11.572143,55887,433.22154500000005
,,,,2017-07-13 03:38:14.688270,slurm_multi,,main_w4_handler2,3191136,16327812,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10394569,slurm,,corral-repl,,0,no,,0.0,,,,,,,,,,no,,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",0,,,scale-regions,,,500,0.0,,,no,,,0,,,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 30466713}]}}]",,"[{'src': 'hda', 'id': 30466322}]",1714621193,bed,,,,,,,,28332644,28332644,,,,,,,,,,,,,,,,,,,,,bigwig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bigwig,39188781,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.5.0.0,2.5.0.0,,2017-07-13 04:26:33.798562,107805,2899.1102920000003
,,,,2017-05-16 00:25:16.745418,slurm_multi,,main_w4_handler2,1323885,15843730,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9944574,slurm,,corral-repl,,0,no,,,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",0,,,scale-regions,,,10000000,0.0,,,no,,,1,true,true,yes,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 29593619}]}}]",,"[{'src': 'hda', 'id': 29390538}]",666,bed,,,,,,,,751316995,751316995,,,,,,,,,,,,,,,,,,,,,bigwig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bigwig,37984081,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.5.0.0,2.5.0.0,,2017-05-16 00:27:29.759027,31552,133.013609
,,,,2017-05-07 00:38:43.048089,slurm_multi,,main_w4_handler2,3095758,15769211,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9876566,slurm,,corral-repl,,0,no,,0.0,,,,,,,,,,no,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,,,scale-regions,,,500,0.0,,,no,,,0,,,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 29497579}]}}]",,"[{'src': 'hda', 'id': 29496158}]",6357283830,bed,,,,,,,,690142664,690142664,,,,,,,,,,,,,,,,,,,,,bigwig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bigwig,37619346,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.5.0.0,2.5.0.0,,2017-05-07 00:52:04.749394,104859,801.701305
237769378.0,237769378.0,bed,bed,2018-03-07 09:36:40.723830,slurm_multi,,main_w3_handler2,3438891,18636746,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12732980,slurm,,corral-repl,,0,no,,1.0,mean,50,"[{'src': 'hda', 'id': 34260852}]",exon,,false,,false,,yes,false,keep,mean,transcript,transcript_id,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""",0,,,scale-regions,,,500,0.0,,,no,,,0,,,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 34172327}]}}]",,"[{'src': 'hda', 'id': 34035869}, {'src': 'hda', 'id': 34035874}, {'src': 'hda', 'id': 34035877}, {'src': 'hda', 'id': 34035880}]",1164461,bed,,,,,,,,38165868,38165868,,,,,,,,,,,,,,,,,,,,,bigwig,38638312.0,,,,,,,,,,,,,,,,,,,,,bigwig,35446883.0,,,,,,,,,,,,,bigwig,35676465.0,bigwig,,,,,,,,,,,bigwig,43954832,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.5.0.0,2.5.0.0,,2018-03-07 09:40:13.739297,122118,213.015467
