create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_bed_file,input_bed_file_filetype,input_control_file,input_control_file_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.effective_genome_fraction,parameters.error_cut_off,parameters.fix_off_by_one_errors,parameters.fragment_size,parameters.gap_size,parameters.input_bed_file,parameters.input_bed_file.values,parameters.input_control_file,parameters.input_control_file.values,parameters.redundancy_threshold,parameters.window_size,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-06-16 12:31:12.214856,slurm_normal,,main_w2_handler0,2061243,9663260,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2250152782,bed,2202135301.0,bed,3972783.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""0.74""","""0.001""","""True""","""200""","""400""",19440114,,19779370,,"""1""","""100""",,23265093,error,toolshed.g2.bx.psu.edu/repos/devteam/sicer/peakcalling_sicer/0.0.1,0.0.1,,2015-06-16 13:03:52.783128,51104,1960.5682720000002
2015-07-15 12:53:07.057246,slurm_normal,,main_w1_handler2,2301587,9871983,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8574853079,bed,1330869967.0,bed,4161348.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""0.74""","""0.01""","""True""","""100""","""200""",19690504,,19680688,,"""1""","""100""",,24147549,error,toolshed.g2.bx.psu.edu/repos/devteam/sicer/peakcalling_sicer/0.0.1,0.0.1,,2015-07-15 14:00:50.642073,63346,4063.584827
2015-08-07 17:45:57.367896,slurm_normal,,main_w1_handler2,2328579,10079368,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3059951007,bed,,,4356789.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""0.699""","""100.0""","""True""","""20""","""0""",20684973,,,,"""1""","""50""",,23864206,error,toolshed.g2.bx.psu.edu/repos/devteam/sicer/peakcalling_sicer/0.0.1,0.0.1,,2015-08-07 18:32:03.751561,32837,2766.3836650000003
2016-03-09 06:22:32.754602,slurm_normal,,main_w2_handler1,1873255,12080191,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8305141861,bed,5613583301.0,bed,6305033.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""0.7""","""0.01""","""True""","""150""","""600""",23745199,,23739734,,"""1""","""20""",,28552371,error,toolshed.g2.bx.psu.edu/repos/devteam/sicer/peakcalling_sicer/0.0.1,0.0.1,,2016-03-09 08:18:24.787095,47842,6952.032493000001
2014-11-20 19:37:09.281957,rodeo_normal,,main_w1_handler0,2084113,8213349,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4239182948,bed,5764579466.0,bed,2069341.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""0.74""","""0.01""","""True""","""150""","""600""",17240045,,17240046,,"""1""","""200""",,17956636,error,toolshed.g2.bx.psu.edu/repos/devteam/sicer/peakcalling_sicer/0.0.1,0.0.1,,2014-11-20 20:54:51.339992,54225,4662.058035
2016-05-09 10:05:47.033517,slurm_normal,,main_w1_handler1,2696745,12829740,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1182177002,bed6,,,7030757.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""0.74""","""0.05""","""true""","""20""","""300""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5036ab1ab370c1735'}]",,,"""1""","""100""",,29445865,error,toolshed.g2.bx.psu.edu/repos/devteam/sicer/peakcalling_sicer/0.0.1,0.0.1,,2016-05-09 10:25:58.430511,81993,1211.3969940000002
2015-06-01 08:58:29.806034,slurm_normal,,main_w1_handler1,2061243,9572406,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1829201527,bed,1907714286.0,bed,3885476.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""0.74""","""0.001""","""True""","""200""","""250""",19432853,,19779893,,"""1""","""50""",,23265093,error,toolshed.g2.bx.psu.edu/repos/devteam/sicer/peakcalling_sicer/0.0.1,0.0.1,,2015-06-01 09:30:15.862571,51104,1906.0565370000002
2016-04-09 15:04:12.325209,slurm_normal,,main_w2_handler0,2551023,12400698,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3267801313,bed,115844034.0,bed,6600562.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""0.74""","""0.01""","""True""","""75""","""600""",24229040,,24228992,,"""1""","""100""",,29510004,error,toolshed.g2.bx.psu.edu/repos/devteam/sicer/peakcalling_sicer/0.0.1,0.0.1,,2016-04-09 15:39:39.615581,44552,2127.290372
2016-01-30 05:38:04.921712,slurm_normal,,main_w2_handler0,2567862,11636873,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5506727247,bed,,,5900403.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""0.791""","""1000.0""","""True""","""146""","""0""",23080775,,,,"""1""","""50""",,27304921,error,toolshed.g2.bx.psu.edu/repos/devteam/sicer/peakcalling_sicer/0.0.1,0.0.1,,2016-01-30 06:16:09.642235,32837,2284.720523
2015-01-19 10:40:49.838611,rodeo_normal,,main_w1_handler1,2130283,8567098,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4295455956,bed,2040661991.0,bed,2501576.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""0.74""","""0.01""","""False""","""160""","""600""",18240415,,18240414,,"""1""","""200""",,20512276,error,toolshed.g2.bx.psu.edu/repos/devteam/sicer/peakcalling_sicer/0.0.1,0.0.1,,2015-01-19 11:19:46.208830,27257,2336.3702190000004
