bamFile1,bamFile1_filetype,bamFile2,bamFile2_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.advancedOpt.__current_case__,parameters.advancedOpt.showAdvancedOpt,parameters.bamFile1.values,parameters.bamFile2.values,parameters.binSize,parameters.chromInfo,parameters.comparison.__current_case__,parameters.comparison.normalization.__current_case__,parameters.comparison.normalization.effectiveGenomeSize.__current_case__,parameters.comparison.normalization.effectiveGenomeSize.effectiveGenomeSize,parameters.comparison.normalization.effectiveGenomeSize.effectiveGenomeSize_opt,parameters.comparison.normalization.type,parameters.comparison.pseudocount,parameters.comparison.type,parameters.dbkey,parameters.outFileFormat,parameters.region,parameters.scaling.__current_case__,parameters.scaling.method,parameters.scaling.scaleFactor1,parameters.scaling.scaleFactor2,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
6528772320,bam,8616269039,bam,2017-09-24 21:51:36.022280,slurm_multi,,main_w4_handler2,2944470,16915375,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10984750.roundup,slurm,,corral-repl,,0,no,,,,"[{'src': 'hda', 'id': 31140137}]","[{'src': 'hda', 'id': 31140134}]","""50""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/Arabidopsis_thaliana_TAIR10.len""",3,,,,,,,mean,"""Arabidopsis_thaliana_TAIR10""","""bigwig""","""""",2,own,0.5,0.4,,40108324,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-09-24 22:08:50.288701,97544,1034.266421
6528772320,bam,8616269039,bam,2017-09-24 19:52:16.672453,slurm_multi,,main_w3_handler2,2944470,16914497,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10983946.roundup,slurm,,corral-repl,,0,no,,,,"[{'src': 'hda', 'id': 31140137}]","[{'src': 'hda', 'id': 31140134}]","""50""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/Arabidopsis_thaliana_TAIR10.len""",3,,,,,,,mean,"""Arabidopsis_thaliana_TAIR10""","""bigwig""","""""",1,readCount,,,,40108324,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-09-24 20:10:38.943715,97544,1102.271262
8691742345,bam,7128542996,bam,2017-09-07 04:46:31.374981,slurm_multi,,main_w3_handler2,2944470,16757351,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10823981,slurm,,corral-repl,,0,no,,,,"[{'src': 'hda', 'id': 31069990}]","[{'src': 'hda', 'id': 31069992}]","""50""","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""",1,,,,,,1.0,ratio,"""Arabidopsis_thaliana_TAIR10""","""bigwig""","""""",1,readCount,,,,40108324,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-09-07 05:08:47.623624,97544,1336.2486430000001
1739337868,bam,17796760129,bam,2017-07-05 08:04:36.977169,slurm_multi,,main_w4_handler2,2985606,16260007,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10332238,slurm,,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 28346741}]","[{'src': 'hda', 'id': 30277723}]","""50""","""/galaxy-repl/localdata/chrom/mm10.len""",0,,,,,,1.0,log2,"""mm10""","""bigwig""","""""",1,readCount,,,,37751631,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-07-05 10:33:43.943750,32243,8946.966581
1406846303,bam,17796760129,bam,2017-07-05 08:09:31.660533,slurm_multi,,main_w3_handler2,2985606,16260062,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10332929,slurm,,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 28346133}]","[{'src': 'hda', 'id': 30277723}]","""50""","""/galaxy-repl/localdata/chrom/mm10.len""",0,,,,,,1.0,log2,"""mm10""","""bigwig""","""""",1,readCount,,,,37751631,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-07-05 12:35:24.577132,32243,15952.916599
2984579373,bam,2984579373,bam,2017-10-26 10:21:54.651642,slurm_multi,,main_w3_handler2,3293678,17225019,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11286425,slurm,,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 31896050}]","[{'src': 'hda', 'id': 31896047}]","""5""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,,,,,,1.0,log2,"""?""","""bigwig""","""""",1,readCount,,,,41537146,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-10-26 10:45:44.815864,96567,1430.164222
6528772320,bam,8616269039,bam,2017-09-24 20:28:32.758112,slurm_multi,,main_w3_handler2,2944470,16914710,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10984158.roundup,slurm,,corral-repl,,0,no,,,,"[{'src': 'hda', 'id': 31140137}]","[{'src': 'hda', 'id': 31140134}]","""50""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/Arabidopsis_thaliana_TAIR10.len""",3,,,,,,,mean,"""Arabidopsis_thaliana_TAIR10""","""bigwig""","""""",1,readCount,,,,40108324,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-09-24 20:44:49.937294,97544,977.1791820000001
1766344601,bam,17796760129,bam,2017-07-05 08:08:10.767854,slurm_multi,,main_w4_handler2,2985606,16260029,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10332364,slurm,,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 28342979}]","[{'src': 'hda', 'id': 30277723}]","""50""","""/galaxy-repl/localdata/chrom/mm10.len""",0,,,,,,1.0,log2,"""mm10""","""bigwig""","""""",1,readCount,,,,37751631,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-07-05 10:53:36.900447,32243,9926.132593
6581306346,bam,7307777971,bam,2017-09-07 04:37:40.314353,slurm_multi,,main_w3_handler2,2944470,16757331,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10823914,slurm,,corral-repl,,1,yes,slurm_multi,,,"[{'src': 'hda', 'id': 31069993}]","[{'src': 'hda', 'id': 31069995}]","""50""","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""",7,2.0,0.0,90000000,specific,1x,,subtract,"""Arabidopsis_thaliana_TAIR10""","""bigwig""","""""",1,readCount,,,,40108324,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-09-07 04:47:49.805056,97544,609.490703
6528772320,bam,8616269039,bam,2017-09-24 21:11:51.854499,slurm_multi,,main_w4_handler2,2944470,16915165,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10984453.roundup,slurm,,corral-repl,,0,no,,,,"[{'src': 'hda', 'id': 31140137}]","[{'src': 'hda', 'id': 31140134}]","""50""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/Arabidopsis_thaliana_TAIR10.len""",3,,,,,,,mean,"""Arabidopsis_thaliana_TAIR10""","""bigwig""","""""",2,own,1.0,0.75,,40108324,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-09-24 21:25:24.141541,97544,812.287042
