create_time,destination_id,exit_code,gfffile,gfffile_filetype,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.featuretype,parameters.force_sort,parameters.gfffile,parameters.gfffile.values,parameters.idattr,parameters.minaqual,parameters.mode,parameters.samfile,parameters.samfile.values,parameters.samfile|__identifier__,parameters.samout_conditional.__current_case__,parameters.samout_conditional.reference_source.__current_case__,parameters.samout_conditional.reference_source.ref_file,parameters.samout_conditional.reference_source.ref_file.values,parameters.samout_conditional.reference_source.reference_source_selector,parameters.samout_conditional.samout,parameters.stranded,runner_name,samfile,samfile_filetype,samout_conditional|ref_file,samout_conditional|ref_file_filetype,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-09-10 13:16:33.843554,slurm_normal,,274803468,gtf,main_w3_handler1,2716710,13820556,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8042245.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""exon""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5eaca0927f4c418cb'}]","""gene_id""","""10""","""intersection-nonempty""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b7b921fb539c9d0b'}]",,1,,,,,false,"""yes""",,2620234244,bam,,,32863220.0,error,toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count/0.6.1galaxy1,0.6.1galaxy1,,2016-09-10 13:45:18.955141,85024,1725.111587
2016-05-11 07:17:23.464575,slurm_normal,,124104813,gtf,main_w1_handler2,2627156,12852845,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7053222.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""exon""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5088eada15ce9f46c'}]","""gene_id""","""10""","""union""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5eceba6d15ef19481'}]",,1,,,,,false,"""yes""",,13741959896,bam,,,28896018.0,error,toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count/0.6.1galaxy1,0.6.1galaxy1,,2016-05-11 07:26:26.790578,80192,543.326003
2016-05-08 03:58:31.625035,slurm_normal,,235833715,gtf,main_w2_handler0,2668542,12819860,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7020926.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""exon""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b507e8d37a8ea951f1'}]","""gene_id""","""10""","""union""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5409a71b65a22e7da'}]",,1,,,,,false,"""yes""",,9203946654,bam,,,29556036.0,error,toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count/0.6.1galaxy1,0.6.1galaxy1,,2016-05-08 04:48:17.497219,66787,2985.8721840000003
2016-06-18 01:28:10.497783,slurm_normal,,105274885,gtf,main_w1_handler1,2531191,13197925,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7382484.roundup,slurm,,corral-repl,,,"""/galaxy-repl/main/files/014/978/dataset_14978812.dat""","""Arabidopsis_v1""","""exon""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54e25a0c460eb9406'}]","""gene_id""","""10""","""union""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b522c7d86e14ff24af'}]",,1,,,,,false,"""yes""",,3169490222,bam,,,29592773.0,error,toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count/0.6.1galaxy1,0.6.1galaxy1,,2016-06-18 01:39:12.319561,73455,661.821778
2016-10-14 19:43:53.109435,slurm_normal,,801427018,gff3,main_w4_handler0,2793496,14084850,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8301586.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""exon""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54a0b6a0a655cf87c'}]","""gene_id""","""10""","""union""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e0216efca70cb607'}]",,1,,,,,false,"""yes""",,1800682046,bam,,,33484095.0,error,toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count/0.6.1galaxy1,0.6.1galaxy1,,2016-10-14 19:49:48.160552,63586,355.05111700000003
2016-06-21 16:43:27.560946,slurm_normal,,574560017,gff,main_w2_handler0,2744796,13226643,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7411478.roundup,slurm,,corral-repl,,"""46f8e1cc37cf11e68369005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""exon""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57c4af36a3903d573'}]","""gene_id""","""10""","""union""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b539d930eec9e71d6e'}]",,1,,,,,false,"""no""",,587907126,bam,,,30583335.0,error,toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count/0.6.1galaxy1,0.6.1galaxy1,,2016-06-21 17:01:51.897462,63108,1104.336516
2016-09-30 13:51:16.809057,slurm_normal,,68352564,gtf,main_w4_handler0,2770961,13982543,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8202145.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""exon""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58c75a293ae093ec1'}]","""gene_id""","""5""","""union""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5793f4d72da32b5bc'}]",,1,,,,,false,"""no""",,5320424128,bam,,,33207729.0,error,toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count/0.6.1galaxy1,0.6.1galaxy1,,2016-09-30 14:51:12.768156,57381,3595.959099
2016-07-24 06:40:19.501961,slurm_normal,,847928511,gff,main_w2_handler1,2755512,13479366,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7695177.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""exon""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c3c78ee4055ece27'}]","""gene_id""","""10""","""union""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5aa186b9052f1339b'}]",,1,,,,,false,"""yes""",,6112122201,bam,,,31252409.0,error,toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count/0.6.1galaxy1,0.6.1galaxy1,,2016-07-24 07:55:31.392638,41721,4511.890677
2016-04-18 08:01:39.891195,slurm_normal,,122479548,gtf,main_w2_handler1,2487011,12500955,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6692720.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""exon""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51f4e8a36ce062adc'}]","""gene_id""","""10""","""union""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b580e00da2ef69484a'}]",,1,,,,,false,"""yes""",,7337020964,bam,,,29564822.0,error,toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count/0.6.1galaxy1,0.6.1galaxy1,,2016-04-18 09:43:16.890900,11028,6096.999705
2016-05-07 16:03:34.974725,slurm_normal,,1377295,gff3,main_w1_handler0,2697671,12816734,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7017916.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""gene""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ec02f9f7c9014f0b'}]","""ID""","""10""","""intersection-nonempty""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f3a289c6823632db'}]",,1,,,,,false,"""yes""",,381307924,bam,,,29781881.0,error,toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count/0.6.1galaxy1,0.6.1galaxy1,,2016-05-07 16:09:08.523666,64758,333.548941
