create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input1.values,parameters.length,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-02-11 23:57:20.771926,slurm_normal,,main_w4_handler1,3413557,18345033,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",19960938,tabular,12429452,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 33800593}]","""7""",,43741780,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepwindow73/5.0.0,5.0.0,,2018-02-11 23:58:29.733953,121148,68.962027
2018-02-11 23:57:21.214285,slurm_normal,,main_w3_handler0,3413557,18345034,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",19960938,tabular,12429453,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 33800597}]","""7""",,43741780,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepwindow73/5.0.0,5.0.0,,2018-02-11 23:58:32.616748,121148,71.402463
