create_time,destination_id,exit_code,genome,genome_filetype,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.bed12,parameters.chromInfo,parameters.dbkey,parameters.genome,parameters.genome.values,parameters.input,parameters.input.values,parameters.mapq,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-04-06 13:23:53.883127,slurm_normal,,4939072898,bed,main_w2_handler1,2659487,12353425,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4939072898,bed,6558044.roundup,slurm,,corral-repl,,"""False""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",24166582,,24166582,,"""255""",,29443495,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bedtobam/2.22.0,2.22.0,,2016-04-06 13:33:08.877085,82047.0,554.993958
2016-03-03 13:39:37.337176,slurm_normal,,2294470124,bed,main_w1_handler2,2616024,12007389,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2482108882,bed,6236411.roundup,slurm,,corral-repl,,"""False""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23644338,,23644310,,"""255""",,28776757,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bedtobam/2.22.0,2.22.0,,2016-03-03 13:45:05.533216,8017.0,328.19604000000004
2016-03-03 13:49:21.414767,slurm_normal,,2294470124,bed,main_w1_handler1,2616024,12007456,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2294470124,bed,6236537.roundup,slurm,,corral-repl,,"""False""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23644338,,23644338,,"""255""",,28784302,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bedtobam/2.22.0,2.22.0,,2016-03-03 13:53:44.042405,8017.0,262.627638
2016-02-29 18:12:23.368606,slurm_normal,,328928015,interval,main_w1_handler1,2616285,11973847,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",593019385,bed,6202431.roundup,slurm,,corral-repl,,"""False""","""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",23561519,,23561542,,"""255""",,28534170,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bedtobam/2.22.0,2.22.0,,2016-02-29 18:30:06.169121,,1062.8005150000001
2016-04-10 06:17:55.398322,slurm_normal,,593019385,bed,main_w1_handler0,2645667,12405942,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",593019385,bed,6606386.roundup,slurm,,corral-repl,,"""False""","""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",24238174,,24238174,,"""255""",,29495124,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bedtobam/2.22.0,2.22.0,,2016-04-10 06:21:27.030227,79460.0,211.63190500000002
2016-02-19 18:19:29.551116,slurm_normal,,3724891209,bed,main_w2_handler1,2604715,11879544,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3724891209,bed,6119382.roundup,slurm,,corral-repl,,"""False""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23411192,,23411192,,"""255""",,28479080,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bedtobam/2.22.0,2.22.0,,2016-02-19 18:33:18.991673,20297.0,829.440557
2016-03-04 12:25:59.388541,slurm_normal,,2294470124,bed,main_w1_handler1,2616024,12019034,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2482108882,bed,6248561.roundup,slurm,,corral-repl,,"""False""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23644338,,23644310,,"""255""",,28808398,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bedtobam/2.22.0,2.22.0,,2016-03-04 12:33:50.116564,8017.0,470.728023
2016-04-10 06:13:19.853208,slurm_normal,,593019385,bed,main_w1_handler0,2645667,12405940,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",593019385,bed,6606381.roundup,slurm,,corral-repl,,"""False""","""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",24238174,,24238174,,"""255""",,29495124,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bedtobam/2.22.0,2.22.0,,2016-04-10 06:16:54.868391,79460.0,215.015183
2016-05-17 14:05:36.112855,slurm_normal,,1849531399,bed,main_w1_handler1,2663524,12919504,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1849531399,bed,7113558.roundup,slurm,,corral-repl,,"""false""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58c82a79d66a227e0'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58c82a79d66a227e0'}]","""255""",,30073535,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bedtobam/2.22.0,2.22.0,,2016-05-17 14:11:49.613125,14978.0,373.50027
2016-03-03 14:24:53.631552,slurm_normal,,2294470124,bed,main_w1_handler2,2616024,12007664,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2294470124,bed,6236963.roundup,slurm,,corral-repl,,"""False""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23644338,,23644338,,"""255""",,28784715,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bedtobam/2.22.0,2.22.0,,2016-03-03 14:30:40.151655,8017.0,346.520103
