chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,history_item,history_item_filetype,id,imported,info,input_format|reads,input_format|reads_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.alignment_options.__current_case__,parameters.alignment_options.alignment_options_selector,parameters.alignment_options.coefficient,parameters.alignment_options.constant_term,parameters.alignment_options.function_type,parameters.alignment_options.ignore_quals,parameters.alignment_options.skip_forward,parameters.alignment_options.skip_reverse,parameters.chromInfo,parameters.dbkey,parameters.input_format.__current_case__,parameters.input_format.input_format_selector,parameters.input_format.paired.__current_case__,parameters.input_format.paired.paired_end_options.__current_case__,parameters.input_format.paired.paired_end_options.no_discordant,parameters.input_format.paired.paired_end_options.no_mixed,parameters.input_format.paired.paired_end_options.paired_end_options_selector,parameters.input_format.paired.paired_end_options.skip_reverse,parameters.input_format.paired.paired_selector,parameters.input_format.paired.reads,parameters.input_format.paired.reads.values,parameters.input_format.paired.reads_f,parameters.input_format.paired.reads_r,parameters.input_options.__current_case__,parameters.input_options.input_options_selector,parameters.input_options.skip,parameters.input_options.stop_after,parameters.input_options.trim_five,parameters.input_options.trim_three,parameters.max_primary,parameters.paired_options.__current_case__,parameters.paired_options.contain,parameters.paired_options.dovetail,parameters.paired_options.maxins,parameters.paired_options.minins,parameters.paired_options.no_discordant,parameters.paired_options.no_mixed,parameters.paired_options.overlap,parameters.paired_options.paired_options_selector,parameters.reference_genome.__current_case__,parameters.reference_genome.history_item,parameters.reference_genome.history_item.values,parameters.reference_genome.reference_genome_source,parameters.scoring_options.__current_case__,parameters.scoring_options.ambiguous_penalty,parameters.scoring_options.coefficient,parameters.scoring_options.constant_term,parameters.scoring_options.function_type,parameters.scoring_options.match_bonus,parameters.scoring_options.max_mismatch,parameters.scoring_options.min_mismatch,parameters.scoring_options.read_extend_penalty,parameters.scoring_options.read_open_penalty,parameters.scoring_options.ref_extend_penalty,parameters.scoring_options.ref_open_penalty,parameters.scoring_options.scoring_options_selector,parameters.scoring_options.soft_clip_penalty_max,parameters.scoring_options.soft_clip_penalty_min,parameters.spliced_options.__current_case__,parameters.spliced_options.spliced_options_selector,reads,reads1,reads1_filetype,reads2,reads2_filetype,reads_f,reads_f_filetype,reads_filetype,reads_r,reads_r_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-04-18 13:25:58.812037,slurm_normal,,main_w1_handler1,2262197,1725283748,fasta,12504973,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9628791165.0,fastq,6696744.roundup,slurm,,corral-repl,,0,defaults,,,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,fastq,2,,,,,,single,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b574c577750b04c4e4'}]",,,0,defaults,,,,,"""5""",0,,,,,,,,defaults,1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57d5a3d591e71dd9f'}]",history,0,,,,,,,,,,,,defaults,,,0.0,defaults,,,,,,,,,,,,29483122,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/1.0.1,1.0.1,,2016-04-18 15:07:59.471152,61964,6120.659115
,,2016-03-29 17:41:31.556706,slurm_normal,,main_w2_handler1,2118809,2705411569,fasta,12275642,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,6483482.roundup,slurm,,corral-repl,,0,defaults,,,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,fastq,2,,,,,,single,23748183,,,,0,defaults,,,,,"""5""",0,,,,,,,,defaults,1,24033556.0,,history,0,,,,,,,,,,,,defaults,,,0.0,defaults,2558163996.0,,,,,,,fastqsanger,,,,28879726,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/1.0.1,1.0.1,,2016-03-29 22:09:55.225017,55917,16103.668311000001
,,2016-03-18 13:35:32.711176,slurm_normal,,main_w1_handler2,2590501,2957925793,fasta,12179570,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,6395243.roundup,slurm,,corral-repl,,0,defaults,,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,fastq,1,0.0,,,defaults,,paired,,,23905666.0,23906336.0,0,defaults,,,,,"""5""",0,,,,,,,,defaults,1,23395986.0,,history,0,,,,,,,,,,,,defaults,,,0.0,defaults,,,,,,6331218778.0,fastq,,6330862948.0,fastq,,28544288,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/1.0.1,1.0.1,,2016-03-18 14:56:57.159920,78168,4884.448744
,,2016-04-01 20:25:31.940137,slurm_normal,,main_w2_handler0,2430808,2957925793,fasta,12315893,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,6522794.roundup,slurm,,corral-repl,,0,defaults,,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,fastq,1,0.0,,,defaults,,paired,,,24065875.0,24055383.0,0,defaults,,,,,"""5""",0,,,,,,,,defaults,1,24108728.0,,history,0,,,,,,,,,,,,defaults,,,0.0,defaults,,,,,,12034488594.0,fastqsanger,,12313998602.0,fastqsanger,,27425391,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/1.0.1,1.0.1,,2016-04-01 21:55:15.506201,68690,5383.566064000001
,,2016-04-08 12:37:09.778756,slurm_normal,,main_w1_handler1,2661069,3151902513,fasta,12386975,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,6585369.roundup,slurm,,corral-repl,,0,defaults,,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,fastq,2,,,,,,single,24185355,,,,0,defaults,,,,,"""5""",0,,,,,,,,defaults,1,24210349.0,,history,0,,,,,,,,,,,,defaults,,,0.0,defaults,1541721610.0,,,,,,,fastqsanger,,,,28267592,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/1.0.1,1.0.1,,2016-04-08 22:56:01.506111,78197,37131.727355
,,2016-03-31 16:08:45.070775,slurm_normal,,main_w1_handler1,2587947,106046540,fasta,12302127,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,6509437.roundup,slurm,,corral-repl,,0,defaults,,,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,fastq,0,1.0,True,False,advanced,False,paired_collection,dce:260587,,,,0,defaults,,,,,"""5""",1,False,False,500,0,True,False,False,advanced,1,24068553.0,,history,0,,,,,,,,,,,,defaults,,,0.0,defaults,,20743846986.0,fastqsanger,20743846986.0,fastqsanger,,,,,,,28076174,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/1.0.1,1.0.1,,2016-03-31 18:54:08.551758,78000,9923.480983000001
,,2016-04-13 15:04:01.084662,slurm_normal,,main_w1_handler0,2668440,2957925793,fasta,12442175,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5533897443.0,fastqsanger,6640712.roundup,slurm,,corral-repl,,0,defaults,,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,fastq,2,,,,,,single,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5bdc29e86012ca0e2'}]",,,0,defaults,,,,,"""5""",0,,,,,,,,defaults,1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cebd99fb22eba86f'}]",history,0,,,,,,,,,,,,defaults,,,0.0,defaults,,,,,,,,,,,,29578815,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/1.0.1,1.0.1,,2016-04-13 16:40:50.259592,12498,5809.17493
,,2016-04-08 12:37:09.327960,slurm_normal,,main_w2_handler0,2661069,3151902513,fasta,12386974,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,6585373.roundup,slurm,,corral-repl,,0,defaults,,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,fastq,2,,,,,,single,24185354,,,,0,defaults,,,,,"""5""",0,,,,,,,,defaults,1,24210349.0,,history,0,,,,,,,,,,,,defaults,,,0.0,defaults,1516790248.0,,,,,,,fastqsanger,,,,28267592,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/1.0.1,1.0.1,,2016-04-08 23:37:56.371194,78197,39647.043234000004
,,2016-03-21 11:59:49.447866,slurm_normal,,main_w1_handler2,2638607,47406812318,fasta,12211600,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,6424294.roundup,slurm,,corral-repl,,0,defaults,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,fastq,1,0.0,,,defaults,,paired,,,23906957.0,23906958.0,0,defaults,,,,,"""5""",0,,,,,,,,defaults,1,23951604.0,,history,0,,,,,,,,,,,,defaults,,,0.0,defaults,,,,,,10639014018.0,fastqsanger,,10639014018.0,fastqsanger,,29094692,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/1.0.1,1.0.1,,2016-03-21 12:31:14.753439,56075,1885.305573
,,2016-04-18 13:26:02.323518,slurm_normal,,main_w1_handler2,2262197,1725283748,fasta,12504975,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9948729386.0,fastq,6698157.roundup,slurm,,corral-repl,,0,defaults,,,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,fastq,2,,,,,,single,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f83c5790757819e9'}]",,,0,defaults,,,,,"""5""",0,,,,,,,,defaults,1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57d5a3d591e71dd9f'}]",history,0,,,,,,,,,,,,defaults,,,0.0,defaults,,,,,,,,,,,,29483122,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/1.0.1,1.0.1,,2016-04-18 16:45:29.409284,61964,11967.085766
